"cell50x50","SR_forest_ebba1","SR_agriculture_ebba1","SR_generalist_ebba1","SR_forest_ebba2","SR_agriculture_ebba2","SR_generalist_ebba2","deltaSR_bird_forest","deltaSR_bird_agriculture","deltaSR_bird_generalist","SR_forest_m_b2000","SR_agriculture_m_b2000","SR_generalist_m_b2000","SR_forest_m_a2015","SR_agriculture_m_a2015","SR_generalist_m_a2015","deltaSR_mammal_forest","deltaSR_mammal_agriculture","deltaSR_mammal_generalist"
"32TPS1",39,16,68,44,17,74,5,1,6,12,4,28,13,2,31,1,-2,3
"32TPS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,9,6,1,23,2,-1,14
"32TPS3",39,14,67,45,17,73,6,3,6,1,NA,5,3,3,28,2,NA,23
"32TPS4",39,16,68,47,20,73,8,4,5,2,NA,5,11,3,32,9,NA,27
"32TPT1",45,21,70,46,24,76,1,3,6,7,1,20,9,2,28,2,1,8
"32TPT2",36,10,51,43,17,62,7,7,11,3,1,7,4,2,21,1,1,14
"32TPT3",45,22,75,47,28,74,2,6,-1,4,NA,8,10,1,29,6,NA,21
"32TPT4",40,15,57,46,16,71,6,1,14,1,NA,3,7,3,28,6,NA,25
"32TQM1",17,17,60,19,23,75,2,6,15,NA,NA,NA,2,NA,12,NA,NA,NA
"32TQN1",18,20,69,24,20,70,6,0,1,NA,NA,2,4,1,11,NA,NA,9
"32TQN2",16,20,62,23,23,70,7,3,8,NA,NA,2,6,NA,17,NA,NA,15
"32TQP1",25,14,63,31,14,62,6,0,-1,NA,NA,NA,8,1,16,NA,NA,NA
"32TQP2",24,17,69,34,18,71,10,1,2,NA,NA,1,6,2,14,NA,NA,13
"32TQQ1",13,18,53,14,22,66,1,4,13,NA,NA,NA,1,2,15,NA,NA,NA
"32TQQ2",23,30,77,20,27,82,-3,-3,5,NA,NA,NA,4,2,11,NA,NA,NA
"32TQR1",41,24,76,43,19,72,2,-5,-4,NA,NA,NA,4,2,18,NA,NA,NA
"32TQR2",16,14,56,19,18,59,3,4,3,NA,NA,NA,3,1,16,NA,NA,NA
"32TQS1",41,14,70,43,17,67,2,3,-3,10,2,14,7,2,25,-3,0,11
"32TQS2",43,18,76,47,19,71,4,1,-5,NA,1,2,10,1,24,NA,0,22
"32TQT1",42,15,64,48,26,76,6,11,12,2,NA,14,8,1,28,6,NA,14
"32TQT2",40,13,58,41,11,57,1,-2,-1,10,4,27,9,2,30,-1,-2,3
"32ULA1",33,18,66,41,18,70,8,0,4,8,4,31,14,2,33,6,-2,2
"32ULA2",32,18,69,38,18,66,6,0,-3,14,4,37,16,2,36,2,-2,-1
"32ULA3",35,21,64,40,20,70,5,-1,6,NA,NA,2,16,4,34,NA,NA,32
"32ULA4",33,17,62,37,17,66,4,0,4,1,NA,7,14,1,32,13,NA,25
"32ULB1",29,27,72,37,36,82,8,9,10,8,NA,27,15,4,33,7,NA,6
"32ULB2",34,24,70,40,31,81,6,7,11,7,3,28,15,3,36,8,0,8
"32ULB3",32,17,61,36,27,72,4,10,11,7,2,21,15,3,34,8,1,13
"32ULB4",33,21,64,40,28,74,7,7,10,4,2,5,18,4,38,14,2,33
"32ULC1",34,32,80,38,46,92,4,14,12,5,3,27,13,3,31,8,0,4
"32ULC2",27,29,75,35,43,80,8,14,5,1,NA,13,14,2,33,13,NA,20
"32ULC3",28,27,69,34,34,76,6,7,7,3,NA,8,15,2,35,12,NA,27
"32ULC4",26,23,64,33,30,75,7,7,11,NA,NA,2,15,3,36,NA,NA,34
"32ULD1",33,30,82,43,47,89,10,17,7,5,NA,16,12,3,31,7,NA,15
"32ULD2",30,33,82,43,47,90,13,14,8,3,2,23,13,2,34,10,0,11
"32ULD3",31,33,78,36,41,84,5,8,6,2,NA,5,10,2,28,8,NA,23
"32ULD4",29,30,76,34,38,77,5,8,1,1,NA,6,13,3,33,12,NA,27
"32ULE2",23,34,77,35,45,92,12,11,15,NA,1,10,9,2,25,NA,1,15
"32ULE4",26,37,73,36,41,83,10,4,10,NA,NA,2,9,2,25,NA,NA,23
"32ULU1",33,23,81,36,29,85,3,6,4,14,1,31,16,2,30,2,1,-1
"32ULU2",37,17,72,41,19,69,4,2,-3,12,1,34,19,3,36,7,2,2
"32ULU3",37,26,78,40,24,75,3,-2,-3,13,4,29,20,4,35,7,0,6
"32ULU4",41,27,82,44,29,86,3,2,4,14,4,35,19,5,39,5,1,4
"32ULV1",36,24,77,37,25,84,1,1,7,17,3,39,17,4,35,0,1,-4
"32ULV2",31,26,82,35,30,89,4,4,7,16,3,35,19,3,34,3,0,-1
"32ULV3",30,20,68,34,19,68,4,-1,0,4,1,9,11,2,32,7,1,23
"32ULV4",31,25,78,36,25,78,5,0,0,14,4,33,16,1,29,2,-3,-4
"32UMA1",35,22,69,39,18,70,4,-4,1,4,NA,3,14,4,36,10,NA,33
"32UMA2",33,22,74,40,26,76,7,4,2,5,1,14,16,4,33,11,3,19
"32UMA3",35,28,72,39,37,82,4,9,10,4,1,10,17,3,39,13,2,29
"32UMA4",33,25,74,40,32,84,7,7,10,4,NA,6,16,4,37,12,NA,31
"32UMB1",30,18,64,39,20,65,9,2,1,5,NA,14,12,2,27,7,NA,13
"32UMB2",32,16,62,41,18,72,9,2,10,5,NA,12,11,3,31,6,NA,19
"32UMB3",33,16,59,41,20,69,8,4,10,1,NA,3,11,1,31,10,NA,28
"32UMB4",34,20,63,40,24,76,6,4,13,5,1,10,15,3,34,10,2,24
"32UMC1",28,26,72,34,33,78,6,7,6,NA,NA,1,15,3,33,NA,NA,32
"32UMC2",31,22,67,40,27,75,9,5,8,2,1,14,12,2,37,10,1,23
"32UMC3",33,28,72,38,30,77,5,2,5,2,NA,4,14,4,33,12,NA,29
"32UMC4",34,25,70,39,27,75,5,2,5,3,NA,3,11,2,28,8,NA,25
"32UMD1",29,31,74,36,36,79,7,5,5,NA,NA,1,11,2,29,NA,NA,28
"32UMD2",26,28,72,39,38,78,13,10,6,2,1,2,14,2,30,12,1,28
"32UMD3",29,34,74,39,36,78,10,2,4,1,1,8,8,2,27,7,1,19
"32UMD4",27,36,71,35,37,80,8,1,9,NA,NA,NA,9,1,24,NA,NA,NA
"32UME1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,13,NA,NA,11
"32UME2",28,35,74,34,38,80,6,3,6,NA,NA,1,9,2,28,NA,NA,27
"32UME3",25,35,75,34,40,86,9,5,11,NA,NA,NA,8,2,24,NA,NA,NA
"32UME4",29,37,82,38,38,82,9,1,0,NA,NA,3,6,2,28,NA,NA,25
"32UMF3",33,38,79,39,44,88,6,6,9,3,1,16,9,1,28,6,0,12
"32UMF4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,16,NA,NA,NA
"32UMG1",18,29,52,26,31,65,8,2,13,2,NA,16,6,NA,20,4,NA,4
"32UMG3",30,35,74,36,39,86,6,4,12,6,1,21,11,NA,27,5,NA,6
"32UMG4",34,38,79,33,39,85,-1,1,6,7,1,23,11,1,27,4,0,4
"32UMU1",39,30,79,46,28,83,7,-2,4,5,4,25,17,3,37,12,-1,12
"32UMU2",40,20,66,43,24,76,3,4,10,1,1,5,13,3,36,12,2,31
"32UMU3",38,15,56,41,20,73,3,5,17,4,NA,4,10,2,24,6,NA,20
"32UMU4",37,20,63,40,18,69,3,-2,6,1,NA,NA,9,2,24,8,NA,NA
"32UMV1",28,18,68,36,22,73,8,4,5,1,1,9,16,4,36,15,3,27
"32UMV2",33,25,79,37,28,87,4,3,8,8,3,27,18,2,38,10,-1,11
"32UMV3",35,25,79,41,33,86,6,8,7,3,3,11,14,4,34,11,1,23
"32UMV4",32,19,69,39,25,80,7,6,11,NA,NA,NA,9,3,33,NA,NA,NA
"32UNA1",36,21,69,39,21,70,3,0,1,6,NA,13,14,3,29,8,NA,16
"32UNA2",38,22,72,37,17,76,-1,-5,4,3,1,9,11,2,24,8,1,15
"32UNA3",35,19,69,43,21,73,8,2,4,6,1,19,12,2,28,6,1,9
"32UNA4",36,22,80,40,24,81,4,2,1,9,2,23,13,3,34,4,1,11
"32UNB1",33,16,61,44,22,74,11,6,13,NA,NA,4,11,4,35,NA,NA,31
"32UNB2",28,16,57,38,19,66,10,3,9,NA,NA,3,11,3,33,NA,NA,30
"32UNB3",38,22,68,42,24,76,4,2,8,2,1,6,15,2,31,13,1,25
"32UNB4",38,24,71,42,24,78,4,0,7,NA,NA,NA,9,2,27,NA,NA,NA
"32UNC1",33,23,65,39,27,73,6,4,8,6,NA,3,16,4,34,10,NA,31
"32UNC2",33,20,70,39,22,71,6,2,1,2,NA,4,15,3,33,13,NA,29
"32UNC3",36,33,74,41,28,81,5,-5,7,8,1,11,19,4,35,11,3,24
"32UNC4",39,24,68,42,26,76,3,2,8,NA,NA,4,14,3,36,NA,NA,32
"32UND1",30,32,72,38,31,78,8,-1,6,NA,NA,2,8,3,22,NA,NA,20
"32UND2",33,33,77,42,35,84,9,2,7,5,NA,6,9,2,31,4,NA,25
"32UND3",33,27,72,40,30,79,7,3,7,3,NA,2,11,2,33,8,NA,31
"32UND4",33,29,77,42,31,88,9,2,11,6,NA,16,11,3,35,5,NA,19
"32UNE1",31,35,79,39,38,82,8,3,3,NA,NA,NA,10,2,24,NA,NA,NA
"32UNE2",30,38,80,39,39,83,9,1,3,NA,NA,NA,7,2,24,NA,NA,NA
"32UNE3",35,31,76,41,34,77,6,3,1,5,NA,20,12,3,27,7,NA,7
"32UNE4",35,38,85,42,38,83,7,0,-2,5,2,20,11,3,35,6,1,15
"32UNF1",35,32,76,37,37,77,2,5,1,3,1,17,14,1,30,11,0,13
"32UNF2",28,29,72,41,40,82,13,11,10,1,NA,7,10,2,26,9,NA,19
"32UNF3",34,31,75,35,39,81,1,8,6,6,1,15,10,1,24,4,0,9
"32UNF4",34,33,78,40,37,86,6,4,8,3,NA,9,10,2,31,7,NA,22
"32UNG1",31,29,68,34,34,78,3,5,10,9,1,21,13,1,28,4,0,7
"32UNG2",28,29,71,34,34,84,6,5,13,8,1,20,11,NA,28,3,NA,8
"32UNG3",29,31,70,33,33,83,4,2,13,8,1,22,10,1,26,2,0,4
"32UNG4",NA,NA,NA,33,36,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32UNU1",34,16,61,41,19,72,7,3,11,4,2,3,11,1,26,7,-1,23
"32UNU2",33,19,70,39,26,80,6,7,10,NA,NA,3,9,3,24,NA,NA,21
"32UNU3",35,24,70,41,29,81,6,5,11,2,NA,10,9,1,27,7,NA,17
"32UNU4",34,22,66,40,25,78,6,3,12,1,1,6,7,2,27,6,1,21
"32UNV1",31,16,58,36,18,68,5,2,10,1,NA,6,7,1,21,6,NA,15
"32UNV2",27,17,62,38,20,74,11,3,12,1,1,7,11,3,32,10,2,25
"32UNV3",28,21,71,33,20,72,5,-1,1,1,NA,6,7,1,23,6,NA,17
"32UNV4",31,18,67,41,20,69,10,2,2,4,1,13,9,4,25,5,3,12
"32UPA1",38,22,73,41,26,82,3,4,9,2,1,7,10,2,26,8,1,19
"32UPA2",35,27,77,42,30,85,7,3,8,3,NA,10,12,1,23,9,NA,13
"32UPA3",37,21,68,40,20,71,3,-1,3,2,1,7,12,2,28,10,1,21
"32UPA4",33,24,77,43,24,78,10,0,1,4,1,14,12,1,29,8,0,15
"32UPB1",32,26,71,41,30,79,9,4,8,3,NA,2,13,3,24,10,NA,22
"32UPB2",40,22,73,42,25,75,2,3,2,NA,NA,NA,5,1,21,NA,NA,NA
"32UPB3",33,28,68,40,36,84,7,8,16,4,1,6,8,1,21,4,0,15
"32UPB4",37,21,70,43,23,78,6,2,8,4,NA,3,16,3,35,12,NA,32
"32UPC1",32,32,74,39,27,82,7,-5,8,3,1,15,14,5,30,11,4,15
"32UPC2",42,20,75,43,28,82,1,8,7,1,NA,1,16,2,35,15,NA,34
"32UPC3",34,30,77,43,31,89,9,1,12,NA,NA,1,8,2,22,NA,NA,21
"32UPC4",37,31,84,46,33,88,9,2,4,1,NA,3,9,3,23,8,NA,20
"32UPD1",35,34,75,42,29,82,7,-5,7,NA,NA,NA,9,1,31,NA,NA,NA
"32UPD2",36,33,84,42,30,84,6,-3,0,1,NA,NA,7,2,29,6,NA,NA
"32UPD3",35,35,81,42,35,86,7,0,5,2,NA,4,11,2,29,9,NA,25
"32UPD4",35,32,83,40,37,89,5,5,6,2,1,3,3,NA,19,1,NA,16
"32UPE1",34,32,77,42,36,85,8,4,8,2,1,7,10,2,29,8,1,22
"32UPE2",37,35,84,43,35,88,6,0,4,3,NA,10,10,1,30,7,NA,20
"32UPE3",35,37,88,42,35,91,7,-2,3,NA,NA,1,9,NA,26,NA,NA,25
"32UPE4",26,26,71,43,29,83,17,3,12,2,NA,3,6,NA,21,4,NA,18
"32UPF2",34,32,78,39,36,85,5,4,7,2,1,5,9,1,25,7,0,20
"32UPF4",24,25,62,33,26,69,9,1,7,NA,1,4,4,1,19,NA,0,15
"32UPU1",32,25,78,39,23,75,7,-2,-3,6,2,22,10,NA,26,4,NA,4
"32UPU2",36,20,71,43,28,77,7,8,6,2,NA,7,8,1,16,6,NA,9
"32UPU3",31,25,68,39,24,70,8,-1,2,2,2,14,6,NA,23,4,NA,9
"32UPU4",36,25,77,45,30,85,9,5,8,5,1,21,12,1,28,7,0,7
"32UPV1",35,20,71,38,23,75,3,3,4,4,2,11,8,1,23,4,-1,12
"32UPV2",38,28,76,42,32,80,4,4,4,2,1,11,9,2,27,7,1,16
"32UPV3",33,21,76,40,25,78,7,4,2,3,NA,12,16,3,34,13,NA,22
"32UPV4",38,28,79,42,26,84,4,-2,5,3,2,15,11,NA,24,8,NA,9
"32UQU1",34,24,72,41,28,78,7,4,6,4,2,7,6,NA,23,2,NA,16
"32UQU2",35,23,72,44,25,80,9,2,8,3,1,9,9,2,27,6,1,18
"32VLK3",40,26,73,43,24,68,3,-2,-5,7,NA,20,5,1,20,-2,NA,0
"32VLK4",36,33,81,38,33,76,2,0,-5,7,1,20,8,1,16,1,0,-4
"32VLL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,14,6,NA,9,4,NA,-5
"32VLL4",31,18,61,36,18,64,5,0,3,5,NA,13,6,1,17,1,NA,4
"32VLM3",28,24,59,28,22,47,0,-2,-12,6,NA,15,6,NA,15,0,NA,0
"32VLM4",30,18,61,24,20,56,-6,2,-5,6,NA,16,7,NA,19,1,NA,3
"32VLN3",31,18,65,38,25,62,7,7,-3,6,1,16,9,1,17,3,0,1
"32VLN4",32,23,60,34,17,53,2,-6,-7,7,NA,13,8,1,18,1,NA,5
"32VLP3",32,21,61,28,20,53,-4,-1,-8,10,1,16,8,1,13,-2,0,-3
"32VLP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,12,5,NA,12,-1,NA,0
"32VLQ3",26,28,63,20,21,51,-6,-7,-12,2,1,11,2,1,10,0,0,-1
"32VLQ4",35,29,72,28,24,62,-7,-5,-10,4,1,18,9,1,18,5,0,0
"32VMH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,9,2,NA,9,1,NA,0
"32VMH2",15,30,53,23,34,67,8,4,14,NA,1,16,4,NA,15,NA,NA,-1
"32VMH3",25,37,71,33,37,82,8,0,11,7,1,21,11,NA,21,4,NA,0
"32VMH4",28,33,66,31,34,75,3,1,9,4,1,19,10,1,25,6,0,6
"32VMK1",39,21,71,43,26,68,4,5,-3,5,1,21,10,1,18,5,0,-3
"32VMK2",36,29,75,38,31,70,2,2,-5,8,1,23,10,1,20,2,0,-3
"32VMK3",37,26,75,43,31,78,6,5,3,7,1,19,8,1,19,1,0,0
"32VMK4",26,15,50,22,17,47,-4,2,-3,5,1,12,5,1,16,0,0,4
"32VML1",39,20,67,35,15,56,-4,-5,-11,6,NA,16,6,NA,16,0,NA,0
"32VML2",36,20,64,29,12,57,-7,-8,-7,7,NA,18,5,1,16,-2,NA,-2
"32VML3",39,17,61,43,22,54,4,5,-7,8,NA,18,8,NA,17,0,NA,-1
"32VML4",36,21,62,38,17,57,2,-4,-5,10,NA,20,6,1,16,-4,NA,-4
"32VMM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,13,3,NA,12,-1,NA,-1
"32VMM2",37,24,64,27,23,58,-10,-1,-6,7,NA,15,6,1,17,-1,NA,2
"32VMM3",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,15,6,1,14,-1,NA,-1
"32VMM4",39,20,68,41,21,59,2,1,-9,8,NA,15,7,NA,15,-1,NA,0
"32VMN1",30,18,57,25,24,57,-5,6,0,6,NA,15,8,NA,15,2,NA,0
"32VMN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,16,5,NA,12,0,NA,-4
"32VMN3",37,23,70,26,25,54,-11,2,-16,5,NA,13,7,NA,18,2,NA,5
"32VMN4",37,24,70,37,26,64,0,2,-6,7,NA,20,9,NA,22,2,NA,2
"32VMP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,14,6,1,15,-1,NA,1
"32VMP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,16,6,NA,18,0,NA,2
"32VMP3",39,25,71,25,24,55,-14,-1,-16,5,NA,15,7,1,16,2,NA,1
"32VMP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,15,7,NA,13,0,NA,-2
"32VMQ1",37,32,72,35,31,65,-2,-1,-7,5,1,20,7,1,19,2,0,-1
"32VMQ2",34,24,65,35,24,60,1,0,-5,9,1,18,11,1,17,2,0,-1
"32VMQ3",39,28,70,41,30,68,2,2,-2,10,1,20,10,1,20,0,0,0
"32VMQ4",34,24,67,23,22,53,-11,-2,-14,8,NA,18,6,NA,14,-2,NA,-4
"32VMR4",35,28,67,39,31,62,4,3,-5,5,NA,17,6,NA,17,1,NA,0
"32VNH1",28,26,65,33,37,77,5,11,12,8,1,22,10,1,26,2,0,4
"32VNH2",31,25,61,35,33,75,4,8,14,6,1,22,11,1,28,5,0,6
"32VNH3",27,30,66,33,36,77,6,6,11,8,1,23,10,NA,27,2,NA,4
"32VNH4",29,28,71,33,34,80,4,6,9,9,2,23,10,1,28,1,-1,5
"32VNJ2",21,38,76,32,39,86,11,1,10,5,1,22,8,NA,22,3,NA,0
"32VNJ4",23,31,72,35,36,82,12,5,10,9,2,23,10,NA,29,1,NA,6
"32VNK1",12,11,34,17,10,32,5,-1,-2,3,NA,14,4,NA,7,1,NA,-7
"32VNL1",43,28,77,44,30,70,1,2,-7,5,1,22,10,1,20,5,0,-2
"32VNL2",39,30,71,43,31,76,4,1,5,7,NA,17,9,1,20,2,NA,3
"32VNL3",39,35,87,44,36,82,5,1,-5,7,2,21,11,1,27,4,-1,6
"32VNL4",28,24,64,31,30,64,3,6,0,7,NA,16,11,1,18,4,NA,2
"32VNM1",39,21,64,36,16,52,-3,-5,-12,10,NA,21,7,1,18,-3,NA,-3
"32VNM2",42,27,75,45,31,69,3,4,-6,9,1,20,9,1,21,0,0,1
"32VNM3",40,28,70,45,30,74,5,2,4,9,1,21,13,1,22,4,0,1
"32VNM4",40,27,74,46,31,77,6,4,3,10,1,23,12,1,26,2,0,3
"32VNN1",37,23,70,34,21,62,-3,-2,-8,7,NA,17,8,1,18,1,NA,1
"32VNN2",38,19,69,33,16,60,-5,-3,-9,9,NA,18,7,1,17,-2,NA,-1
"32VNN3",42,24,77,46,30,78,4,6,1,12,1,23,12,1,24,0,0,1
"32VNN4",42,24,78,40,28,69,-2,4,-9,8,1,18,9,1,18,1,0,0
"32VNP1",37,28,73,30,31,64,-7,3,-9,10,NA,19,7,1,17,-3,NA,-2
"32VNP2",40,28,77,42,30,70,2,2,-7,7,1,18,9,1,19,2,0,1
"32VNP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,17,8,NA,19,1,NA,2
"32VNP4",41,27,79,31,25,67,-10,-2,-12,14,1,18,9,1,20,-5,0,2
"32VNQ1",38,25,69,43,28,70,5,3,1,8,NA,20,7,1,18,-1,NA,-2
"32VNQ2",32,22,62,37,25,70,5,3,8,8,1,19,8,1,21,0,0,2
"32VNQ3",32,19,60,43,23,66,11,4,6,7,NA,18,8,1,20,1,NA,2
"32VNQ4",34,23,64,33,30,70,-1,7,6,5,NA,16,5,NA,13,0,NA,-3
"32VNR1",22,27,59,35,29,69,13,2,10,3,1,19,7,1,18,4,0,-1
"32VNR2",39,29,67,47,34,73,8,5,6,8,1,20,7,1,18,-1,0,-2
"32VNR3",36,23,65,36,27,68,0,4,3,8,1,20,6,1,19,-2,0,-1
"32VNR4",39,26,68,46,35,79,7,9,11,9,1,24,11,1,23,2,0,-1
"32VPH1",24,23,65,27,27,64,3,4,-1,5,1,20,9,1,20,4,0,0
"32VPH2",27,28,67,29,30,72,2,2,5,4,1,20,10,NA,23,6,NA,3
"32VPK3",40,35,80,47,36,86,7,1,6,9,1,22,14,2,27,5,1,5
"32VPK4",39,32,78,45,35,84,6,3,6,7,1,21,14,1,31,7,0,10
"32VPL1",38,35,83,44,35,82,6,0,-1,10,1,22,12,1,25,2,0,3
"32VPL2",35,27,73,40,33,81,5,6,8,6,NA,21,10,NA,24,4,NA,3
"32VPL3",32,23,67,38,26,64,6,3,-3,10,1,19,14,1,25,4,0,6
"32VPL4",38,20,63,42,28,66,4,8,3,10,1,18,11,1,25,1,0,7
"32VPM1",40,24,69,42,27,73,2,3,4,12,1,21,14,1,26,2,0,5
"32VPM2",38,33,76,44,34,77,6,1,1,11,1,23,15,1,26,4,0,3
"32VPN1",35,26,74,40,26,76,5,0,2,11,1,21,13,1,24,2,0,3
"32VPN2",41,27,80,40,37,79,-1,10,-1,11,1,19,8,1,22,-3,0,3
"32VPP1",36,23,61,34,27,65,-2,4,4,10,NA,18,7,NA,16,-3,NA,-2
"32VPP2",36,19,64,37,21,65,1,2,1,11,1,19,8,NA,18,-3,NA,-1
"32VPQ1",31,24,63,31,25,65,0,1,2,6,NA,16,8,NA,20,2,NA,4
"32VPQ2",32,22,63,37,27,68,5,5,5,7,1,18,7,1,21,0,0,3
"32VPR1",38,32,74,41,37,81,3,5,7,6,1,18,10,1,22,4,0,4
"32VPR2",37,24,62,43,30,69,6,6,7,9,1,19,8,1,19,-1,0,0
"32WNS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,1
"32WNS3",11,17,40,19,16,49,8,-1,9,3,1,14,2,1,13,-1,0,-1
"32WNS4",27,21,60,33,23,61,6,2,1,4,NA,13,5,NA,10,1,NA,-3
"32WPS1",33,23,70,29,23,59,-4,0,-11,3,NA,13,5,1,14,2,NA,1
"32WPS2",38,21,57,37,25,67,-1,4,10,5,1,18,7,1,17,2,0,-1
"32WPT2",24,23,63,22,19,52,-2,-4,-11,1,NA,9,4,1,7,3,NA,-2
"33SWC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"33SWC4",18,16,46,20,20,61,2,4,15,NA,NA,2,2,NA,7,NA,NA,5
"33SWD3",15,12,41,17,14,47,2,2,6,NA,NA,NA,2,NA,2,NA,NA,NA
"33SWD4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA
"33SWE2",21,16,58,17,13,49,-4,-3,-9,NA,NA,NA,2,NA,2,NA,NA,NA
"33SWE4",21,18,55,26,18,59,5,0,4,NA,NA,NA,4,NA,13,NA,NA,NA
"33SXC1",19,13,53,15,14,46,-4,1,-7,1,NA,1,1,1,5,0,NA,4
"33SXC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"33SXD1",27,22,57,29,19,71,2,-3,14,NA,NA,NA,1,NA,6,NA,NA,NA
"33SXD2",26,16,62,29,18,60,3,2,-2,NA,NA,NA,2,1,10,NA,NA,NA
"33SXD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA
"33SXD4",24,16,49,20,18,62,-4,2,13,NA,NA,NA,NA,NA,6,NA,NA,NA
"33SXE2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,NA,NA,NA
"33TTF3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"33TTG3",21,19,66,20,21,66,-1,2,0,NA,NA,NA,6,2,16,NA,NA,NA
"33TTG4",16,19,66,18,18,69,2,-1,3,NA,NA,5,5,1,16,NA,NA,11
"33TTH3",21,14,66,24,17,66,3,3,0,NA,NA,NA,5,NA,13,NA,NA,NA
"33TTH4",21,19,68,19,18,62,-2,-1,-6,NA,NA,1,6,NA,13,NA,NA,12
"33TTJ3",21,18,68,27,20,76,6,2,8,NA,NA,NA,3,1,19,NA,NA,NA
"33TTJ4",23,16,61,24,17,63,1,1,2,NA,NA,NA,5,NA,10,NA,NA,NA
"33TTK3",15,29,71,17,30,82,2,1,11,NA,NA,NA,1,NA,13,NA,NA,NA
"33TTK4",15,28,77,19,28,87,4,0,10,1,NA,NA,2,NA,12,1,NA,NA
"33TTL3",43,23,83,37,19,78,-6,-4,-5,NA,NA,NA,5,NA,16,NA,NA,NA
"33TTL4",11,24,66,15,26,76,4,2,10,NA,NA,2,1,1,10,NA,NA,8
"33TUF1",19,17,59,16,16,51,-3,-1,-8,NA,NA,NA,2,1,11,NA,NA,NA
"33TUF3",15,18,55,19,12,51,4,-6,-4,NA,NA,NA,3,1,9,NA,NA,NA
"33TUG1",28,21,78,28,16,67,0,-5,-11,NA,1,2,6,2,17,NA,1,15
"33TUG2",28,21,68,27,16,61,-1,-5,-7,NA,NA,NA,7,2,14,NA,NA,NA
"33TUG3",30,19,63,30,19,70,0,0,7,1,1,5,5,NA,14,4,NA,9
"33TUG4",30,23,73,28,19,68,-2,-4,-5,NA,NA,NA,7,NA,17,NA,NA,NA
"33TUH1",22,21,64,26,21,69,4,0,5,NA,NA,NA,4,NA,11,NA,NA,NA
"33TUH2",27,21,74,27,18,69,0,-3,-5,NA,NA,NA,5,NA,13,NA,NA,NA
"33TUH3",18,16,65,27,18,71,9,2,6,NA,NA,NA,2,1,7,NA,NA,NA
"33TUH4",28,20,69,27,19,68,-1,-1,-1,1,NA,NA,6,NA,16,5,NA,NA
"33TUJ1",17,16,59,17,16,67,0,0,8,1,NA,NA,2,1,8,1,NA,NA
"33TUJ2",23,24,72,30,17,70,7,-7,-2,NA,NA,NA,4,1,15,NA,NA,NA
"33TUJ4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,8,NA,NA,NA
"33TUK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,8,1,NA,3,-3,NA,-5
"33TUL1",21,30,81,26,30,86,5,0,5,NA,NA,NA,4,2,20,NA,NA,NA
"33TUL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA
"33TUL3",35,28,87,38,32,96,3,4,9,2,1,7,3,2,23,1,1,16
"33TUL4",22,23,68,27,25,78,5,2,10,5,2,10,2,1,9,-3,-1,-1
"33TUM1",37,12,56,41,16,63,4,4,7,14,4,39,6,2,23,-8,-2,-16
"33TUM2",43,20,68,46,25,83,3,5,15,NA,NA,2,10,1,29,NA,NA,27
"33TUM3",37,16,64,45,21,73,8,5,9,11,3,29,8,3,22,-3,0,-7
"33TUM4",40,22,72,48,25,77,8,3,5,3,1,8,8,1,25,5,0,17
"33TUN1",39,19,68,46,19,68,7,0,0,17,4,38,11,2,32,-6,-2,-6
"33TUN2",35,16,64,43,18,66,8,2,2,18,4,36,7,2,33,-11,-2,-3
"33TUN3",43,18,66,47,22,68,4,4,2,18,3,44,14,3,40,-4,0,-4
