"polygon_id","Forest_t0","Agriculture_t0","Urban_t0","Grassland_t0","Other_t0","Area_Total_t0","forest_sp_t0","agriculture_sp_t0","generalist_sp_t0","Sp_Total_t0","Forest_t1","Agriculture_t1","Urban_t1","Grassland_t1","Other_t1","Area_Total_t1","forest_sp_t1","agriculture_sp_t1","generalist_sp_t1","Sp_Total_t1","delta_forest_sp","delta_agriculture_sp","delta_generalist_sp"
"1_036",1017820000,635340000,36020000,50430000,760390000,2.5e+09,23,22,47,92,717870000,615100000,41010000,10140000,1115880000,2.5e+09,15,10,38,63,-8,-12,-9
"1_037",748630000,529020000,125440000,161250000,935660000,2.5e+09,28,21,56,105,790910000,449450000,187420000,14520000,1057700000,2.5e+09,19,16,54,89,-9,-5,-2
"1_038",616790000,665380000,102820000,6.4e+07,1051010000,2.5e+09,28,23,57,108,395660000,676390000,137760000,9750000,1280440000,2.5e+09,15,12,46,73,-13,-11,-11
"1_039",602590000,694890000,23310000,546930000,632280000,2.5e+09,30,27,56,113,939720000,490910000,44930000,28870000,995570000,2.5e+09,15,15,55,85,-15,-12,-1
"1_040",445530000,474580000,14300000,334390000,1231200000,2.5e+09,31,28,66,125,368620000,461670000,23690000,84030000,1561990000,2.5e+09,17,12,49,78,-14,-16,-17
"1_041",771040000,1126010000,17880000,78380000,506690000,2.5e+09,27,23,48,98,880200000,904580000,32810000,15950000,666460000,2.5e+09,16,14,48,78,-11,-9,0
"1_042",993420000,751790000,49430000,123650000,581710000,2.5e+09,29,24,50,103,1020590000,641400000,104260000,20620000,713130000,2.5e+09,21,14,58,93,-8,-10,8
"1_043",632550000,1133560000,15680000,142520000,575690000,2.5e+09,27,19,42,88,959760000,1026110000,34220000,25420000,454490000,2.5e+09,15,15,43,73,-12,-4,1
"1_044",481470000,784390000,32950000,146930000,1054260000,2.5e+09,26,24,53,103,330930000,781840000,37160000,28190000,1321880000,2.5e+09,19,12,53,84,-7,-12,0
"1_045",5.1e+08,769190000,18960000,300740000,901110000,2.5e+09,35,32,75,142,426730000,772570000,23930000,208170000,1068600000,2.5e+09,20,15,53,88,-15,-17,-22
"1_046",367300000,1209360000,15220000,114990000,793130000,2.5e+09,27,23,48,98,231880000,1226180000,21870000,34830000,985240000,2.5e+09,17,14,52,83,-10,-9,4
"1_047",401060000,9.86e+08,20730000,1.1e+08,982210000,2.5e+09,30,22,51,103,300270000,1008810000,24740000,16590000,1149590000,2.5e+09,17,14,49,80,-13,-8,-2
"1_048",240340000,1373610000,10080000,193720000,682250000,2.5e+09,32,26,70,128,136740000,1328340000,16320000,81200000,937400000,2.5e+09,22,15,62,99,-10,-11,-8
"1_049",117380000,1164760000,8360000,219730000,989770000,2.5e+09,36,30,79,145,97310000,1087810000,11430000,191340000,1112110000,2.5e+09,20,16,65,101,-16,-14,-14
