"Forest","Agriculture","Urban","Grassland","Other","Area_Total","natural_sp","human_dominated_sp","Sp_Total"
350550000,1022860000,5640000,4.81e+08,639950000,2.5e+09,31,101,132
48390000,1637350000,19100000,575030000,220130000,2.5e+09,35,106,141
314940000,1306160000,11060000,181790000,686050000,2.5e+09,34,115,149
305690000,1269610000,10680000,44370000,869650000,2.5e+09,27,98,125
104330000,64350000,75100000,6800000,1823710000,2074290000,23,73,96
114180000,1325100000,101850000,71710000,887160000,2.5e+09,31,106,137
20010000,2390150000,19860000,20380000,49600000,2.5e+09,31,90,121
98340000,1959360000,22360000,141770000,278170000,2.5e+09,31,100,131
484810000,1199410000,11930000,25590000,778260000,2.5e+09,29,72,101
461670000,762440000,2350000,248340000,1025200000,2.5e+09,30,90,120
316930000,922020000,6240000,479020000,775790000,2.5e+09,33,100,133
182410000,1916400000,42340000,82270000,276580000,2.5e+09,34,100,134
225940000,778480000,24650000,14640000,1456290000,2.5e+09,32,97,129
136790000,750710000,8090000,3450000,1600960000,2.5e+09,31,90,121
243730000,1931720000,24280000,32910000,267360000,2.5e+09,26,76,102
177050000,1994850000,80140000,31270000,216690000,2.5e+09,32,90,122
244300000,1492620000,6280000,13100000,743700000,2.5e+09,29,96,125
486270000,918480000,7740000,4290000,1083220000,2.5e+09,26,93,119
115310000,1762410000,11470000,75820000,534990000,2.5e+09,34,87,121
16930000,2052630000,34230000,17090000,379120000,2.5e+09,30,90,120
58830000,457090000,35410000,0,1948670000,2.5e+09,34,98,132
498960000,1372050000,6470000,3080000,619440000,2.5e+09,27,94,121
580420000,709350000,3910000,2640000,1203680000,2.5e+09,23,79,102
333500000,1458870000,3310000,12960000,691360000,2.5e+09,23,76,99
310490000,1387510000,5520000,119670000,676810000,2.5e+09,29,84,113
729220000,196780000,23150000,484020000,1066830000,2.5e+09,30,86,116
73210000,1241440000,98990000,3340000,1083020000,2.5e+09,30,98,128
307800000,1374150000,23120000,0,794930000,2.5e+09,25,77,102
135390000,1658220000,155370000,41480000,509540000,2.5e+09,39,108,147
527380000,1449160000,5210000,12700000,505550000,2.5e+09,28,81,109
538780000,1018480000,19950000,0,922790000,2.5e+09,29,86,115
465950000,762500000,8840000,6790000,1255920000,2.5e+09,28,80,108
772010000,471320000,2940000,98510000,1155220000,2.5e+09,30,76,106
739550000,581680000,1110000,30220000,1147440000,2.5e+09,32,93,125
209990000,901850000,115750000,33840000,1238570000,2.5e+09,28,88,116
56430000,987090000,240870000,7e+05,1214910000,2.5e+09,41,102,143
46080000,1244970000,83640000,1150000,1124160000,2.5e+09,37,96,133
457390000,956260000,64640000,650000,1021060000,2.5e+09,39,103,142
378300000,508300000,4670000,656220000,952510000,2.5e+09,32,114,146
201010000,1774140000,45880000,411030000,67940000,2.5e+09,37,118,155
626350000,1255410000,39620000,132860000,445760000,2.5e+09,37,108,145
363600000,386730000,2460000,536460000,1210750000,2.5e+09,35,110,145
568290000,406610000,42240000,5.64e+08,918860000,2.5e+09,36,110,146
143580000,2241420000,12120000,60380000,42500000,2.5e+09,37,96,133
147220000,1940430000,6010000,142490000,263850000,2.5e+09,34,103,137
770250000,1411350000,14550000,56760000,247090000,2.5e+09,36,87,123
383340000,1412210000,29560000,371230000,303660000,2.5e+09,37,106,143
46580000,2372500000,6310000,50410000,24200000,2.5e+09,29,90,119
103080000,2300680000,14140000,2.5e+07,57100000,2.5e+09,33,96,129
119490000,2226540000,18080000,18330000,117560000,2.5e+09,35,102,137
256750000,1871490000,59540000,50550000,261670000,2.5e+09,36,98,134
1131830000,125560000,1570000,223300000,1017740000,2.5e+09,32,93,125
849210000,1068750000,5420000,143310000,433310000,2.5e+09,36,105,141
982080000,73350000,3720000,323650000,1117200000,2.5e+09,32,99,131
585080000,1475130000,6070000,122600000,311120000,2.5e+09,36,109,145
294280000,141930000,7420000,222250000,1573920000,2239800000,27,73,100
55750000,47410000,5760000,91550000,1479660000,1680130000,30,81,111
206050000,970110000,535360000,382790000,405690000,2.5e+09,37,110,147
410630000,1336870000,4780000,244120000,503600000,2.5e+09,32,97,129
507360000,279410000,83600000,801490000,828140000,2.5e+09,36,114,150
572850000,865400000,5750000,214080000,841920000,2.5e+09,35,97,132
345510000,1177800000,29480000,110930000,836280000,2.5e+09,38,108,146
126200000,2127250000,29480000,10780000,206290000,2.5e+09,32,101,133
215360000,2062410000,9710000,28430000,184090000,2.5e+09,30,101,131
1226790000,681080000,7620000,129950000,454560000,2.5e+09,34,109,143
824830000,1161830000,1660000,1.01e+08,410680000,2.5e+09,32,113,145
713600000,232730000,25710000,510050000,1017910000,2.5e+09,32,96,128
484210000,1076310000,2770000,180650000,756060000,2.5e+09,37,101,138
925920000,477670000,19720000,432560000,644130000,2.5e+09,35,93,128
527230000,1293730000,3050000,28310000,647680000,2.5e+09,36,108,144
12350000,94040000,30170000,4490000,1856950000,1.998e+09,30,79,109
150350000,519740000,133190000,54420000,1637230000,2494930000,39,94,133
404410000,1610740000,12300000,34180000,438370000,2.5e+09,33,92,125
1179840000,563530000,540000,65900000,690190000,2.5e+09,33,93,126
405160000,1218250000,1940000,281740000,592910000,2.5e+09,30,90,120
690450000,1197540000,7400000,166730000,437880000,2.5e+09,32,94,126
1091690000,611850000,1460000,182660000,612340000,2.5e+09,29,80,109
1170060000,519070000,12370000,109750000,688750000,2.5e+09,34,112,146
1165950000,632560000,6740000,138080000,556670000,2.5e+09,34,106,140
383700000,1356340000,21380000,67730000,670850000,2.5e+09,41,121,162
373670000,1367310000,920000,106260000,651840000,2.5e+09,32,100,132
1174710000,66370000,88680000,489280000,680960000,2.5e+09,32,96,128
631160000,1491310000,44320000,20730000,312480000,2.5e+09,38,116,154
1275870000,27680000,61990000,577690000,556770000,2.5e+09,37,101,138
693310000,1299470000,16240000,135240000,355740000,2.5e+09,39,121,160
43680000,639190000,106510000,328830000,1381790000,2.5e+09,38,98,136
