"cell50x50","ccv","log_ccv"
"29SMC3",8.19816621678899,1.99626274520377
"29SMD3",32.821538751436,2.98526608985829
"29SMD4",13.8404559603779,2.32311175459638
"29SME4",NA,NA
"29SNA1",NA,NA
"29SNA3",12.6938325634445,2.54090076272319
"29SNB1",15.8490135180162,2.59022107253182
"29SNB2",9.24606737207382,1.94488929052545
"29SNB3",24.0238251025504,2.95665275760072
"29SNB4",9.36789917556468,2.04117259297785
"29SNC1",36.8283040737437,3.37151032042374
"29SNC2",23.2992041650111,2.68044706595678
"29SNC3",19.2888203821594,2.69961919025793
"29SNC4",45.9317042240311,3.36292625698914
"29SND1",11.2317142564103,2.03845844473594
"29SND2",39.9874531318864,3.28802380831468
"29SND3",13.9641864908635,2.38071532548374
"29SND4",32.0767187551577,3.24020935972302
"29SNE2",19.7214182371047,2.52613029507076
"29SNE4",5.52448172376342,1.428644605861
"29SPA1",15.7401928202857,2.75621749325003
"29SPB1",21.1720269956638,2.84524346796222
"29SPB2",12.8204190148016,2.25567537365516
"29SPB3",11.6617067162364,2.0381931957062
"29SPB4",18.5318582407493,2.61712307132451
"29SPC1",17.9594256002269,2.74574733005822
"29SPC2",20.3960616612074,2.82175802609764
"29SPC3",20.2956364748289,2.6593336020167
"29SPC4",12.9006307653511,2.15783048659809
"29SPD1",13.8387567535401,2.32374686557548
"29SPD2",17.2556722362341,2.65001969810468
"29SPD3",18.1464957252678,2.29298717785164
"29SPD4",23.6900531616876,2.65568079688559
"29SPE2",8.01154459932258,1.67665039912728
"29SPE4",12.0268784898719,2.11331490413254
"29SQA1",36.0570888717263,3.34068837903427
"29SQA2",27.2834520813144,3.18379091758499
"29SQB1",7.69207556703168,1.87132533727557
"29TNH4",6.06348868060865,1.6500516658683
"29SQB2",26.1994108772474,2.94926619312921
"29SQC1",15.6420948507323,2.354381574329
"29SQC2",12.8827471648636,1.94668028048647
"29SQD1",18.4591725935769,2.44134543067604
"29SQD2",17.7259641289715,2.55687371000456
"29SQE2",12.2642542045672,2.16984833497554
"29TMH3",9.90632223776307,1.94014011835731
"29TMH4",5.78040839642393,1.43332007046097
"29TNE1",16.2377106618746,2.67677718479107
"29TNE3",6.87764962962764,1.65642831979339
"29TNF1",14.8803870206886,2.40763569195641
"29TNF2",10.5540985443119,2.20062186625048
"29TNF3",6.60523568332654,1.33825701448452
"29TNF4",4.44640809193859,1.18707609680383
"29TNG1",4.85283869282128,1.39940420587068
"29TNG2",7.06497487405405,1.57286806309102
"29TNG3",3.84576062903782,1.11015731137138
"29TNG4",3.68017857592469,1.01439546884512
"29TNH1",10.5898370271615,2.01336160732123
"29TNH2",6.60034972156571,1.51755759777723
"29TNH3",10.3191296827368,1.96586328246464
"29TNJ2",6.56980284524952,1.88248382371285
"29TNJ4",7.18126834610154,1.66775367935828
"29TPE1",3.81860066837245,0.890289254280328
"29TPE3",8.09769408736679,1.63277496418597
"29TPF1",4.00874880533754,1.21029403797961
"29TPF2",6.05416023409814,1.52734823485966
"29TPF3",5.69789825824024,1.4530276907066
"29TPF4",7.97467309159889,1.84457437351979
"29TPG1",4.24476913462846,1.15385608622214
"29TPG2",7.72939704296535,1.24896862253786
"29TPG3",2.71092137891361,0.803869535146394
"29TPG4",4.95304671046665,1.44153263136085
"29TPH1",10.5761460034109,2.01994734503735
"29TPH2",4.84351125345491,1.38366246158744
"29TPH3",6.03355861194396,1.1761181126351
"29TPH4",3.69039583524992,1.03665325440622
"29TPJ2",4.22264115201364,1.24888930441343
"29TPJ4",2.76612758695139,0.90546575568136
"29TQE1",4.19765746301061,1.13206704101882
"29TQF1",22.9429855668005,2.56261869902833
"29TQF2",21.8458577722197,2.793208689465
"29TQG1",6.11526211606463,1.590108035547
"29TQG2",9.81299665147407,2.11940166857156
"29TQH1",3.2763958744566,0.935694815555719
"29TQH2",3.36347827314066,1.06763163000528
"29TQJ2",5.15464441308213,1.381051546185
"29ULT3",NA,NA
"29UMA2",12.0643800446175,2.27662328500304
"29UMA4",6.54030244264122,1.69060133258247
"29UMS1",NA,NA
"29UMT1",3.59353449741307,1.03350567345689
"29UMT2",3.34451613141922,1.0480881423487
"29UMT3",4.84172500664127,1.31997491997904
"29UMT4",5.60988054545722,1.45316220555701
"29UMU2",14.1682545226995,2.64159702942212
"29UMU3",8.00608101400561,1.78269195382517
"29UMU4",8.59157487458462,1.80764427501175
"29UMV1",13.5763741712696,1.93545806799445
"29UMV2",7.13709581062552,1.48991637959923
"29UMV3",8.82510470936893,1.83953248500295
"29UMV4",8.91709351878026,1.75652614255758
"29UNA1",7.32289085598115,1.65339932790641
"29UNA2",8.2703928182209,1.57224535193521
"29UNA3",11.8871641741713,1.9875528921948
"29UNA4",9.06612017186946,1.81887844897661
"29UNB4",8.09431013466398,1.81387751722511
"29UNT1",8.39957578216195,1.7517527661747
"29UNT2",12.9780020253608,2.40650922396139
"29UNT3",6.88465312532811,1.5317479795518
"29UNU1",8.79804328542801,1.77245193934015
"29UNU2",8.48084924311998,1.93202949791602
"29UNU3",13.3930590058933,2.20471684559797
"29UNU4",14.3207228673541,2.00693359267836
"29UNV1",14.700280933311,2.40867215485069
"29UNV2",16.1501166153023,2.55363386904247
"29UNV3",17.6451254538118,2.43982561530677
"29UNV4",18.4752408654661,2.58556083549369
"29UPA1",7.88004444961353,1.77320293151148
"29UPA2",12.2035047091371,2.30012866528383
"29UPA3",11.4234169162591,2.10204779969706
"29UPA4",10.7808819834033,2.09983238783624
"29UPB2",6.19665262378732,1.63650222290472
"29UPB4",10.3784558446055,1.96354699559645
