"cell50x50","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","delta_SR","delta_occ_m"
"31UDU1",3,6,8,3,3,5
"31UDU2",2458,32,2966,36,-4,508
"31UEP1",1881,51,5179,51,0,3298
"31UEP2",4199,51,16857,47,4,12658
"31UEP3",862,52,40796,40,12,39934
"31UEP4",3038,56,2974,52,4,-64
"31UEQ1",1316,58,30885,50,8,29569
"31UEQ2",1069,57,16895,44,13,15826
"31UEQ3",1047,55,34535,54,1,33488
"31UEQ4",1415,55,83344,53,2,81929
"31UER1",939,50,70128,45,5,69189
"31UER2",571,54,123181,37,17,122610
"31UER3",1220,44,1640,48,-4,420
"31UER4",884,59,104858,47,12,103974
"31UES1",866,38,18073,28,10,17207
"31UES2",554,33,4769,35,-2,4215
"31UES3",3123,47,38005,42,5,34882
"31UES4",1664,33,6455,41,-8,4791
"31UET2",53,34,15640,15,19,15587
"31UET3",270,47,83194,27,20,82924
"31UET4",121,43,66063,24,19,65942
"31UFP1",2693,52,5404,54,-2,2711
"31UFP2",3463,55,10489,57,-2,7026
"31UFP3",1325,59,116338,54,5,115013
"31UFP4",1831,62,23234,51,11,21403
"31UFQ1",1541,58,34635,53,5,33094
"31UFQ2",1465,53,95307,47,6,93842
"31UFQ3",4282,61,5585,56,5,1303
"31UFQ4",2749,57,17234,53,4,14485
"31UFR1",3849,33,3560,52,-19,-289
"31UFR2",2782,55,10656,53,2,7874
"31UFR3",8003,40,5478,55,-15,-2525
"31UFR4",4339,55,6238,57,-2,1899
"31UFS1",16142,38,23364,42,-4,7222
"31UFS2",3537,31,6697,49,-18,3160
"31UFS3",1951,52,62486,43,9,60535
"31UFS4",5411,56,68623,51,5,63212
"31UFT1",455,46,100954,40,6,100499
"31UFT2",503,48,108908,32,16,108405
"31UFT3",478,49,168175,37,12,167697
"31UFT4",396,49,121255,29,20,120859
"31UFU1",52,39,26581,11,28,26529
"31UFU2",132,44,87362,18,26,87230
"31UFU3",122,40,40106,17,23,39984
"31UFU4",462,41,45289,30,11,44827
"31UFV4",26,34,8382,11,23,8356
"31UGP1",1823,47,3519,54,-7,1696
"31UGP2",1223,53,5979,47,6,4756
"31VFE3",161,28,1013,16,12,852
"31VFF1",59,24,1044,13,11,985
"31VFF2",17,18,325,8,10,308
"31VFF3",183,31,1084,17,14,901
"31VFF4",462,33,3316,27,6,2854
"31VFG1",620,30,1827,26,4,1207
"31VFG2",341,27,2743,18,9,2402
"31VFH1",169,20,283,14,6,114
"31VFH2",739,29,1744,27,2,1005
"31VFJ1",570,23,886,22,1,316
"31VFJ2",255,24,457,21,3,202
"31VFK2",400,21,412,17,4,12
"32TKN3",720,45,6167,49,-4,5447
"32TKP3",1673,65,8790,61,4,7117
"32TKP4",1402,63,10229,53,10,8827
"32TKQ3",44603,70,36697,69,1,-7906
"32TKQ4",6197,72,17515,69,3,11318
"32TKR3",1194,63,4068,53,10,2874
"32TKR4",597,62,3450,42,20,2853
"32TLN1",32,25,245,8,17,213
"32TLP1",2351,66,18935,65,1,16584
"32TLP2",1573,58,9139,56,2,7566
"32TLP3",1804,67,10091,62,5,8287
"32TLP4",303,40,2286,30,10,1983
"32TLQ1",6273,59,22872,59,0,16599
"32TLQ2",2572,54,20545,59,-5,17973
"32TLQ3",7,45,1721,4,41,1714
"32TLQ4",1,35,341,1,34,340
"32TLR1",3316,62,3611,59,3,295
"32TLR2",12987,65,8516,59,6,-4471
"32TLR3",1156,37,3125,44,-7,1969
"32TLR4",756,37,2369,12,25,1613
"32TLS1",13436,68,28460,66,2,15024
"32TLS2",12594,75,15500,77,-2,2906
"32TLS3",7145,63,21643,64,-1,14498
"32TLS4",10715,67,16285,71,-4,5570
"32TLT1",2359,62,10726,61,1,8367
"32TLT2",11507,67,14092,67,0,2585
"32TLT3",5789,58,9780,62,-4,3991
"32TLT4",10163,60,35496,64,-4,25333
"32TMP1",8,32,196,4,28,188
"32TMP3",NA,6,13,NA,NA,NA
"32TMQ1",5,29,948,5,24,943
"32TMQ2",1,37,625,1,36,624
"32TMQ3",1,29,315,1,28,314
"32TMQ4",31,35,569,8,27,538
"32TMR1",188,36,1008,24,12,820
"32TMR2",3,29,308,3,26,305
"32TMR3",1827,51,1470,53,-2,-357
"32TMR4",NA,21,218,NA,NA,NA
"32TMS1",3028,61,12768,61,0,9740
"32TMS2",6451,60,5300,62,-2,-1151
"32TMS3",3473,59,7007,62,-3,3534
"32TMS4",5047,60,6980,67,-7,1933
"32TMT1",3882,54,5997,54,0,2115
"32TMT2",7538,58,12304,60,-2,4766
"32TMT3",14306,56,12084,56,0,-2222
"32TMT4",12403,58,12591,63,-5,188
"32TNP1",NA,5,14,NA,NA,NA
"32TNP3",15,25,112,2,23,97
"32TNQ1",1,26,321,1,25,320
"32TNQ2",4,30,373,4,26,369
"32TNQ3",NA,22,130,NA,NA,NA
"32TNQ4",2,18,89,2,16,87
"32TNR1",811,37,839,49,-12,28
"32TNR2",NA,21,315,NA,NA,NA
"32TNR3",9,29,448,1,28,439
"32TNR4",NA,24,243,NA,NA,NA
"32TNS1",5950,66,8579,60,6,2629
"32TNS2",4891,54,3801,68,-14,-1090
"32TNS3",5596,55,7193,52,3,1597
"32TNS4",1885,49,2794,53,-4,909
"32TNT1",4200,53,7197,52,1,2997
"32TNT2",5975,65,11162,66,-1,5187
"32TNT3",2923,48,1146,23,25,-1777
"32TNT4",443,45,1906,25,20,1463
"32TPM3",2,8,21,2,6,19
"32TPN1",NA,18,70,NA,NA,NA
"32TPN2",NA,12,22,NA,NA,NA
"32TPN3",4,25,316,3,22,312
"32TPN4",13,29,232,4,25,219
"32TPP1",2,36,176,2,34,174
"32TPP2",13,23,153,7,16,140
"32TPP3",4,30,193,3,27,189
"32TPP4",24,18,234,15,3,210
"32TPQ1",NA,29,340,NA,NA,NA
"32TPQ2",NA,17,112,NA,NA,NA
"32TPQ3",NA,16,97,NA,NA,NA
"32TPQ4",10,23,188,5,18,178
"32TPR1",48,37,659,10,27,611
"32TPR2",1,31,272,1,30,271
"32TPR3",25,38,1748,11,27,1723
"32TPR4",NA,22,159,NA,NA,NA
"32TPS1",2432,46,1867,44,2,-565
"32TPS2",363,30,892,15,15,529
"32TPS3",8,34,436,6,28,428
"32TPS4",65,46,1083,7,39,1018
"32TPT1",64,39,1209,28,11,1145
"32TPT2",49,27,971,11,16,922
"32TPT3",25,40,1236,12,28,1211
"32TPT4",7,38,1251,4,34,1244
"32TQM1",NA,14,41,NA,NA,NA
"32TQN1",3,16,76,2,14,73
"32TQN2",2,23,189,2,21,187
"32TQP1",NA,25,170,NA,NA,NA
"32TQP2",1,22,100,1,21,99
"32TQQ1",NA,18,231,NA,NA,NA
"32TQQ2",NA,17,66,NA,NA,NA
"32TQR1",NA,24,144,NA,NA,NA
"32TQR2",NA,20,68,NA,NA,NA
"32TQS1",61,34,696,26,8,635
"32TQS2",3,35,704,3,32,701
"32TQT1",23,37,1226,16,21,1203
"32TQT2",634,41,1186,41,0,552
"32ULA1",523,49,4732,43,6,4209
"32ULA2",4935,54,10621,55,-1,5686
"32ULA3",2,54,2357,2,52,2355
"32ULA4",12,47,2299,8,39,2287
"32ULB1",1470,52,25487,35,17,24017
"32ULB2",304,54,10455,38,16,10151
"32ULB3",214,52,7009,30,22,6795
"32ULB4",38,60,5874,11,49,5836
"32ULC1",304,47,65232,35,12,64928
"32ULC2",83,49,14071,14,35,13988
"32ULC3",27,52,12482,11,41,12455
"32ULC4",3,54,9165,2,52,9162
"32ULD1",109,46,89509,21,25,89400
"32ULD2",296,49,78066,28,21,77770
"32ULD3",22,40,24840,7,33,24818
"32ULD4",15,49,9093,7,42,9078
"32ULE2",16,36,20586,11,25,20570
"32ULE4",3,36,3588,2,34,3585
"32ULU1",1173,48,2630,46,2,1457
"32ULU2",870,58,3196,47,11,2326
"32ULU3",2012,59,8057,46,13,6045
"32ULU4",2170,63,8191,53,10,6021
"32ULV1",2854,56,28046,59,-3,25192
"32ULV2",2587,56,14762,54,2,12175
"32ULV3",122,45,2701,14,31,2579
"32ULV4",1279,46,3850,51,-5,2571
"32UMA1",21,54,4720,7,47,4699
"32UMA2",45,53,8077,20,33,8032
"32UMA3",19,59,7450,15,44,7431
"32UMA4",17,57,16680,10,47,16663
"32UMB1",197,41,993,19,22,796
"32UMB2",27,45,1841,17,28,1814
"32UMB3",10,43,1616,4,39,1606
"32UMB4",32,52,3199,16,36,3167
"32UMC1",1,51,6423,1,50,6422
"32UMC2",35,51,3752,17,34,3717
"32UMC3",44,51,4426,6,45,4382
"32UMC4",14,41,1219,6,35,1205
"32UMD1",2,42,1538,1,41,1536
"32UMD2",7,46,2222,5,41,2215
"32UMD3",49,37,3280,10,27,3231
"32UMD4",NA,34,1663,NA,NA,NA
"32UME1",6,17,314,2,15,308
"32UME2",2,39,710,1,38,708
"32UME3",NA,34,1179,NA,NA,NA
"32UME4",11,36,2158,3,33,2147
"32UMF3",179,38,2448,20,18,2269
"32UMF4",NA,19,588,NA,NA,NA
"32UMG1",2465,26,1976,18,8,-489
"32UMG3",1762,38,7090,28,10,5328
"32UMG4",449,39,3775,31,8,3326
"32UMU1",598,57,4611,34,23,4013
"32UMU2",56,52,1575,7,45,1519
"32UMU3",28,36,812,8,28,784
"32UMU4",1,35,692,1,34,691
"32UMV1",61,56,9028,11,45,8967
"32UMV2",610,58,6619,38,20,6009
"32UMV3",20,52,6653,17,35,6633
"32UMV4",NA,45,3631,NA,NA,NA
"32UNA1",71,46,1270,19,27,1199
"32UNA2",40,37,1742,13,24,1702
"32UNA3",141,42,1640,26,16,1499
"32UNA4",1002,50,5439,34,16,4437
"32UNB1",10,50,3741,4,46,3731
"32UNB2",3,47,2076,3,44,2073
"32UNB3",29,48,2194,9,39,2165
"32UNB4",NA,38,519,NA,NA,NA
"32UNC1",26,54,2053,9,45,2027
"32UNC2",6,51,1386,6,45,1380
"32UNC3",201,58,9137,20,38,8936
"32UNC4",9,53,2972,4,49,2963
"32UND1",2,33,896,2,31,894
"32UND2",20,42,3194,11,31,3174
"32UND3",58,46,1728,5,41,1670
"32UND4",64,49,7787,22,27,7723
"32UNE1",NA,36,1062,NA,NA,NA
"32UNE2",NA,33,1471,NA,NA,NA
"32UNE3",94,42,4198,25,17,4104
"32UNE4",113,49,7931,27,22,7818
"32UNF1",282,45,3009,21,24,2727
"32UNF2",18,38,1087,8,30,1069
"32UNF3",137,35,1549,22,13,1412
"32UNF4",16,43,3018,12,31,3002
"32UNG1",1058,42,13934,31,11,12876
"32UNG2",750,39,3414,29,10,2664
"32UNG3",1213,37,6809,31,6,5596
"32UNU1",22,38,1588,9,29,1566
"32UNU2",3,36,715,3,33,712
"32UNU3",21,37,985,12,25,964
"32UNU4",8,36,448,8,28,440
"32UNV1",7,29,363,7,22,356
"32UNV2",26,46,5148,9,37,5122
"32UNV3",7,31,256,7,24,249
"32UNV4",30,38,2707,18,20,2677
"32UPA1",18,38,939,10,28,921
"32UPA2",47,36,686,13,23,639
"32UPA3",27,42,778,10,32,751
"32UPA4",99,42,1221,19,23,1122
"32UPB1",5,40,745,5,35,740
"32UPB2",NA,27,749,NA,NA,NA
"32UPB3",16,30,496,11,19,480
"32UPB4",19,54,2216,7,47,2197
"32UPC1",170,49,2349,19,30,2179
"32UPC2",2,53,1585,2,51,1583
"32UPC3",2,32,524,1,31,522
"32UPC4",5,35,934,4,31,929
"32UPD1",NA,41,1537,NA,NA,NA
"32UPD2",1,38,1284,1,37,1283
"32UPD3",6,42,871,6,36,865
"32UPD4",23,22,149,6,16,126
"32UPE1",20,41,2446,10,31,2426
"32UPE2",19,41,1639,13,28,1620
"32UPE3",1,35,674,1,34,673
"32UPE4",9,27,531,5,22,522
"32UPF2",97,35,1080,8,27,983
"32UPF4",9,24,231,5,19,222
"32UPU1",152,36,869,30,6,717
"32UPU2",23,25,427,9,16,404
"32UPU3",96,29,739,18,11,643
"32UPU4",87,41,3360,27,14,3273
"32UPV1",52,32,1647,17,15,1595
"32UPV2",24,38,1555,14,24,1531
"32UPV3",73,53,1738,15,38,1665
"32UPV4",65,35,509,20,15,444
"32UQU1",83,29,569,13,16,486
"32UQU2",40,38,743,13,25,703
"32VLK3",571,26,827,27,-1,256
"32VLK4",560,25,1282,28,-3,722
"32VLL3",103,15,185,16,-1,82
"32VLL4",119,24,545,18,6,426
"32VLM3",195,21,304,21,0,109
"32VLM4",221,26,766,22,4,545
"32VLN3",169,27,505,23,4,336
"32VLN4",414,27,352,20,7,-62
"32VLP3",358,22,248,27,-5,-110
"32VLP4",111,17,653,19,-2,542
"32VLQ3",193,13,196,14,-1,3
"32VLQ4",1156,28,1025,23,5,-131
"32VMH1",30,11,111,11,0,81
"32VMH2",85,19,332,17,2,247
"32VMH3",954,32,4469,29,3,3515
"32VMH4",732,36,4821,24,12,4089
"32VMK1",948,29,1082,27,2,134
"32VMK2",1025,31,2517,32,-1,1492
"32VMK3",1566,28,1478,27,1,-88
"32VMK4",102,22,186,18,4,84
"32VML1",293,22,651,22,0,358
"32VML2",378,22,391,25,-3,13
"32VML3",315,25,1039,26,-1,724
"32VML4",1041,23,455,30,-7,-586
"32VMM1",152,15,213,17,-2,61
"32VMM2",211,24,412,22,2,201
"32VMM3",216,21,271,22,-1,55
"32VMM4",141,22,681,23,-1,540
"32VMN1",249,23,392,21,2,143
"32VMN2",244,17,252,21,-4,8
"32VMN3",347,25,438,18,7,91
"32VMN4",539,31,2194,27,4,1655
"32VMP1",415,22,520,21,1,105
"32VMP2",112,24,180,22,2,68
"32VMP3",1080,24,1003,20,4,-77
"32VMP4",362,20,278,22,-2,-84
"32VMQ1",996,27,1383,26,1,387
"32VMQ2",1211,29,681,28,1,-530
"32VMQ3",1181,31,3100,31,0,1919
"32VMQ4",1647,20,693,26,-6,-954
"32VMR4",667,23,670,22,1,3
"32VNH1",966,37,4699,31,6,3733
"32VNH2",923,40,7619,29,11,6696
"32VNH3",838,37,4704,32,5,3866
"32VNH4",1062,39,14603,34,5,13541
"32VNJ2",3864,30,4631,28,2,767
"32VNJ4",1114,39,7031,34,5,5917
"32VNK1",37,11,54,17,-6,17
"32VNL1",571,31,2313,28,3,1742
"32VNL2",437,30,1773,24,6,1336
"32VNL3",1632,39,6668,30,9,5036
"32VNL4",306,30,719,23,7,413
"32VNM1",308,26,665,31,-5,357
"32VNM2",523,31,1340,30,1,817
"32VNM3",1228,36,3994,31,5,2766
"32VNM4",2116,39,13175,34,5,11059
"32VNN1",1772,27,905,24,3,-867
"32VNN2",321,25,1239,27,-2,918
"32VNN3",941,37,2545,36,1,1604
"32VNN4",495,28,2011,27,1,1516
"32VNP1",1833,25,2006,29,-4,173
"32VNP2",480,29,1634,26,3,1154
"32VNP3",1116,27,597,24,3,-519
"32VNP4",1784,30,865,33,-3,-919
"32VNQ1",397,26,2616,28,-2,2219
"32VNQ2",3161,30,2601,28,2,-560
"32VNQ3",835,29,2360,25,4,1525
"32VNQ4",2094,18,1602,21,-3,-492
"32VNR1",340,26,3736,23,3,3396
"32VNR2",487,26,1519,29,-3,1032
"32VNR3",514,26,999,29,-3,485
"32VNR4",1616,35,9246,34,1,7630
"32VPH1",383,30,1522,26,4,1139
"32VPH2",185,33,1168,25,8,983
"32VPK3",421,43,4280,32,11,3859
"32VPK4",192,46,10772,29,17,10580
"32VPL1",968,38,5183,33,5,4215
"32VPL2",396,34,1588,27,7,1192
"32VPL3",205,40,691,30,10,486
"32VPL4",121,37,765,29,8,644
"32VPM1",1521,41,5158,34,7,3637
"32VPM2",2649,42,9443,35,7,6794
"32VPN1",1286,38,2420,33,5,1134
"32VPN2",1073,31,3962,31,0,2889
"32VPP1",531,23,269,28,-5,-262
"32VPP2",827,26,561,31,-5,-266
"32VPQ1",421,28,1025,22,6,604
"32VPQ2",469,29,1422,26,3,953
"32VPR1",515,33,1663,25,8,1148
"32VPR2",362,28,1690,29,-1,1328
"32WNS2",28,5,36,4,1,8
"32WNS3",105,16,95,18,-2,-10
"32WNS4",342,15,165,17,-2,-177
"32WPS1",498,20,585,16,4,87
"32WPS2",798,25,1231,24,1,433
"32WPT2",173,12,169,10,2,-4
"33SWC3",NA,4,7,NA,NA,NA
"33SWC4",3,9,14,2,7,11
"33SWD3",NA,4,4,NA,NA,NA
"33SWD4",NA,5,6,NA,NA,NA
"33SWE2",NA,4,6,NA,NA,NA
"33SWE4",NA,17,30,NA,NA,NA
"33SXC1",4,7,28,2,5,24
"33SXC2",NA,1,1,NA,NA,NA
"33SXD1",NA,7,10,NA,NA,NA
"33SXD2",NA,13,35,NA,NA,NA
"33SXD3",NA,3,3,NA,NA,NA
"33SXD4",NA,6,8,NA,NA,NA
"33SXE2",NA,10,18,NA,NA,NA
"33TTF3",NA,1,2,NA,NA,NA
"33TTG3",NA,24,169,NA,NA,NA
"33TTG4",9,22,303,5,17,294
"33TTH3",NA,18,71,NA,NA,NA
"33TTH4",1,19,70,1,18,69
"33TTJ3",NA,23,136,NA,NA,NA
"33TTJ4",NA,15,29,NA,NA,NA
"33TTK3",NA,14,286,NA,NA,NA
"33TTK4",1,14,47,1,13,46
"33TTL3",NA,21,117,NA,NA,NA
"33TTL4",2,12,142,2,10,140
"33TUF1",NA,14,59,NA,NA,NA
"33TUF3",NA,13,38,NA,NA,NA
"33TUG1",4,25,99,3,22,95
"33TUG2",NA,23,200,NA,NA,NA
"33TUG3",43,19,87,7,12,44
"33TUG4",NA,24,195,NA,NA,NA
"33TUH1",NA,15,80,NA,NA,NA
"33TUH2",NA,18,39,NA,NA,NA
"33TUH3",NA,10,57,NA,NA,NA
"33TUH4",1,22,88,1,21,87
"33TUJ1",1,11,19,1,10,18
"33TUJ2",NA,20,108,NA,NA,NA
"33TUJ4",NA,11,34,NA,NA,NA
"33TUK3",16,4,6,14,-10,-10
"33TUL1",NA,26,1815,NA,NA,NA
"33TUL2",NA,6,19,NA,NA,NA
"33TUL3",10,28,4795,10,18,4785
"33TUL4",49,12,64,17,-5,15
"33TUM1",582,31,1402,57,-26,820
"33TUM2",9,40,3496,2,38,3487
"33TUM3",163,33,1068,43,-10,905
"33TUM4",35,34,3534,12,22,3499
"33TUN1",1208,45,4859,59,-14,3651
"33TUN2",2629,42,7851,58,-16,5222
"33TUN3",1617,57,7344,65,-8,5727
"33TUN4",2186,46,2798,60,-14,612
"33TVE1",7,4,4,2,2,-3
"33TVE3",NA,5,7,NA,NA,NA
"33TVF1",1,19,75,1,18,74
"33TVF2",2,17,39,2,15,37
"33TVF3",NA,23,88,NA,NA,NA
"33TVF4",2,11,42,1,10,40
"33TVG1",24,18,108,7,11,84
"33TVG2",25,28,391,6,22,366
"33TVG3",NA,8,26,NA,NA,NA
"33TVG4",NA,19,91,NA,NA,NA
"33TVH1",NA,3,3,NA,NA,NA
"33TVH2",NA,4,7,NA,NA,NA
"33TVK1",11,20,82,10,10,71
"33TVK3",74,17,84,25,-8,10
"33TVK4",7,8,37,6,2,30
"33TVL1",98,34,2424,30,4,2326
"33TVL2",114,24,250,26,-2,136
"33TVL3",91,35,742,25,10,651
"33TVL4",83,21,179,27,-6,96
"33TVM1",89,42,510,39,3,421
"33TVM2",122,26,496,25,1,374
"33TVM3",14,24,169,9,15,155
"33TVM4",120,34,236,26,8,116
"33TVN1",982,40,1740,40,0,758
"33TVN2",329,33,412,49,-16,83
"33TVN3",1810,47,6571,36,11,4761
"33TVN4",13,32,280,2,30,267
"33TWE1",10,14,33,2,12,23
"33TWE3",NA,17,47,NA,NA,NA
"33TWF1",NA,10,18,NA,NA,NA
"33TWF2",23,11,15,4,7,-8
"33TWF3",NA,3,5,NA,NA,NA
"33TWF4",NA,8,10,NA,NA,NA
"33TWG1",NA,1,1,NA,NA,NA
"33TWG2",NA,5,5,NA,NA,NA
"33TWG4",3,13,29,2,11,26
"33TWJ1",26,9,13,9,0,-13
"33TWJ3",13,20,59,7,13,46
"33TWJ4",8,5,23,6,-1,15
"33TWK1",64,16,68,24,-8,4
"33TWK2",34,15,62,18,-3,28
"33TWK3",9,11,25,7,4,16
"33TWK4",22,8,10,14,-6,-12
"33TWL1",62,26,333,17,9,271
"33TWL2",48,28,88,22,6,40
"33TWL3",106,23,139,35,-12,33
"33TWL4",13,15,415,9,6,402
"33TWM1",37,44,645,17,27,608
"33TWM2",46,14,30,19,-5,-16
"33TWM3",53,39,500,19,20,447
"33TWM4",46,23,63,18,5,17
"33TWN1",7,23,419,6,17,412
"33TWN2",2,57,1464,1,56,1462
"33TWN3",NA,33,381,NA,NA,NA
"33TWN4",4,37,649,2,35,645
"33TXE1",NA,11,36,NA,NA,NA
"33TXE3",NA,8,23,NA,NA,NA
"33TXF1",NA,4,5,NA,NA,NA
"33TXF2",NA,12,56,NA,NA,NA
"33TXF3",NA,2,3,NA,NA,NA
"33TXF4",NA,8,34,NA,NA,NA
"33TXH3",32,14,198,9,5,166
"33TXJ1",49,10,13,20,-10,-36
"33TXJ2",46,18,61,18,0,15
"33TXJ3",52,7,8,23,-16,-44
"33TXJ4",27,16,76,15,1,49
"33TXK1",1,2,4,1,1,3
"33TXK2",19,3,3,12,-9,-16
"33TXK3",2,6,7,2,4,5
"33TXK4",24,1,1,18,-17,-23
"33TXL1",21,17,88,17,0,67
"33TXL2",45,13,98,18,-5,53
"33TXL3",18,5,8,15,-10,-10
"33TXL4",50,11,46,20,-9,-4
"33TXM1",650,10,16,15,-5,-634
"33TXM2",51,16,41,21,-5,-10
"33TXM3",609,12,43,17,-5,-566
"33TXM4",18,7,13,5,2,-5
"33TXN1",46,44,1898,19,25,1852
"33TXN2",4,21,85,1,20,81
"33TXN3",38,20,513,8,12,475
"33TXN4",2,6,7,2,4,5
"33TYE1",NA,11,75,NA,NA,NA
"33TYF2",NA,4,6,NA,NA,NA
"33TYH1",31,6,17,13,-7,-14
"33TYH2",8,2,4,6,-4,-4
"33TYJ1",18,1,1,12,-11,-17
"33TYJ2",44,6,12,20,-14,-32
"33TYK1",17,2,2,15,-13,-15
"33TYK2",13,3,6,11,-8,-7
"33TYL1",21,6,9,17,-11,-12
"33TYL2",42,18,50,23,-5,8
"33TYM1",106,12,81,12,0,-25
"33TYM2",13,14,25,6,8,12
"33TYN1",4,9,15,3,6,11
"33TYN2",10,12,46,7,5,36
"33UUA2",8,34,1283,4,30,1275
"33UUA4",6,31,982,4,27,976
"33UUB3",1740,47,16719,40,7,14979
"33UUB4",365,36,3152,27,9,2787
"33UUP1",16,27,253,7,20,237
"33UUP2",329,53,4203,46,7,3874
"33UUP3",94,39,872,25,14,778
"33UUP4",624,48,3836,56,-8,3212
"33UUQ1",59,21,172,17,4,113
"33UUQ2",20,32,728,8,24,708
"33UUQ3",2,15,37,2,13,35
"33UUQ4",58,43,518,15,28,460
"33UUR1",13,26,223,11,15,210
"33UUR2",35,18,148,10,8,113
"33UUR3",5,17,55,3,14,50
"33UUR4",NA,16,64,NA,NA,NA
"33UUS1",2,50,3641,1,49,3639
"33UUS2",4,37,720,3,34,716
"33UUS3",10,24,277,6,18,267
"33UUS4",3,39,801,3,36,798
"33UUT1",1,34,1029,1,33,1028
"33UUT2",3,38,1351,1,37,1348
"33UUT3",23,33,530,12,21,507
"33UUT4",NA,35,354,NA,NA,NA
"33UUU1",1,19,210,1,18,209
"33UUU2",12,39,1187,8,31,1175
"33UUU3",71,35,591,20,15,520
"33UUU4",263,50,13956,23,27,13693
"33UUV1",47,39,1054,9,30,1007
"33UUV2",1,35,653,1,34,652
"33UUV3",5,32,513,5,27,508
"33UUV4",12,30,1251,4,26,1239
"33UVA2",1,28,387,1,27,386
"33UVB1",2334,52,12390,45,7,10056
"33UVB2",64,35,1591,17,18,1527
"33UVP1",492,46,1167,33,13,675
"33UVP2",936,49,1223,61,-12,287
"33UVP3",217,39,816,25,14,599
"33UVP4",2924,49,1431,60,-11,-1493
"33UVQ1",8,15,28,4,11,20
"33UVQ2",30,19,67,7,12,37
"33UVQ3",3,6,24,2,4,21
"33UVQ4",32,25,228,12,13,196
"33UVR1",2,23,169,1,22,167
"33UVR2",3,30,274,2,28,271
"33UVR3",5,32,709,3,29,704
"33UVR4",16,39,826,9,30,810
"33UVS1",NA,36,1435,NA,NA,NA
"33UVS2",1,40,597,1,39,596
"33UVS3",5,37,900,3,34,895
"33UVS4",3,31,195,2,29,192
"33UVT1",6,29,926,5,24,920
"33UVT2",NA,29,518,NA,NA,NA
"33UVT3",19,26,260,12,14,241
"33UVT4",26,25,494,16,9,468
"33UVU1",27,40,988,14,26,961
"33UVU2",168,51,3317,32,19,3149
"33UVU3",13,21,213,4,17,200
"33UVU4",28,33,342,21,12,314
"33UVV1",6,29,431,4,25,425
"33UVV2",7,26,444,6,20,437
"33UVV3",567,22,119,17,5,-448
"33UVV4",58,36,274,23,13,216
"33UWA2",3,7,8,3,4,5
"33UWA4",3,13,41,3,10,38
"33UWP1",19,31,396,6,25,377
"33UWP2",20,34,432,11,23,412
"33UWP3",6,42,1088,4,38,1082
"33UWP4",36,43,2069,17,26,2033
"33UWQ1",NA,21,111,NA,NA,NA
"33UWQ2",1,17,70,1,16,69
"33UWQ3",16,13,24,5,8,8
"33UWQ4",2,25,107,1,24,105
"33UWR1",1,22,119,1,21,118
"33UWR2",2,12,50,2,10,48
"33UWR3",37,34,113,16,18,76
"33UWR4",NA,15,39,NA,NA,NA
"33UWS1",47,16,26,17,-1,-21
"33UWS2",41,24,170,21,3,129
"33UWS3",1334,15,32,29,-14,-1302
"33UWS4",79,33,123,27,6,44
"33UWT1",2471,27,110,21,6,-2361
"33UWT2",202,10,21,16,-6,-181
"33UWT3",10,15,42,7,8,32
"33UWT4",146,13,25,22,-9,-121
"33UWU1",2,15,26,2,13,24
"33UWU2",245,20,124,32,-12,-121
"33UWU3",117,21,77,30,-9,-40
"33UWU4",387,18,83,22,-4,-304
"33UWV1",515,13,35,20,-7,-480
"33UWV2",7,21,54,7,14,47
"33UWV3",524,8,55,15,-7,-469
"33UWV4",613,20,38,16,4,-575
"33UXA1",11,10,28,10,0,17
"33UXA2",361,14,58,17,-3,-303
"33UXA3",10,14,51,9,5,41
"33UXA4",308,15,94,20,-5,-214
"33UXP1",1,28,539,1,27,538
"33UXP2",95,60,3771,17,43,3676
"33UXP3",NA,23,73,NA,NA,NA
"33UXP4",67,32,527,11,21,460
"33UXQ1",6,34,283,5,29,277
"33UXQ2",14,25,239,6,19,225
"33UXQ3",NA,33,418,NA,NA,NA
"33UXQ4",1,21,104,1,20,103
"33UXR1",89,31,100,32,-1,11
"33UXR2",2,22,55,2,20,53
"33UXR3",112,28,90,35,-7,-22
"33UXR4",28,20,56,8,12,28
"33UXS1",46,29,130,21,8,84
"33UXS2",46,26,55,22,4,9
"33UXS3",26,26,87,9,17,61
"33UXS4",60,21,55,30,-9,-5
"33UXT1",6039,22,78,21,1,-5961
"33UXT2",20,14,28,12,2,8
"33UXT3",8194,21,63,29,-8,-8131
"33UXT4",61,19,76,21,-2,15
"33UXU1",93,19,58,25,-6,-35
"33UXU2",76,31,429,31,0,353
"33UXU3",41,19,67,16,3,26
"33UXU4",20,18,67,14,4,47
"33UXV1",280,14,58,17,-3,-222
"33UXV2",378,14,45,21,-7,-333
"33UXV3",723,14,38,21,-7,-685
"33UXV4",131,26,89,22,4,-42
"33UYP1",NA,24,51,NA,NA,NA
"33UYP2",3,2,2,3,-1,-1
"33VUC2",2635,39,10706,35,4,8071
"33VUC3",190,47,5573,33,14,5383
"33VUC4",464,49,13310,37,12,12846
"33VUD1",87,42,11250,25,17,11163
"33VUD2",110,42,3250,23,19,3140
"33VUD3",44,40,1194,15,25,1150
"33VUD4",81,38,1627,25,13,1546
"33VUE3",73,34,2108,24,10,2035
"33VUE4",43,41,2055,15,26,2012
"33VUF3",61,33,579,17,16,518
