"cell50x50","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","delta_SR","delta_occ_m"
"30SUH3",49,17,11546,18,-1,11497
"30SUH4",1,21,7654,1,20,7653
"30SUJ1",119,14,9617,18,-4,9498
"30SUJ2",35,14,7258,14,0,7223
"30SUJ3",40,19,12313,11,8,12273
"30SUJ4",56,17,11791,9,8,11735
"30SUK2",99,17,11125,18,-1,11026
"30SUK4",112,18,9257,11,7,9145
"30SVF1",2,19,6035,2,17,6033
"30SVF3",457,23,6406,10,13,5949
"30SVG1",NA,19,7373,NA,NA,NA
"30SVG2",29,21,6449,8,13,6420
"30SVG3",25,17,8250,9,8,8225
"30SVG4",674,18,8673,13,5,7999
"30SVH1",20,22,10990,8,14,10970
"30SVH2",34,32,12891,4,28,12857
"30SVH3",32,23,8481,11,12,8449
"30SVH4",12,16,8765,9,7,8753
"30SVJ1",32,16,11252,8,8,11220
"30SVJ2",44,24,8315,12,12,8271
"30SVJ3",18,14,4889,6,8,4871
"30SVJ4",20,13,5728,6,7,5708
"30SVK2",67,21,6060,16,5,5993
"30SVK4",30,18,6537,8,10,6507
"30SWF1",70,16,4202,20,-4,4132
"30SWF3",47,15,2586,13,2,2539
"30SWG1",131,20,9515,4,16,9384
"30SWG2",395,26,10880,8,18,10485
"30SWG3",4,14,6278,2,12,6274
"30SWG4",69,24,6656,4,20,6587
"30SWH1",63,15,9044,13,2,8981
"30SWH2",158,20,12255,21,-1,12097
"30SWH3",75,15,7848,9,6,7773
"30SWH4",21,19,9955,14,5,9934
"30SWJ1",27,13,6464,5,8,6437
"30SWJ2",11,14,4999,7,7,4988
"30SWJ3",24,17,8341,9,8,8317
"30SWJ4",7,19,4228,3,16,4221
"30SWK2",26,14,9134,6,8,9108
"30SWK4",6,13,13223,4,9,13217
"30SXF1",NA,3,40,NA,NA,NA
"30SXG1",38,10,6746,7,3,6708
"30SXG2",NA,12,1483,NA,NA,NA
"30SXG3",2,14,3354,1,13,3352
"30SXH1",13,24,5610,7,17,5597
"30SXH2",6,24,7697,5,19,7691
"30SXH3",49,35,7023,22,13,6974
"30SXH4",25,33,7718,11,22,7693
"30SXJ1",115,21,11861,18,3,11746
"30SXJ2",14,22,4984,8,14,4970
"30SXJ3",362,39,12048,29,10,11686
"30SXJ4",294,38,9132,31,7,8838
"30SXK2",56,30,14409,12,18,14353
"30SXK4",287,36,12221,25,11,11934
"30SYG1",NA,2,4,NA,NA,NA
"30SYH1",213,37,12403,28,9,12190
"30SYH2",17,25,2718,9,16,2701
"30SYJ1",828,38,4531,31,7,3703
"30SYJ2",324,37,7313,30,7,6989
"30SYK2",261,41,10035,34,7,9774
"30TTK3",247,26,9721,24,2,9474
"30TTL3",1,18,6134,1,17,6133
"30TTL4",3,26,5449,2,24,5446
"30TTM3",NA,19,6824,NA,NA,NA
"30TTM4",NA,27,7090,NA,NA,NA
"30TTN3",1,31,8927,1,30,8926
"30TTN4",NA,30,7282,NA,NA,NA
"30TTP4",NA,37,3697,NA,NA,NA
"30TUK1",44,34,10570,13,21,10526
"30TUK3",12,29,11298,8,21,11286
"30TUL1",1,21,3746,1,20,3745
"30TUL2",1,13,4300,1,12,4299
"30TUL3",1,18,6577,1,17,6576
"30TUL4",2,21,7778,2,19,7776
"30TUM1",NA,12,3074,NA,NA,NA
"30TUM2",NA,20,3859,NA,NA,NA
"30TUM3",5,23,5742,4,19,5737
"30TUM4",NA,25,6670,NA,NA,NA
"30TUN1",18,37,7463,11,26,7445
"30TUN2",3,29,9590,3,26,9587
"30TUN3",58,56,12548,12,44,12490
"30TUN4",5,31,10152,3,28,10147
"30TUP2",3,26,3822,3,23,3819
"30TUP4",1,30,1253,1,29,1252
"30TUT3",2,9,24,2,7,22
"30TVK1",272,35,8895,23,12,8623
"30TVK3",114,24,8860,8,16,8746
"30TVL1",1,14,7135,1,13,7134
"30TVL2",48,30,10476,23,7,10428
"30TVL3",11,30,9502,4,26,9491
"30TVL4",140,39,10987,15,24,10847
"30TVM1",3,27,9433,2,25,9430
"30TVM2",1,33,8532,1,32,8531
"30TVM3",21,31,9713,10,21,9692
"30TVM4",48,23,10186,13,10,10138
"30TVN1",3,51,13017,2,49,13014
"30TVN2",34,46,9350,5,41,9316
"30TVN3",14,44,11361,7,37,11347
"30TVN4",1,35,8233,1,34,8232
"30TVP2",49,38,3533,7,31,3484
"30TVP4",NA,37,3253,NA,NA,NA
"30TVT1",33,19,220,13,6,187
"30TVT3",346,44,3077,31,13,2731
"30TWK1",91,12,11811,8,4,11720
"30TWK3",1,16,15829,1,15,15828
"30TWL1",12,26,11072,4,22,11060
"30TWL2",65,16,12920,12,4,12855
"30TWL3",1,14,11365,1,13,11364
"30TWL4",9,16,14750,7,9,14741
"30TWM1",42,20,5223,3,17,5181
"30TWM2",1,29,9462,1,28,9461
"30TWM3",546,35,6377,11,24,5831
"30TWM4",382,17,10809,10,7,10427
"30TWN1",2,33,7604,1,32,7602
"30TWN2",171,28,6746,14,14,6575
"30TWN3",6138,41,5594,22,19,-544
"30TWN4",10447,35,5823,26,9,-4624
"30TWP2",1,10,1051,1,9,1050
"30TWP4",4,9,440,3,6,436
"30TWS3",125,34,1319,25,9,1194
"30TWS4",NA,3,4,NA,NA,NA
"30TWT1",427,49,10015,38,11,9588
"30TWT2",75,25,257,24,1,182
"30TWT3",543,47,13868,45,2,13325
"30TWT4",922,54,157192,44,10,156270
"30TXK1",89,27,12626,19,8,12537
"30TXK3",NA,8,10997,NA,NA,NA
"30TXL1",5,15,10169,3,12,10164
"30TXL2",NA,20,12689,NA,NA,NA
"30TXL3",1,18,10108,1,17,10107
"30TXL4",NA,11,11029,NA,NA,NA
"30TXM1",2664,19,6597,19,0,3933
"30TXM2",1516,27,8573,13,14,7057
"30TXM3",168,21,10618,8,13,10450
"30TXM4",1,28,5964,1,27,5963
"30TXN1",6382,47,5878,48,-1,-504
"30TXN2",8861,31,7665,23,8,-1196
"30TXN3",857,71,6606,53,18,5749
"30TXN4",1255,31,10877,22,9,9622
"30TXP1",142,43,2358,30,13,2216
"30TXP2",429,62,9782,45,17,9353
"30TXP3",317,50,3732,33,17,3415
"30TXP4",618,54,3228,36,18,2610
"30TXQ1",71,51,7492,26,25,7421
"30TXQ2",67,41,1749,26,15,1682
"30TXQ3",416,58,6515,32,26,6099
"30TXQ4",236,50,3842,33,17,3606
"30TXR1",333,41,1447,37,4,1114
"30TXR2",34,39,393,15,24,359
"30TXR3",1193,58,31117,54,4,29924
"30TXR4",544,54,5354,40,14,4810
"30TXS1",891,50,9180,33,17,8289
"30TXS2",1134,47,4333,45,2,3199
"30TXS3",439,50,48230,28,22,47791
"30TXS4",2229,59,104499,48,11,102270
"30TXT1",591,53,17691,44,9,17100
"30TXT2",672,53,17872,48,5,17200
"30TXT3",832,56,6634,49,7,5802
"30TXT4",280,53,28143,39,14,27863
"30TYK1",204,35,12793,28,7,12589
"30TYL1",5,19,11006,2,17,11001
"30TYL2",505,19,12342,14,5,11837
"30TYM1",585,25,9185,19,6,8600
"30TYM2",150,16,7968,7,9,7818
"30TYN1",2596,73,10831,63,10,8235
"30TYN2",1339,46,13379,48,-2,12040
"30TYP1",377,52,2189,44,8,1812
"30TYP2",700,50,4318,42,8,3618
"30TYQ1",336,49,4335,32,17,3999
"30TYQ2",519,52,1688,39,13,1169
"30TYR1",307,55,4736,36,19,4429
"30TYR2",365,54,4879,44,10,4514
"30TYS1",1008,59,27402,48,11,26394
"30TYS2",1257,62,59894,38,24,58637
"30TYT1",1470,53,7953,51,2,6483
"30TYT2",879,59,10547,55,4,9668
"30UUA2",1062,39,3060,35,4,1998
"30UUA3",1094,33,3577,36,-3,2483
"30UUA4",7,5,6,5,0,-1
"30UUB3",78,13,245,11,2,167
"30UUB4",735,34,1521,33,1,786
"30UUC3",5665,37,2420,33,4,-3245
"30UUC4",11734,37,4240,37,0,-7494
"30UUD1",5,NA,NA,2,NA,NA
"30UUD3",311,22,256,30,-8,-55
"30UUD4",3,NA,NA,3,NA,NA
"30UUE1",3,4,12,1,3,9
"30UUF1",198,21,3434,12,9,3236
"30UUF2",422,22,1902,17,5,1480
"30UUF3",361,30,33003,22,8,32642
"30UUG1",559,21,1504,25,-4,945
"30UUG2",253,14,61,26,-12,-192
"30UUG3",1624,30,31999,34,-4,30375
"30UUG4",768,28,7911,31,-3,7143
"30UUU3",305,43,7040,28,15,6735
"30UUU4",184,32,536,32,0,352
"30UVA1",2259,33,5701,36,-3,3442
"30UVB1",1005,32,1680,32,0,675
"30UVB2",1369,38,3640,37,1,2271
"30UVB3",1441,37,5518,40,-3,4077
"30UVB4",1826,40,7554,38,2,5728
"30UVC1",2582,36,3528,37,-1,946
"30UVC2",5141,40,12387,41,-1,7246
"30UVC3",4173,39,5124,37,2,951
"30UVC4",4659,40,19948,40,0,15289
"30UVD1",5978,36,7352,37,-1,1374
"30UVD2",2007,40,3389,36,4,1382
"30UVD3",4247,36,7694,35,1,3447
"30UVD4",4149,35,5521,37,-2,1372
"30UVE4",6154,37,7067,37,0,913
"30UVF1",686,35,57312,30,5,56626
"30UVF3",643,30,14529,32,-2,13886
"30UVF4",870,32,2428,31,1,1558
"30UVG1",2362,34,25731,34,0,23369
"30UVG2",1140,29,22574,30,-1,21434
"30UVG3",1663,32,44693,30,2,43030
"30UVG4",1072,32,33740,30,2,32668
"30UVU1",823,49,3458,41,8,2635
