"cell50x50","SR_natural_ebba1","SR_human_dominated_ebba1","SR_natural_ebba2","SR_human_dominated_ebba2","deltaSR_bird_natural","deltaSR_bird_human_dominated","SR_natural_m_b2000","SR_human_dominated_m_b2000","SR_natural_m_a2015","SR_human_dominated_m_a2015","deltaSR_mammal_natural","deltaSR_mammal_human_dominated"
"31TFK2",16,121,17,123,1,2,8,50,12,53,4,3
"31TFK3",22,126,25,136,3,10,9,55,13,61,4,6
"31TFK4",18,119,19,123,1,4,8,48,9,53,1,5
"31TFL1",12,127,25,134,13,7,7,50,11,55,4,5
"31TFL2",14,112,16,128,2,16,6,49,9,55,3,6
"31TFL3",19,142,28,150,9,8,9,56,11,59,2,3
"31TFL4",17,121,19,134,2,13,4,47,8,58,4,11
"31TFM1",11,126,21,134,10,8,9,51,8,49,-1,-2
"31TFM2",14,111,18,137,4,26,9,52,9,47,0,-5
"31TFM3",18,127,21,130,3,3,9,51,9,57,0,6
"31TFM4",20,127,27,145,7,18,6,53,9,54,3,1
"31TFN1",11,110,11,109,0,-1,9,49,10,54,1,5
"31TFN2",11,115,15,122,4,7,10,51,10,51,0,0
"31TFN3",11,113,18,118,7,5,9,47,6,55,-3,8
"31TFN4",11,118,22,134,11,16,9,49,6,52,-3,3
"31TGH1",15,98,12,105,-3,7,7,39,7,40,0,1
"31TGJ1",22,131,20,125,-2,-6,7,49,9,48,2,-1
"31TGJ2",18,124,18,123,0,-1,9,43,9,54,0,11
"31TGK1",21,121,23,125,2,4,11,55,10,60,-1,5
"31TGK2",18,122,21,128,3,6,9,50,10,55,1,5
"31TGL1",21,131,26,132,5,1,8,45,14,60,6,15
"31TGL2",21,127,25,124,4,-3,5,45,14,56,9,11
"31TGM1",20,126,26,134,6,8,9,61,11,62,2,1
"31TGM2",23,118,31,132,8,14,11,62,12,65,1,3
"31TGN1",10,120,18,126,8,6,7,47,8,55,1,8
"31TGN2",15,116,23,131,8,15,9,57,9,55,0,-2
"31UCP1",8,113,11,107,3,-6,7,38,8,43,1,5
"31UCP2",7,112,10,119,3,7,8,41,8,40,0,-1
"31UCP3",11,108,13,108,2,0,1,30,6,43,5,13
"31UCP4",9,106,12,114,3,8,6,40,5,47,-1,7
"31UCQ1",20,127,16,132,-4,5,7,44,7,40,0,-4
"31UCQ2",7,106,7,109,0,3,6,40,6,34,0,-6
"31UCQ3",12,114,15,125,3,11,7,40,5,35,-2,-5
"31UCQ4",7,104,11,109,4,5,4,40,5,42,1,2
"31UCR2",9,91,12,98,3,7,3,33,2,32,-1,-1
"31UCR4",13,116,13,111,0,-5,6,41,8,52,2,11
"31UCS1",16,112,20,114,4,2,5,38,5,36,0,-2
"31UCS2",18,113,17,110,-1,-3,5,29,4,34,-1,5
"31UCS3",21,110,19,114,-2,4,4,31,3,33,-1,2
"31UCS4",NA,NA,NA,NA,NA,NA,2,22,1,28,-1,6
"31UCT1",18,108,18,116,0,8,4,35,5,31,1,-4
"31UCT2",16,105,23,110,7,5,5,33,4,34,-1,1
"31UCT3",21,120,20,123,-1,3,5,34,4,32,-1,-2
"31UCT4",6,89,13,98,7,9,4,24,4,31,0,7
"31UCU1",NA,NA,NA,NA,NA,NA,3,29,3,27,0,-2
"31UCU2",22,119,24,128,2,9,3,33,3,32,0,-1
"31UCU3",19,113,19,117,0,4,4,32,3,27,-1,-5
"31UCU4",22,122,17,116,-5,-6,5,33,3,31,-2,-2
"31UCV2",NA,NA,NA,NA,NA,NA,2,22,2,19,0,-3
"31UDP1",7,110,17,124,10,14,4,43,7,48,3,5
"31UDP2",8,115,12,126,4,11,2,27,7,43,5,16
"31UDP3",11,117,19,130,8,13,6,45,8,52,2,7
"31UDP4",9,117,16,120,7,3,5,30,7,46,2,16
"31UDQ1",7,105,10,108,3,3,5,40,7,48,2,8
"31UDQ2",NA,NA,NA,NA,NA,NA,8,47,8,51,0,4
"31UDQ3",9,122,18,123,9,1,5,39,9,53,4,14
"31UDQ4",NA,NA,NA,NA,NA,NA,6,45,9,55,3,10
"31UDR1",18,140,23,138,5,-2,5,45,7,46,2,1
"31UDR2",11,118,10,114,-1,-4,6,44,7,48,1,4
"31UDR3",10,106,12,111,2,5,2,43,4,45,2,2
"31UDR4",10,112,13,124,3,12,4,40,7,49,3,9
"31UDS2",16,127,19,131,3,4,4,44,6,50,2,6
"31UDS3",NA,NA,NA,NA,NA,NA,3,27,3,25,0,-2
"31UDS4",10,118,18,134,8,16,3,43,2,43,-1,0
"31UDU1",NA,NA,NA,NA,NA,NA,NA,3,1,5,NA,2
"31UDU2",16,98,17,106,1,8,4,32,3,29,-1,-3
"31UEP1",8,113,17,129,9,16,8,43,7,44,-1,1
"31UEP2",12,128,18,122,6,-6,7,40,8,43,1,3
"31UEP3",8,116,15,121,7,5,4,36,7,45,3,9
"31UEP4",10,114,17,126,7,12,7,45,7,49,0,4
"31UEQ1",12,127,17,129,5,2,4,46,8,50,4,4
"31UEQ2",7,99,12,116,5,17,6,38,7,50,1,12
"31UEQ3",10,128,17,122,7,-6,7,47,8,47,1,0
"31UEQ4",9,123,16,119,7,-4,8,45,8,47,0,2
"31UER1",11,120,16,128,5,8,5,40,5,45,0,5
"31UER2",10,110,14,120,4,10,6,31,5,49,-1,18
"31UER3",10,109,18,122,8,13,4,44,5,39,1,-5
"31UER4",12,115,18,127,6,12,4,43,7,52,3,9
"31UES1",15,123,24,140,9,17,2,26,2,36,0,10
"31UES2",8,106,18,123,10,17,2,33,3,30,1,-3
"31UES3",17,124,29,143,12,19,3,39,5,42,2,3
"31UES4",NA,NA,NA,NA,NA,NA,3,38,4,29,1,-9
"31UET2",NA,NA,NA,NA,NA,NA,NA,15,1,33,NA,18
"31UET3",16,117,19,129,3,12,1,26,4,43,3,17
"31UET4",18,125,33,142,15,17,1,23,4,39,3,16
"31UFP1",14,124,19,137,5,13,8,46,6,46,-2,0
"31UFP2",9,110,16,119,7,9,9,48,7,48,-2,0
"31UFP3",12,115,15,116,3,1,7,47,7,52,0,5
"31UFP4",5,102,11,110,6,8,8,43,10,52,2,9
"31UFQ1",15,128,22,129,7,1,7,46,6,52,-1,6
"31UFQ2",14,125,22,135,8,10,5,42,6,47,1,5
"31UFQ3",13,127,19,130,6,3,5,51,9,52,4,1
"31UFQ4",14,123,19,134,5,11,5,48,7,50,2,2
"31UFR1",8,100,16,115,8,15,5,47,4,29,-1,-18
"31UFR2",14,122,18,123,4,1,6,47,9,46,3,-1
"31UFR3",10,104,14,110,4,6,6,49,4,36,-2,-13
"31UFR4",11,112,17,116,6,4,6,51,8,47,2,-4
"31UFS1",10,115,21,133,11,18,3,39,3,35,0,-4
"31UFS2",NA,NA,NA,NA,NA,NA,5,44,4,27,-1,-17
"31UFS3",14,128,24,145,10,17,2,41,5,47,3,6
"31UFS4",12,123,24,138,12,15,5,46,6,50,1,4
"31UFT1",17,125,28,145,11,20,3,37,4,42,1,5
"31UFT2",19,132,27,145,8,13,4,28,5,43,1,15
"31UFT3",17,132,27,150,10,18,3,34,3,46,0,12
"31UFT4",14,130,24,148,10,18,2,27,5,44,3,17
"31UFU1",17,116,21,129,4,13,2,9,3,36,1,27
"31UFU2",16,126,25,136,9,10,2,16,4,40,2,24
"31UFU3",18,120,24,142,6,22,2,15,3,37,1,22
"31UFU4",23,140,29,152,6,12,3,27,3,38,0,11
"31UFV4",16,113,26,133,10,20,2,9,3,31,1,22
"31UGP1",14,117,16,121,2,4,6,48,5,42,-1,-6
"31UGP2",9,112,17,117,8,5,6,41,6,47,0,6
"31VFE3",32,115,22,108,-10,-7,4,12,5,23,1,11
"31VFF1",32,114,27,106,-5,-8,3,10,5,19,2,9
"31VFF2",22,69,19,79,-3,10,2,6,3,15,1,9
"31VFF3",30,112,28,109,-2,-3,3,14,7,24,4,10
"31VFF4",38,125,38,128,0,3,6,21,7,26,1,5
"31VFG1",29,99,26,109,-3,10,7,19,7,23,0,4
"31VFG2",28,108,29,107,1,-1,4,14,7,20,3,6
"31VFH1",28,97,30,98,2,1,4,10,7,13,3,3
"31VFH2",28,96,28,110,0,14,6,21,8,21,2,0
"31VFJ1",38,106,26,92,-12,-14,5,17,6,17,1,0
"31VFJ2",32,100,26,103,-6,3,5,16,7,17,2,1
"31VFK2",36,110,27,90,-9,-20,3,14,5,16,2,2
"32TKN3",14,100,18,113,4,13,8,41,6,39,-2,-2
"32TKP3",19,128,23,129,4,1,8,53,13,52,5,-1
"32TKP4",13,120,12,118,-1,-2,6,47,11,52,5,5
"32TKQ3",18,112,18,108,0,-4,11,58,13,57,2,-1
"32TKQ4",20,116,21,126,1,10,13,56,12,60,-1,4
"32TKR3",21,117,26,121,5,4,9,44,10,53,1,9
"32TKR4",19,99,22,125,3,26,7,35,11,51,4,16
"32TLN1",NA,NA,NA,NA,NA,NA,1,7,NA,25,NA,18
"32TLP1",20,108,18,114,-2,6,11,54,14,52,3,-2
"32TLP2",16,117,16,123,0,6,7,49,11,47,4,-2
"32TLP3",19,109,19,109,0,0,10,52,14,53,4,1
"32TLP4",12,82,13,105,1,23,3,27,4,36,1,9
"32TLQ1",17,110,20,107,3,-3,8,51,9,50,1,-1
"32TLQ2",18,106,18,105,0,-1,8,51,11,43,3,-8
"32TLQ3",21,124,26,122,5,-2,1,3,7,38,6,35
"32TLQ4",18,106,23,120,5,14,1,NA,7,28,6,NA
"32TLR1",22,109,23,115,1,6,10,49,11,51,1,2
"32TLR2",19,98,21,107,2,9,9,50,12,53,3,3
"32TLR3",22,101,21,105,-1,4,9,35,7,30,-2,-5
"32TLR4",20,122,19,108,-1,-14,2,10,8,29,6,19
"32TLS1",30,134,32,139,2,5,10,56,9,59,-1,3
"32TLS2",29,128,31,133,2,5,12,65,11,64,-1,-1
"32TLS3",24,122,28,126,4,4,12,52,11,52,-1,0
"32TLS4",24,122,22,124,-2,2,12,59,12,55,0,-4
"32TLT1",21,123,21,123,0,0,8,53,8,54,0,1
"32TLT2",23,123,24,116,1,-7,8,59,9,58,1,-1
"32TLT3",23,124,25,138,2,14,7,55,6,52,-1,-3
"32TLT4",24,123,31,132,7,9,7,57,8,52,1,-5
"32TMP1",15,106,13,109,-2,3,1,3,3,29,2,26
"32TMP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
"32TMQ1",8,104,11,104,3,0,1,4,1,28,0,24
"32TMQ2",13,105,9,100,-4,-5,NA,1,4,33,NA,32
"32TMQ3",12,112,12,115,0,3,NA,1,2,27,NA,26
"32TMQ4",8,100,10,98,2,-2,1,7,1,34,0,27
"32TMR1",18,109,22,98,4,-11,7,17,8,28,1,11
"32TMR2",19,129,21,131,2,2,1,2,2,27,1,25
"32TMR3",16,121,23,129,7,8,7,46,8,43,1,-3
"32TMR4",9,110,14,115,5,5,NA,NA,1,20,NA,NA
"32TMS1",23,102,26,117,3,15,11,50,11,50,0,0
"32TMS2",20,110,22,111,2,1,10,52,11,49,1,-3
"32TMS3",21,98,24,109,3,11,10,52,11,48,1,-4
"32TMS4",21,112,25,125,4,13,11,56,10,50,-1,-6
"32TMT1",21,116,28,121,7,5,7,47,5,49,-2,2
"32TMT2",25,116,28,125,3,9,8,52,9,49,1,-3
"32TMT3",17,115,23,125,6,10,7,49,7,49,0,0
"32TMT4",29,126,34,133,5,7,9,54,8,50,-1,-4
"32TNP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
"32TNP3",9,93,17,111,8,18,NA,2,NA,25,NA,23
"32TNQ1",12,125,19,131,7,6,NA,1,2,24,NA,23
"32TNQ2",10,104,10,101,0,-3,NA,4,3,27,NA,23
"32TNQ3",9,101,15,122,6,21,NA,NA,2,20,NA,NA
"32TNQ4",6,101,10,101,4,0,NA,2,2,16,NA,14
"32TNR1",25,124,26,127,1,3,6,43,5,32,-1,-11
"32TNR2",9,105,14,110,5,5,NA,NA,NA,21,NA,NA
"32TNR3",23,118,27,123,4,5,NA,1,4,25,NA,24
"32TNR4",12,105,15,105,3,0,NA,NA,1,23,NA,NA
"32TNS1",20,101,22,112,2,11,11,49,11,55,0,6
"32TNS2",23,114,23,121,0,7,11,57,7,47,-4,-10
"32TNS3",19,90,20,103,1,13,10,42,10,45,0,3
"32TNS4",21,97,21,119,0,22,9,44,10,39,1,-5
"32TNT1",18,123,24,134,6,11,4,48,5,48,1,0
"32TNT2",22,114,28,123,6,9,11,55,10,55,-1,0
"32TNT3",25,122,27,130,2,8,7,16,5,43,-2,27
"32TNT4",21,104,25,108,4,4,4,21,6,39,2,18
"32TPM3",NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,6
"32TPN1",10,89,8,95,-2,6,NA,NA,1,17,NA,NA
"32TPN2",NA,NA,NA,NA,NA,NA,NA,NA,1,11,NA,NA
"32TPN3",7,87,6,93,-1,6,NA,3,3,22,NA,19
"32TPN4",8,102,10,105,2,3,1,3,3,26,2,23
"32TPP1",14,108,21,132,7,24,NA,2,2,34,NA,32
"32TPP2",11,99,11,113,0,14,1,6,1,22,0,16
"32TPP3",11,98,15,112,4,14,NA,3,3,27,NA,24
"32TPP4",11,93,9,94,-2,1,NA,15,1,17,NA,2
"32TPQ1",10,108,14,110,4,2,NA,NA,3,26,NA,NA
"32TPQ2",10,105,19,115,9,10,NA,NA,1,16,NA,NA
"32TPQ3",9,92,14,102,5,10,NA,NA,NA,16,NA,NA
"32TPQ4",14,118,17,121,3,3,NA,5,1,22,NA,17
"32TPR1",21,107,22,113,1,6,2,8,5,32,3,24
"32TPR2",14,115,18,117,4,2,NA,1,2,29,NA,28
"32TPR3",20,109,19,118,-1,9,1,10,3,35,2,25
"32TPR4",10,99,12,105,2,6,NA,NA,NA,22,NA,NA
"32TPS1",21,102,21,114,0,12,8,36,9,37,1,1
"32TPS2",NA,NA,NA,NA,NA,NA,2,13,5,25,3,12
"32TPS3",22,98,24,111,2,13,NA,6,3,31,NA,25
"32TPS4",21,102,22,118,1,16,3,4,6,40,3,36
"32TPT1",24,112,27,119,3,7,4,24,6,33,2,9
"32TPT2",14,83,21,101,7,18,1,10,5,22,4,12
"32TPT3",21,121,25,124,4,3,3,9,8,32,5,23
"32TPT4",21,91,23,110,2,19,2,2,6,32,4,30
"32TQM1",6,88,10,107,4,19,NA,NA,1,13,NA,NA
"32TQN1",9,98,13,101,4,3,NA,2,2,14,NA,12
"32TQN2",8,90,11,105,3,15,NA,2,3,20,NA,18
"32TQP1",10,92,8,99,-2,7,NA,NA,2,23,NA,NA
"32TQP2",11,99,15,108,4,9,NA,1,2,20,NA,19
"32TQQ1",6,78,12,90,6,12,NA,NA,NA,18,NA,NA
"32TQQ2",15,115,14,115,-1,0,NA,NA,2,15,NA,NA
"32TQR1",24,117,20,114,-4,-3,NA,NA,NA,24,NA,NA
"32TQR2",7,79,5,91,-2,12,NA,NA,1,19,NA,NA
"32TQS1",22,103,23,104,1,1,6,20,5,29,-1,9
"32TQS2",24,113,25,112,1,-1,1,2,6,29,5,27
"32TQT1",21,100,27,123,6,23,5,11,8,29,3,18
"32TQT2",20,91,19,90,-1,-1,7,34,8,33,1,-1
"32ULA1",10,107,17,112,7,5,3,40,6,43,3,3
"32ULA2",8,111,15,107,7,-4,6,49,7,47,1,-2
"32ULA3",9,111,17,113,8,2,NA,2,4,50,NA,48
"32ULA4",9,103,13,107,4,4,2,6,4,43,2,37
"32ULB1",9,119,20,135,11,16,3,32,5,47,2,15
"32ULB2",9,119,21,131,12,12,3,35,4,50,1,15
"32ULB3",9,101,18,117,9,16,3,27,3,49,0,22
"32ULB4",8,110,16,126,8,16,2,9,8,52,6,43
"32ULC1",18,128,28,148,10,20,3,32,4,43,1,11
"32ULC2",12,119,19,139,7,20,1,13,5,44,4,31
"32ULC3",7,117,17,127,10,10,NA,11,6,46,NA,35
"32ULC4",6,107,16,122,10,15,NA,2,5,49,NA,47
"32ULD1",18,127,27,152,9,25,3,18,3,43,0,25
"32ULD2",15,130,27,153,12,23,2,26,4,45,2,19
"32ULD3",14,128,25,136,11,8,1,6,3,37,2,31
"32ULD4",10,125,20,129,10,4,NA,7,4,45,NA,38
"32ULE2",16,118,27,145,11,27,1,10,3,33,2,23
"32ULE4",16,120,23,137,7,17,NA,2,3,33,NA,31
"32ULU1",15,122,19,131,4,9,5,41,6,42,1,1
"32ULU2",13,113,16,113,3,0,6,41,8,50,2,9
"32ULU3",16,125,18,121,2,-4,5,41,9,50,4,9
"32ULU4",18,132,24,135,6,3,6,47,8,55,2,8
"32ULV1",13,124,21,125,8,1,8,51,7,49,-1,-2
"32ULV2",14,125,18,136,4,11,5,49,7,49,2,0
"32ULV3",8,110,12,109,4,-1,2,12,3,42,1,30
"32ULV4",11,123,15,124,4,1,5,46,6,40,1,-6
"32UMA1",11,115,14,113,3,-2,NA,7,4,50,NA,43
"32UMA2",11,118,19,123,8,5,2,18,5,48,3,30
"32UMA3",13,122,23,135,10,13,NA,15,7,52,NA,37
"32UMA4",12,120,22,134,10,14,1,9,7,50,6,41
"32UMB1",9,103,16,108,7,5,1,18,2,39,1,21
"32UMB2",8,102,17,114,9,12,3,14,3,42,0,28
"32UMB3",8,100,16,114,8,14,NA,4,4,39,NA,35
"32UMB4",10,107,20,120,10,13,2,14,7,45,5,31
"32UMC1",8,118,16,129,8,11,NA,1,4,47,NA,46
"32UMC2",10,110,22,120,12,10,1,16,4,47,3,31
"32UMC3",12,121,20,125,8,4,1,5,5,46,4,41
"32UMC4",10,119,21,120,11,1,NA,6,4,37,NA,31
"32UMD1",10,124,19,132,9,8,NA,1,2,40,NA,39
"32UMD2",8,118,21,134,13,16,1,4,4,42,3,38
"32UMD3",12,125,22,131,10,6,NA,10,3,34,NA,24
"32UMD4",10,124,19,133,9,9,NA,NA,4,30,NA,NA
"32UME1",NA,NA,NA,NA,NA,NA,NA,2,1,16,NA,14
"32UME2",12,125,21,131,9,6,NA,1,4,35,NA,34
"32UME3",16,119,22,138,6,19,NA,NA,4,30,NA,NA
"32UME4",16,132,23,135,7,3,1,2,5,31,4,29
"32UMF3",21,129,26,145,5,16,2,18,3,35,1,17
"32UMF4",NA,NA,NA,NA,NA,NA,NA,NA,2,17,NA,NA
"32UMG1",11,88,16,106,5,18,NA,18,3,23,NA,5
"32UMG3",19,120,28,133,9,13,4,24,4,34,0,10
"32UMG4",23,128,23,134,0,6,4,27,4,35,0,8
"32UMU1",18,130,28,129,10,-1,2,32,9,48,7,16
"32UMU2",14,112,22,121,8,9,NA,7,4,48,NA,41
"32UMU3",13,96,20,114,7,18,1,7,3,33,2,26
"32UMU4",15,105,16,111,1,6,NA,1,3,32,NA,31
"32UMV1",9,105,15,116,6,11,2,9,5,51,3,42
"32UMV2",13,124,21,131,8,7,5,33,8,50,3,17
"32UMV3",15,124,23,137,8,13,3,14,6,46,3,32
"32UMV4",11,109,19,125,8,16,NA,NA,3,42,NA,NA
"32UNA1",12,114,15,115,3,1,4,15,7,39,3,24
"32UNA2",14,118,17,113,3,-5,3,10,5,32,2,22
"32UNA3",10,113,18,119,8,6,3,23,7,35,4,12
"32UNA4",14,124,18,127,4,3,4,30,6,44,2,14
"32UNB1",9,101,22,118,13,17,NA,4,7,43,NA,39
"32UNB2",7,94,14,109,7,15,NA,3,5,42,NA,39
"32UNB3",13,115,21,121,8,6,1,8,7,41,6,33
"32UNB4",15,118,21,123,6,5,NA,NA,5,33,NA,NA
"32UNC1",10,111,18,121,8,10,2,7,6,48,4,41
"32UNC2",10,113,17,115,7,2,1,5,6,45,5,40
"32UNC3",15,128,25,125,10,-3,1,19,8,50,7,31
"32UNC4",15,116,21,123,6,7,NA,4,7,46,NA,42
"32UND1",12,122,18,129,6,7,NA,2,4,29,NA,27
"32UND2",15,128,23,138,8,10,3,8,4,38,1,30
"32UND3",13,119,18,131,5,12,1,4,4,42,3,38
"32UND4",17,122,25,136,8,14,1,21,3,46,2,25
"32UNE1",19,126,24,135,5,9,NA,NA,6,30,NA,NA
"32UNE2",17,131,23,138,6,7,NA,NA,3,30,NA,NA
"32UNE3",19,123,20,132,1,9,3,22,6,36,3,14
"32UNE4",22,136,24,139,2,3,2,25,4,45,2,20
"32UNF1",19,124,19,132,0,8,2,19,5,40,3,21
"32UNF2",14,115,26,137,12,22,1,7,3,35,2,28
"32UNF3",24,116,22,133,-2,17,2,20,4,31,2,11
"32UNF4",19,126,27,136,8,10,1,11,4,39,3,28
"32UNG1",14,114,21,125,7,11,5,26,5,37,0,11
"32UNG2",15,113,22,130,7,17,4,25,4,35,0,10
"32UNG3",19,111,26,123,7,12,3,28,3,34,0,6
"32UNG4",NA,NA,24,126,NA,NA,NA,NA,NA,NA,NA,NA
"32UNU1",10,101,17,115,7,14,1,8,5,33,4,25
"32UNU2",14,108,21,124,7,16,NA,3,2,34,NA,31
"32UNU3",15,114,21,130,6,16,2,10,4,33,2,23
"32UNU4",12,110,20,123,8,13,2,6,4,32,2,26
"32UNV1",7,98,14,108,7,10,2,5,3,26,1,21
"32UNV2",5,101,19,113,14,12,NA,9,6,40,NA,31
"32UNV3",7,113,12,113,5,0,2,5,6,25,4,20
"32UNV4",10,106,18,112,8,6,3,15,3,35,0,20
"32UPA1",14,119,22,127,8,8,2,8,5,33,3,25
"32UPA2",13,126,22,135,9,9,3,10,6,30,3,20
"32UPA3",14,112,18,113,4,1,2,8,6,36,4,28
"32UPA4",14,120,23,122,9,2,2,17,6,36,4,19
"32UPB1",12,117,22,128,10,11,NA,5,6,34,NA,29
"32UPB2",15,120,22,120,7,0,NA,NA,3,24,NA,NA
"32UPB3",9,120,24,136,15,16,1,10,4,26,3,16
"32UPB4",13,115,22,122,9,7,2,5,6,48,4,43
"32UPC1",15,123,22,126,7,3,2,17,5,44,3,27
"32UPC2",18,119,23,130,5,11,NA,2,7,46,NA,44
"32UPC3",16,125,25,138,9,13,NA,1,2,30,NA,29
"32UPC4",17,135,27,140,10,5,NA,4,4,31,NA,27
"32UPD1",16,128,22,131,6,3,NA,NA,4,37,NA,NA
"32UPD2",19,134,23,133,4,-1,1,NA,4,34,3,NA
"32UPD3",18,133,23,140,5,7,NA,6,6,36,NA,30
"32UPD4",16,134,22,144,6,10,NA,6,1,21,NA,15
"32UPE1",16,127,23,140,7,13,NA,10,4,37,NA,27
"32UPE2",20,136,25,141,5,5,1,12,4,37,3,25
"32UPE3",23,137,30,138,7,1,NA,1,4,31,NA,30
"32UPE4",12,111,24,131,12,20,2,3,3,24,1,21
"32UPF2",22,122,28,132,6,10,1,7,4,31,3,24
"32UPF4",13,98,18,110,5,12,NA,5,2,22,NA,17
"32UPU1",14,121,18,119,4,-2,3,27,3,33,0,6
"32UPU2",17,110,23,125,6,15,2,7,3,22,1,15
"32UPU3",10,114,17,116,7,2,3,15,4,25,1,10
"32UPU4",18,120,27,133,9,13,3,24,4,37,1,13
"32UPV1",12,114,16,120,4,6,4,13,4,28,0,15
"32UPV2",17,125,24,130,7,5,2,12,3,35,1,23
"32UPV3",14,116,18,125,4,9,3,12,5,48,2,36
"32UPV4",16,129,23,129,7,0,3,17,5,30,2,13
"32UQU1",14,116,24,123,10,7,3,10,3,26,0,16
"32UQU2",19,111,26,123,7,12,3,10,3,35,0,25
"32VLK3",29,110,33,102,4,-8,6,21,5,21,-1,0
"32VLK4",28,122,24,123,-4,1,5,23,5,20,0,-3
"32VLL3",NA,NA,NA,NA,NA,NA,6,10,7,8,1,-2
"32VLL4",23,87,22,96,-1,9,5,13,7,17,2,4
"32VLM3",20,91,13,84,-7,-7,6,15,7,14,1,-1
"32VLM4",21,88,14,86,-7,-2,6,16,8,18,2,2
"32VLN3",23,91,26,99,3,8,6,17,9,18,3,1
"32VLN4",21,94,17,87,-4,-7,6,14,8,19,2,5
"32VLP3",22,92,18,83,-4,-9,7,20,7,15,0,-5
"32VLP4",NA,NA,NA,NA,NA,NA,6,13,7,10,1,-3
"32VLQ3",25,92,20,72,-5,-20,3,11,2,11,-1,0
"32VLQ4",35,101,25,89,-10,-12,5,18,8,20,3,2
"32VMH1",NA,NA,NA,NA,NA,NA,2,9,3,8,1,-1
"32VMH2",13,85,17,107,4,22,1,16,3,16,2,0
"32VMH3",15,118,23,129,8,11,3,26,4,28,1,2
"32VMH4",16,111,17,123,1,12,2,22,4,32,2,10
"32VMK1",26,105,23,114,-3,9,5,22,5,24,0,2
"32VMK2",24,116,23,116,-1,0,6,26,5,26,-1,0
"32VMK3",27,111,32,120,5,9,4,23,5,23,1,0
"32VMK4",16,75,11,75,-5,0,3,15,4,18,1,3
"32VML1",27,99,21,85,-6,-14,5,17,7,15,2,-2
"32VML2",22,98,18,80,-4,-18,6,19,6,16,0,-3
"32VML3",24,93,19,100,-5,7,6,20,8,17,2,-3
"32VML4",21,98,19,93,-2,-5,7,23,5,18,-2,-5
"32VMM1",NA,NA,NA,NA,NA,NA,5,12,5,10,0,-2
"32VMM2",28,97,20,88,-8,-9,6,16,8,16,2,0
"32VMM3",NA,NA,NA,NA,NA,NA,6,16,8,13,2,-3
"32VMM4",29,98,25,96,-4,-2,7,16,6,16,-1,0
"32VMN1",21,84,19,87,-2,3,6,15,8,15,2,0
"32VMN2",NA,NA,NA,NA,NA,NA,7,14,6,11,-1,-3
"32VMN3",32,98,23,82,-9,-16,6,12,9,16,3,4
"32VMN4",31,100,26,101,-5,1,8,19,10,21,2,2
"32VMP1",NA,NA,NA,NA,NA,NA,7,14,7,15,0,1
"32VMP2",NA,NA,NA,NA,NA,NA,7,15,7,17,0,2
"32VMP3",33,102,20,84,-13,-18,7,13,8,16,1,3
"32VMP4",NA,NA,NA,NA,NA,NA,8,14,9,11,1,-3
"32VMQ1",35,106,26,105,-9,-1,5,21,6,21,1,0
"32VMQ2",25,98,23,96,-2,-2,7,21,9,20,2,-1
"32VMQ3",35,102,28,111,-7,9,8,23,9,22,1,-1
"32VMQ4",33,92,15,83,-18,-9,8,18,8,12,0,-6
"32VMR4",30,100,31,101,1,1,6,16,6,17,0,1
"32VNH1",12,107,20,127,8,20,3,28,3,34,0,6
"32VNH2",11,106,16,127,5,21,3,26,3,37,0,11
"32VNH3",13,110,20,126,7,16,3,29,3,34,0,5
"32VNH4",16,112,25,122,9,10,3,31,3,36,0,5
"32VNJ2",20,115,24,133,4,18,2,26,2,28,0,2
"32VNJ4",14,112,23,130,9,18,4,30,3,36,-1,6
"32VNK1",9,48,9,50,0,2,4,13,3,8,-1,-5
"32VNL1",30,118,22,122,-8,4,5,23,6,25,1,2
"32VNL2",23,117,27,123,4,6,4,20,6,24,2,4
"32VNL3",30,131,30,132,0,1,4,26,6,33,2,7
"32VNL4",18,98,16,109,-2,11,4,19,7,23,3,4
"32VNM1",25,99,20,84,-5,-15,8,23,9,17,1,-6
"32VNM2",26,118,24,121,-2,3,5,25,8,23,3,-2
"32VNM3",23,115,25,124,2,9,6,25,8,28,2,3
"32VNM4",25,116,28,126,3,10,6,28,7,32,1,4
"32VNN1",30,100,24,93,-6,-7,8,16,8,19,0,3
"32VNN2",31,95,24,85,-7,-10,8,19,8,17,0,-2
"32VNN3",30,113,29,125,-1,12,11,25,9,28,-2,3
"32VNN4",30,114,21,116,-9,2,5,22,7,21,2,-1
"32VNP1",35,103,25,100,-10,-3,9,20,8,17,-1,-3
"32VNP2",34,111,31,111,-3,0,8,18,8,21,0,3
"32VNP3",NA,NA,NA,NA,NA,NA,7,17,9,18,2,1
"32VNP4",38,109,26,97,-12,-12,13,20,8,22,-5,2
"32VNQ1",33,99,31,110,-2,11,10,18,9,17,-1,-1
"32VNQ2",29,87,32,100,3,13,10,18,9,21,-1,3
"32VNQ3",24,87,29,103,5,16,9,16,9,20,0,4
"32VNQ4",32,89,29,104,-3,15,7,14,7,11,0,-3
"32VNR1",24,84,35,98,11,14,5,18,6,20,1,2
"32VNR2",34,101,37,117,3,16,9,20,6,20,-3,0
