Species,natural_sp,human_dominated_sp
Limosa lapponica,1,0
Limosa limosa,0,1
Linaria cannabina,0,1
Linaria flavirostris,1,0
Locustella fluviatilis,1,0
Locustella lanceolata,1,0
Locustella luscinioides,0,1
Locustella naevia,0,1
Lophophanes cristatus,0,1
Loxia curvirostra,0,1
Loxia leucoptera,1,0
Loxia pytyopsittacus,1,0
Loxia scotica,0,1
Lullula arborea,0,1
Luscinia luscinia,0,1
Luscinia megarhynchos,0,1
Luscinia svecica,0,1
Lymnocryptes minimus,0,1
Lyrurus tetrix,0,1
Mareca penelope,1,0
Mareca strepera,1,0
Marmaronetta angustirostris,0,1
Melanitta fusca,1,0
Melanitta nigra,1,0
Melanocorypha calandra,0,1
Meleagris gallopavo,0,1
Mergellus albellus,0,1
Mergus merganser,1,0
Mergus serrator,1,0
Merops apiaster,0,1
Microcarbo pygmaeus,0,1
Milvus migrans,0,1
Milvus milvus,0,1
Monticola saxatilis,1,0
Monticola solitarius,0,1
Montifringilla nivalis,1,0
Morus bassanus,1,0
Motacilla alba,0,1
Motacilla cinerea,0,1
Motacilla citreola,0,1
Motacilla flava,0,1
Muscicapa striata,0,1
Myiopsitta monachus,0,1
Neophron percnopterus,0,1
Netta rufina,1,0
Nucifraga caryocatactes,0,1
Numenius arquata,0,1
Numenius phaeopus,0,1
Nycticorax nycticorax,1,0
Oenanthe hispanica,0,1
Oenanthe isabellina,0,1
Oenanthe leucura,1,0
Oenanthe oenanthe,0,1
Oenanthe pleschanka,0,1
Oriolus oriolus,0,1
Otis tarda,0,1
Otus scops,0,1
Oxyura jamaicensis,1,0
Oxyura leucocephala,0,1
Pandion haliaetus,0,1
Panurus biarmicus,1,0
Parus major,0,1
Passer domesticus,0,1
Passer hispaniolensis,0,1
Passer italiae,0,1
Passer montanus,0,1
Pastor roseus,1,0
Pelecanus crispus,1,0
Pelecanus onocrotalus,1,0
Perdix perdix,0,1
Periparus ater,0,1
Perisoreus infaustus,1,0
Pernis apivorus,0,1
Petronia petronia,0,1
Phalacrocorax carbo,1,0
Phalaropus fulicarius,1,0
Phalaropus lobatus,1,0
Phasianus colchicus,0,1
Phoenicopterus roseus,0,1
Phoenicurus ochruros,0,1
Phoenicurus phoenicurus,0,1
