cell50x50,occ_ebba1,SR_ebba1,occ_ebba2,SR_ebba2,deltaSR_birds,occ_m_b2000,SR_m_b2000,occ_m_a2015,SR_m_a2015,deltaSR_mammals,delta_occ_m,deltaT,ccv,log_ccv
31TGJ2,154,154,146,146,-8,2418,63,44301,52,11,41883,0.835574504100915,12.0205202579899,2.2487154547419
31TGK1,152,152,152,152,0,5167,70,6767,66,4,1600,0.840909047560258,2.92744077529388,0.84556379167632
31TGK2,152,152,154,154,2,1379,65,5752,59,6,4373,0.836370857617327,5.99495880111373,1.49825808305512
31TGL1,160,160,161,161,1,2362,74,8547,53,21,6185,0.885156172972459,8.27074744126101,1.69527071243015
31TGL2,156,156,153,153,-3,1523,70,7740,50,20,6217,0.849739520748456,4.75374883424292,1.04730476303459
31TGM1,154,154,161,161,7,6610,73,23152,70,3,16542,0.934606482284238,11.1789146262994,2.07866762902442
31TGM2,150,150,165,165,15,13397,77,46095,73,4,32698,0.907384585886494,7.49951230665128,1.65798605462413
31TGN1,139,139,146,146,7,4044,63,9167,54,9,5123,0.942779318852858,36.3011874995698,3.3565501238275
31TGN2,140,140,157,157,17,3234,64,15710,66,-2,12476,0.935567007851355,23.0061032795816,2.68739940887086
31UCP1,132,132,120,120,-12,963,51,12817,45,6,11854,0.694797921323491,25.237790338603,3.07050431927679
31UCP2,131,131,132,132,1,1068,48,2370,49,-1,1302,0.699255080196445,25.6297604178427,3.12128727632047
31UCP3,130,130,123,123,-7,373,49,89959,31,18,89586,0.759455125410478,41.6359965091304,3.49307449038937
31UCP4,125,125,127,127,2,1090,52,13541,46,6,12451,0.765136557110285,46.0931464990774,3.6748765842768
31UCQ1,159,159,149,149,-10,3137,47,4397,51,-4,1260,0.738939514487598,22.6511406380203,2.87400808616967
31UCQ2,124,124,118,118,-6,1848,40,685,46,-6,-1163,0.702701556973341,35.6838840478417,3.26521024169394
31UCQ3,137,137,143,143,6,2846,40,1633,47,-7,-1213,0.789341083792753,35.0115852199578,3.06702289470361
31UCQ4,122,122,122,122,0,1463,47,2630,44,3,1167,0.759617234385291,52.4376298692634,3.56930048120731
31UCR2,108,108,111,111,3,936,34,1585,36,-2,649,0.767809088512133,35.7125060262445,3.46945737271571
31UCR4,139,139,127,127,-12,2816,60,56081,47,13,53265,0.812146258804033,28.1535978681533,3.19456693782558
31UCS1,140,140,135,135,-5,3043,41,22193,43,-2,19150,0.786345743918204,35.8355088513511,3.13203261413636
31UCS2,143,143,129,129,-14,726,38,9605,34,4,8879,0.770279498039922,52.3705640918938,3.22295849621271
31UCS3,142,142,133,133,-9,1049,36,9204,35,1,8155,0.822613960657364,65.8617963705881,3.15532116793927
31UCS4,NA,NA,NA,NA,NA,90,29,369,24,5,279,0.823214326586042,35.6801133417457,3.56557039919885
31UCT1,137,137,134,134,-3,4778,36,15623,39,-3,10845,0.758744154737589,48.1043548167853,3.60369098903268
31UCT2,132,132,134,134,2,2162,38,10575,38,0,8413,0.787930007374615,34.748366531238,3.28481504585834
31UCT3,153,153,143,143,-10,13002,36,11078,39,-3,-1924,0.797098184118465,69.1068626402216,3.96708539256265
31UCT4,104,104,113,113,9,628,35,1809,28,7,1181,0.816898112826877,51.8094216337219,3.83843276677017
31UCU1,NA,NA,NA,NA,NA,2836,30,2297,32,-2,-539,0.727514382066398,81.4749337396458,4.08292914155081
31UCU2,152,152,153,153,1,7914,35,7878,36,-1,-36,0.728172124929764,53.718674789805704,3.72924265223602
31UCU3,142,142,139,139,-3,4917,30,2886,36,-6,-2031,0.782742139455434,51.5521797663163,3.76451272761675
31UCU4,155,155,132,132,-23,9782,34,10490,38,-4,708,0.799305563706618,73.7843881354634,4.10234367819042
31UCV2,NA,NA,NA,NA,NA,277,21,423,24,-3,146,0.726234559659605,62.7591824026749,3.85512305701282
31UDP1,127,127,144,144,17,1576,55,32492,47,8,30916,0.814272511729878,51.324356872502,3.75313856646054
31UDP2,135,135,141,141,6,501,50,19671,29,21,19170,0.82479878989133,55.6554483696292,3.82145073567487
31UDP3,140,140,151,151,11,2380,60,23006,51,9,20626,0.887192260135304,47.4835590636258,3.63841985459364
31UDP4,138,138,139,139,1,776,53,3750,35,18,2974,0.872099914334037,51.2486834871633,3.72418365485915
31UDQ1,122,122,121,121,-1,1404,55,33818,45,10,32414,0.825478986762036,32.6245333680147,3.18686304086076
31UDQ2,NA,NA,NA,NA,NA,2742,59,25421,55,4,22679,0.822214779369334,26.8032847006726,2.93005742600309
31UDQ3,142,142,145,145,3,2276,62,40408,44,18,38132,0.883828833296492,50.0636453801242,3.60062607603598
31UDQ4,NA,NA,NA,NA,NA,1977,64,21024,51,13,19047,0.900509016080336,33.2488310450399,3.22284525255766
31UDR1,169,169,163,163,-6,2064,53,72283,50,3,70219,0.830132126226658,26.6522329022122,3.16037866583784
31UDR2,139,139,127,127,-12,2180,55,107471,50,5,105291,0.83468877263816,30.1863840616657,3.28891188586269
31UDR3,126,126,126,126,0,797,49,14055,45,4,13258,0.844741556096204,39.4738536114707,3.46575196613502
31UDR4,132,132,139,139,7,1404,56,56575,44,12,55171,0.859840707217946,56.5930435829334,3.75363468264713
31UDS2,153,153,153,153,0,1506,56,35261,48,8,33755,0.812623874561207,28.780981903015,3.12332280304895
31UDS3,NA,NA,NA,NA,NA,949,28,2809,30,-2,1860,0.836923085726224,78.2741592847439,4.11443105608557
31UDS4,138,138,153,153,15,964,45,8238,46,-1,7274,0.831717929738091,65.8257166343854,3.81493040237727
31UDU1,NA,NA,NA,NA,NA,3,6,8,3,3,5,0.824999570846558,NA,NA
31UDU2,123,123,123,123,0,2458,32,2966,36,-4,508,0.827715788568769,134.427669399639,4.49851716385952
31UEP1,132,132,148,148,16,1881,51,5179,51,0,3298,0.936931826851585,48.8452839834042,3.54844325636856
31UEP2,151,151,142,142,-9,4199,51,16857,47,4,12658,0.909836606545882,45.2857816728426,3.30025360008225
31UEP3,135,135,140,140,5,862,52,40796,40,12,39934,0.939983944316487,51.7368269739722,3.69877194546301
31UEP4,135,135,145,145,10,3038,56,2974,52,4,-64,0.93347538059408,28.8583409158061,3.2230006412857
31UEQ1,150,150,149,149,-1,1316,58,30885,50,8,29569,0.918896391585067,46.5879151863947,3.57733879940346
31UEQ2,115,115,131,131,16,1069,57,16895,44,13,15826,0.939228204163638,57.0334991014266,3.74081597173382
31UEQ3,149,149,142,142,-7,1047,55,34535,54,1,33488,0.93280650281358,64.8133955508279,3.76438218234442
31UEQ4,142,142,138,138,-4,1415,55,83344,53,2,81929,0.941020475989357,34.9009783972023,3.29169270574713
31UER1,142,142,148,148,6,939,50,70128,45,5,69189,0.884937602568438,46.3302332220146,3.6227131824254
31UER2,130,130,137,137,7,571,54,123181,37,17,122610,0.895012227226706,74.7720779127274,3.8980631035211
31UER3,130,130,144,144,14,1220,44,1640,48,-4,420,0.914995616770046,37.366713522287,3.42973678389071
31UER4,137,137,148,148,11,884,59,104858,47,12,103974,0.922088370265731,33.4859184747783,3.35497475412049
31UES1,149,149,163,163,14,866,38,18073,28,10,17207,0.901687694501273,86.2167494672041,4.1895280225917
31UES2,124,124,141,141,17,554,33,4769,35,-2,4215,0.872381929407783,47.8267164246271,3.61220215450033
31UES3,153,153,171,171,18,3123,47,38005,42,5,34882,0.915680418623255,89.2220976520948,3.97222453695523
31UES4,NA,NA,NA,NA,NA,1664,33,6455,41,-8,4791,0.904489741605871,45.9877015838846,3.59614959563127
31UET2,NA,NA,NA,NA,NA,53,34,15640,15,19,15587,0.911775340204654,37.0148768332327,3.58823552723479
31UET3,145,145,147,147,2,270,47,83194,27,20,82924,0.952243599524865,46.806874197892,3.44074673700926
31UET4,154,154,170,170,16,121,43,66063,24,19,65942,0.931783256076631,69.9868225053988,4.01660345260219
31UFP1,149,149,158,158,9,2693,52,5404,54,-2,2711,0.948215916670488,62.6422223854719,3.72429661501749
31UFP2,130,130,137,137,7,3463,55,10489,57,-2,7026,0.947928439425883,32.5119313619442,3.30054145971924
31UFP3,137,137,133,133,-4,1325,59,116338,54,5,115013,0.961738980458882,31.7560082530132,3.27181497722874
31UFP4,117,117,123,123,6,1831,62,23234,51,11,21403,0.955737865170953,42.614179474736,3.47952985216585
31UFQ1,154,154,154,154,0,1541,58,34635,53,5,33094,0.954045539678529,53.5503187845719,3.52033656730549
31UFQ2,149,149,159,159,10,1465,53,95307,47,6,93842,0.950109010518983,54.1785235788429,3.69287325081008
31UFQ3,149,149,152,152,3,4282,61,5585,56,5,1303,0.96865643481819,32.7267902595675,3.25344041414854
31UFQ4,147,147,154,154,7,2749,57,17234,53,4,14485,0.969359781683945,44.742732565256,3.31163786644048
31UFR1,118,118,134,134,16,3849,33,3560,52,-19,-289,0.933993699120694,27.6575278234566,3.12116700266072
31UFR2,146,146,143,143,-3,2782,55,10656,53,2,7874,0.942882888381546,24.014751799158,2.88396139846048
31UFR3,123,123,126,126,3,8003,40,5478,55,-15,-2525,0.943447119338922,21.857459835985,2.7886668957095
31UFR4,132,132,136,136,4,4339,55,6238,57,-2,1899,0.961862934522392,30.9722952137716,3.1137192399897
31UFS1,136,136,151,151,15,16142,38,23364,42,-4,7222,0.920421296423608,61.0450489899622,3.90725743651698
31UFS2,NA,NA,NA,NA,NA,3537,31,6697,49,-18,3160,0.92345144404447,41.700305612697,3.53775843208904
31UFS3,153,153,167,167,14,1951,52,62486,43,9,60535,0.928284524797319,73.1640617976851,3.88155112550096
31UFS4,146,146,161,161,15,5411,56,68623,51,5,63212,0.925433616292962,27.4582354196526,3.07217976467136
31UFT1,154,154,166,166,12,455,46,100954,40,6,100499,0.959428634840189,89.4215919204166,3.95708862041215
31UFT2,162,162,171,171,9,503,48,108908,32,16,108405,0.947141186396281,78.3822951105764,4.06816381494634
31UFT3,159,159,175,175,16,478,49,168175,37,12,167697,0.941588410749122,71.8263308235941,3.91960318848075
31UFT4,155,155,168,168,13,396,49,121255,29,20,120859,0.946126864173196,90.4520383946497,4.16714145075573
31UFU1,143,143,148,148,5,52,39,26581,11,28,26529,0.908443032649525,108.682646956967,4.40904388946045
31UFU2,154,154,158,158,4,132,44,87362,18,26,87230,0.941335230162649,52.4350334173891,3.63017594671076
31UFU3,148,148,161,161,13,122,40,40106,17,23,39984,0.92868699525532,65.0141770191338,3.9867333589059
31UFU4,175,175,178,178,3,462,41,45289,30,11,44827,0.930347188313802,60.8616676320915,3.87298884166918
31UFV4,139,139,157,157,18,26,34,8382,11,23,8356,0.934861017862956,73.5418254783202,4.22589939221671
31UGP1,142,142,139,139,-3,1823,47,3519,54,-7,1696,0.970062237281304,27.66178389169,3.13160471565453
31UGP2,130,130,136,136,6,1223,53,5979,47,6,4756,0.951217508935309,34.6129446980528,3.27142485526989
31VFE3,157,157,131,131,-26,161,28,1013,16,12,852,0.83916665485927,7.47587932153275,1.94336848055867
31VFF1,156,156,134,134,-22,59,24,1044,13,11,985,0.812527342846519,26.0221864090087,3.06059815190234
31VFF2,99,99,99,99,0,17,18,325,8,10,308,0.800781309604645,NA,NA
31VFF3,152,152,137,137,-15,183,31,1084,17,14,901,0.806595537139148,8.56307837409782,1.79946842517041
31VFF4,174,174,167,167,-7,462,33,3316,27,6,2854,0.81289545474229,14.4797311251648,2.11292448534515
31VFG1,138,138,136,136,-2,620,30,1827,26,4,1207,0.827315585687757,5.82039317483801,1.36337360615726
31VFG2,147,147,137,137,-10,341,27,2743,18,9,2402,0.812486604478965,9.06828846241568,1.58331325233133
31VFH1,135,135,129,129,-6,169,20,283,14,6,114,0.853305921429082,7.4310032663022,1.57956915735356
31VFH2,134,134,139,139,5,739,29,1744,27,2,1005,0.846110355821012,12.2593134859647,1.83198114289005
31VFJ1,156,156,119,119,-37,570,23,886,22,1,316,0.874482653435045,5.59507930019343,1.38986274275763
31VFJ2,142,142,130,130,-12,255,24,457,21,3,202,0.865222947987897,4.93410250627723,1.39339410176583
31VFK2,157,157,117,117,-40,400,21,412,17,4,12,0.883574573617232,4.45170592873283,1.36413981925224
32TKN3,125,125,133,133,8,720,45,6167,49,-4,5447,0.838290203576801,7.72376821451818,1.92724487245377
32TKP3,161,161,159,159,-2,1673,65,8790,61,4,7117,0.836466511403482,6.08463604325925,1.53573649187284
32TKP4,144,144,136,136,-8,1402,63,10229,53,10,8827,0.845517736492735,14.504660041861,2.20018789451111
32TKQ3,137,137,129,129,-8,44603,70,36697,69,1,-7906,0.805492424906408,2.51584526636018,0.689462596597435
32TKQ4,144,144,152,152,8,6197,72,17515,69,3,11318,0.813040710587538,3.25193012053842,0.95583330543597
32TKR3,146,146,149,149,3,1194,63,4068,53,10,2874,0.890493513310997,4.89114678607578,1.23084694039676
32TKR4,126,126,150,150,24,597,62,3450,42,20,2853,0.843975641081731,2.05410221072003,0.459195276959291
32TLN1,NA,NA,NA,NA,NA,32,25,245,8,17,213,0.844270825386047,15.012837739372,2.59674991948524
32TLP1,141,141,137,137,-4,2351,66,18935,65,1,16584,0.838198738808958,4.82812791694544,1.13775992844356
32TLP2,145,145,143,143,-2,1573,58,9139,56,2,7566,0.842171661781542,6.32647830415462,1.56493313330261
32TLP3,140,140,134,134,-6,1804,67,10091,62,5,8287,0.871098495974685,2.41790088609731,0.73765918997595
32TLP4,104,104,119,119,15,303,40,2286,30,10,1983,0.867802966724743,4.16793690295153,1.35580006007971
32TLQ1,138,138,130,130,-8,6273,59,22872,59,0,16599,0.814333821975899,2.52694277723231,0.707837519666177
32TLQ2,134,134,125,125,-9,2572,54,20545,59,-5,17973,0.824866447287301,2.65115897551026,0.761829796164326
32TLQ3,157,157,152,152,-5,7,45,1721,4,41,1714,0.825923006745833,23.35153141118,2.06652966554383
32TLQ4,134,134,145,145,11,1,35,341,1,34,340,0.840744998238303,11.934877440623,1.57918316351596
32TLR1,140,140,141,141,1,3316,62,3611,59,3,295,0.884428572995322,1.97175291343974,0.505800651840904
32TLR2,126,126,130,130,4,12987,65,8516,59,6,-4471,0.843988455192422,2.41836396407592,0.616279287518573
32TLR3,133,133,131,131,-2,1156,37,3125,44,-7,1969,0.837901584416942,1.70340195614963,0.363096732666771
32TLR4,151,151,131,131,-20,756,37,2369,12,25,1613,0.843800766370827,2.84607866343235,0.730116168505237
32TLS1,174,174,172,172,-2,13436,68,28460,66,2,15024,0.913797407093162,8.24641527616042,1.78377833007345
32TLS2,167,167,166,166,-1,12594,75,15500,77,-2,2906,0.890513600137249,3.44436614833469,0.899277374057563
32TLS3,154,154,155,155,1,7145,63,21643,64,-1,14498,0.87648125604398,6.33072548420015,1.53952686011433
32TLS4,157,157,150,150,-7,10715,67,16285,71,-4,5570,0.843643440722107,2.3207194007615,0.487705689375783
32TLT1,154,154,146,146,-8,2359,62,10726,61,1,8367,0.928847098892385,24.6488915326416,2.70563854529058
32TLT2,156,156,142,142,-14,11507,67,14092,67,0,2585,0.915667095625332,13.2312674627272,2.15839192686086
32TLT3,157,157,163,163,6,5789,58,9780,62,-4,3991,0.903610278259624,13.8899346305186,2.3816789050733
32TLT4,158,158,164,164,6,10163,60,35496,64,-4,25333,0.903926238035544,11.886860675509901,2.07398429920385
32TMP1,133,133,128,128,-5,8,32,196,4,28,188,0.90172177700957,3.04432303985333,0.967071835994177
32TMP3,NA,NA,NA,NA,NA,NA,6,13,NA,NA,NA,0.93177056312561,3.65263730638758,1.29544945637627
32TMQ1,120,120,116,116,-4,5,29,948,5,24,943,0.846631729674197,25.2079883261694,3.02656058743404
32TMQ2,127,127,110,110,-17,1,37,625,1,36,624,0.881729836897417,15.037315056522,2.23931358032166
32TMQ3,136,136,129,129,-7,1,29,315,1,28,314,0.813901542894768,29.8939180959965,3.181927607643
32TMQ4,118,118,112,112,-6,31,35,569,8,27,538,0.866137820023757,15.4305878179977,1.71750326494449
32TMR1,136,136,122,122,-14,188,36,1008,24,12,820,0.831238192400302,2.50095923967927,0.670430293677035
32TMR2,158,158,153,153,-5,3,29,308,3,26,305,0.838138051331043,19.7330527907137,2.6271379095493
32TMR3,147,147,153,153,6,1827,51,1470,53,-2,-357,0.83160353862878,15.1764202718232,2.17690399767951
32TMR4,127,127,130,130,3,NA,21,218,NA,NA,NA,0.801444454193115,43.7613887701029,3.5189145319142
32TMS1,133,133,145,145,12,3028,61,12768,61,0,9740,0.857734518002964,3.17608466195765,0.785005155852205
32TMS2,140,140,136,136,-4,6451,60,5300,62,-2,-1151,0.84276514687773,1.76371390525091,0.317213227445563
32TMS3,126,126,135,135,9,3473,59,7007,62,-3,3534,0.877118851031727,2.23912087326901,0.557223986442385
32TMS4,141,141,153,153,12,5047,60,6980,67,-7,1933,0.867222996222236,2.47877797908016,0.712962862958656
32TMT1,147,147,149,149,2,3882,54,5997,54,0,2115,0.886718794703484,8.34289597578323,1.84737730223363
32TMT2,150,150,155,155,5,7538,58,12304,60,-2,4766,0.859978689388795,11.8697747225984,2.1137859562684
32TMT3,142,142,151,151,9,14306,56,12084,56,0,-2222,0.874817696213722,17.4182966762565,2.52536107607422
32TMT4,166,166,167,167,1,12403,58,12591,63,-5,188,0.864346632903272,7.59630548998029,1.68354919119492
32TNP1,NA,NA,NA,NA,NA,NA,5,14,NA,NA,NA,0.904427170753479,6.06389036076396,1.80235156782767
32TNP3,111,111,131,131,20,15,25,112,2,23,97,0.912811246411554,5.80206880457137,1.44464973657922
32TNQ1,147,147,154,154,7,1,26,321,1,25,320,0.820505078633626,23.2860641785189,2.47525484881517
32TNQ2,126,126,115,115,-11,4,30,373,4,26,369,0.869688204582164,4.92260039723207,1.329621101851
32TNQ3,118,118,140,140,22,NA,22,130,NA,NA,NA,0.85752246194257,52.2822170830323,3.42472730935746
32TNQ4,117,117,114,114,-3,2,18,89,2,16,87,0.896186831503203,5.55371338689663,1.53694443277968
32TNR1,161,161,156,156,-5,811,37,839,49,-12,28,0.819615927087255,8.00636101073615,1.60559444167499
32TNR2,124,124,123,123,-1,NA,21,315,NA,NA,NA,0.797152754465739,62.5141851671251,3.712447048003
32TNR3,151,151,155,155,4,9,29,448,1,28,439,0.789535728863307,6.43396942070294,1.05333698357881
32TNR4,127,127,123,123,-4,NA,24,243,NA,NA,NA,0.806341189146042,133.17819330465,4.47521112994321
32TNS1,130,130,135,135,5,5950,66,8579,60,6,2629,0.846732966083271,2.22833574078281,0.550030277049957
32TNS2,145,145,148,148,3,4891,54,3801,68,-14,-1090,0.845348004696213,1.86584826741382,0.407096773035809
32TNS3,117,117,125,125,8,5596,55,7193,52,3,1597,0.77578592519722,2.99168697912706,0.804580264523344
32TNS4,127,127,147,147,20,1885,49,2794,53,-4,909,0.790782812138963,2.19312711527739,0.392589756116342
32TNT1,152,152,160,160,8,4200,53,7197,52,1,2997,0.858124938607216,12.550019575152,2.28245216163207
32TNT2,144,144,152,152,8,5975,65,11162,66,-1,5187,0.856096103448759,3.88501821470858,0.997540075847444
32TNT3,158,158,159,159,1,2923,48,1146,23,25,-1777,0.799309879541397,10.7481178421575,2.03576857781352
32TNT4,133,133,134,134,1,443,45,1906,25,20,1463,0.806084291067567,3.2941520372419,0.875352858811467
32TPM3,NA,NA,NA,NA,NA,2,8,21,2,6,19,0.875694380866157,NA,NA
32TPN1,109,109,107,107,-2,NA,18,70,NA,NA,NA,0.961830434345064,11.2360786824917,2.28769014446483
32TPN2,NA,NA,NA,NA,NA,NA,12,22,NA,NA,NA,0.94691364853470406,18.2636258502142,2.70414933691383
32TPN3,104,104,103,103,-1,4,25,316,3,22,312,0.975984879696008,18.2295304147357,2.43368043073784
32TPN4,119,119,120,120,1,13,29,232,4,25,219,0.94807557736413,20.9064783853109,2.61658409785017
32TPP1,132,132,157,157,25,2,36,176,2,34,174,0.935290408856941,6.5284576828421,1.42838710543117
32TPP2,121,121,128,128,7,13,23,153,7,16,140,0.947480285489881,23.5747388745436,2.7312067537652
32TPP3,120,120,129,129,9,4,30,193,3,27,189,0.969254665493225,8.29019501613456,1.69792882082329
32TPP4,113,113,107,107,-6,24,18,234,15,3,210,0.972580210762735,13.5137175840576,2.36214027188023
32TPQ1,128,128,125,125,-3,NA,29,340,NA,NA,NA,0.900751554513279,69.5265590642658,4.09292268797577
32TPQ2,123,123,135,135,12,NA,17,112,NA,NA,NA,0.921388851512562,11.3957260212229,1.98354870192426
32TPQ3,107,107,116,116,9,NA,16,97,NA,NA,NA,0.935803413391113,97.8969270891249,4.17396749463171
32TPQ4,143,143,141,141,-2,10,23,188,5,18,178,0.950053404539059,29.2222666412792,2.71875090939867
32TPR1,139,139,138,138,-1,48,37,659,10,27,611,0.862688276495964,2.95660563645198,0.798131896440278
32TPR2,141,141,138,138,-3,1,31,272,1,30,271,0.874682409007375,50.4696341702375,3.51208904912657
32TPR3,141,141,142,142,1,25,38,1748,11,27,1723,0.917202365057809,3.88814322364241,1.00130237867217
32TPR4,116,116,118,118,2,NA,22,159,NA,NA,NA,0.907655601041863,42.6492397579232,3.10585656386859
32TPS1,132,132,139,139,7,2432,46,1867,44,2,-565,0.817112227912583,1.80456221164383,0.397773174411981
32TPS2,NA,NA,NA,NA,NA,363,30,892,15,15,529,0.872597072561885,1.97535315264928,0.430991941942612
32TPS3,129,129,139,139,10,8,34,436,6,28,428,0.845745978436383,2.12618200413198,0.472722693830831
32TPS4,134,134,144,144,10,65,46,1083,7,39,1018,0.9202174750514,2.67783365008146,0.731130544562217
32TPT1,145,145,147,147,2,64,39,1209,28,11,1145,0.760878338055177,12.1641977612771,1.98890832735578
32TPT2,105,105,124,124,19,49,27,971,11,16,922,0.795005343669357,2.36895553101896,0.608195577166732
32TPT3,151,151,151,151,0,25,40,1236,12,28,1211,0.78648200427944,10.6515240864065,1.7468479811404
32TPT4,121,121,134,134,13,7,38,1251,4,34,1244,0.797687887908579,1.91200436709153,0.471754649206977
32TQM1,104,104,121,121,17,NA,14,41,NA,NA,NA,0.902961903307811,19.4145866244666,2.7227719103309
32TQN1,117,117,117,117,0,3,16,76,2,14,73,1.00119467381831,22.3129198103357,2.51053667407153
32TQN2,108,108,120,120,12,2,23,189,2,21,187,0.967049326215472,10.9161086550559,2.07493037656735
32TQP1,112,112,110,110,-2,NA,25,170,NA,NA,NA,0.99619417866384,8.63289976545757,1.91518022903627
32TQP2,115,115,127,127,12,1,22,100,1,21,99,0.994318174593376,9.24133514160164,1.76028912987793
32TQQ1,90,90,104,104,14,NA,18,231,NA,NA,NA,0.9644111128878,64.7686064426701,3.93553036171556
32TQQ2,140,140,133,133,-7,NA,17,66,NA,NA,NA,0.993877236169713,57.9455873750328,3.60700105027936
32TQR1,150,150,138,138,-12,NA,24,144,NA,NA,NA,0.946454304915208,23.2420983519234,2.13217714963436
32TQR2,90,90,99,99,9,NA,20,68,NA,NA,NA,0.958402808507284,57.8259410555706,3.73708514612441
32TQS1,134,134,130,130,-4,61,34,696,26,8,635,0.875063146640914,3.43052528640498,0.864280991747943
32TQS2,148,148,140,140,-8,3,35,704,3,32,701,0.915688604028992,3.50721040811596,0.985522660510737
32TQT1,129,129,152,152,23,23,37,1226,16,21,1203,0.824786931276321,6.59562172422461,1.6081754505776
32TQT2,119,119,111,111,-8,634,41,1186,41,0,552,0.838498703655355,2.46930934814419,0.703273113215715
32ULA1,126,126,132,132,6,523,49,4732,43,6,4209,0.942501826433358,18.1948731170966,2.73453621927327
32ULA2,129,129,125,125,-4,4935,54,10621,55,-1,5686,0.957696276262772,23.5554749107417,2.67300632383567
32ULA3,130,130,132,132,2,2,54,2357,2,52,2355,0.919455853967719,13.4710722812247,2.31496086736666
32ULA4,121,121,122,122,1,12,47,2299,8,39,2287,0.923963972040125,20.1862050939089,2.42923051948273
32ULB1,137,137,155,155,18,1470,52,25487,35,17,24017,0.90697262308619,45.1080018589367,3.48104433438109
32ULB2,138,138,156,156,18,304,54,10455,38,16,10151,0.914074287155635,20.884962212623,2.66619668182337
32ULB3,118,118,137,137,19,214,52,7009,30,22,6795,0.905430324742051,19.4733303272022,2.65054546843347
32ULB4,128,128,146,146,18,38,60,5874,11,49,5836,0.917624759164086,22.1338015577928,2.76159499906181
32ULC1,157,157,173,173,16,304,47,65232,35,12,64928,0.910406882774102,76.2348122264812,4.12910341109992
32ULC2,142,142,159,159,17,83,49,14071,14,35,13988,0.903181804310192,49.582034455573,3.67599381043615
32ULC3,133,133,146,146,13,27,52,12482,11,41,12455,0.894243997396882,58.3825487207079,3.8568077988568
32ULC4,123,123,139,139,16,3,54,9165,2,52,9162,0.895185232162476,42.1685335883366,3.44223984712312
32ULD1,155,155,175,175,20,109,46,89509,21,25,89400,0.926757817467054,76.2058092319275,4.15560840276235
32ULD2,156,156,174,174,18,296,49,78066,28,21,77770,0.923649481193504,64.7088116201615,3.99917832097086
32ULD3,152,152,162,162,10,22,40,24840,7,33,24818,0.931872879106974,139.866411584803,4.6681105840964
32ULD4,145,145,151,151,6,15,49,9093,7,42,9078,0.891089703486516,74.6014606362628,4.13254390748717
32ULE2,144,144,172,172,28,16,36,20586,11,25,20570,0.932462172074751,110.30994172307,4.35535033809116
32ULE4,146,146,162,162,16,3,36,3588,2,34,3585,0.941291911996526,86.3547050289262,4.3326244741945
32ULU1,147,147,153,153,6,1173,48,2630,46,2,1457,0.961040388324303,53.8964150539637,3.51995609502328
32ULU2,136,136,131,131,-5,870,58,3196,47,11,2326,0.943249542619929,14.2748170654609,2.38975753405464
32ULU3,150,150,141,141,-9,2012,59,8057,46,13,6045,0.916243107764276,19.0495239808064,2.39509243673986
32ULU4,161,161,161,161,0,2170,63,8191,53,10,6021,0.918020256495072,34.0909434786562,2.60591792722009
32ULV1,147,147,149,149,2,2854,56,28046,59,-3,25192,0.939685350534867,20.1009239436789,2.71210121922182
32ULV2,149,149,157,157,8,2587,56,14762,54,2,12175,0.954259845299449,39.3966140878787,3.40404100521426
32ULV3,128,128,124,124,-4,122,45,2701,14,31,2579,0.92508484319199,24.306167273192,2.90378732305247
32ULV4,143,143,142,142,-1,1279,46,3850,51,-5,2571,0.920784806096277,51.5079151268896,3.34845721845139
32UMA1,135,135,130,130,-5,21,54,4720,7,47,4699,0.926960776833927,16.4277043355942,2.50075994848725
32UMA2,140,140,146,146,6,45,53,8077,20,33,8032,0.91642819829734,21.080166986405,2.69265815188417
32UMA3,145,145,158,158,13,19,59,7450,15,44,7431,0.928999523428035,19.2417844473355,2.70418388073519
32UMA4,143,143,157,157,14,17,57,16680,10,47,16663,0.957022049847771,29.549234827072,3.02497299108097
32UMB1,121,121,126,126,5,197,41,993,19,22,796,0.916112605561601,18.4134612229309,2.66623354081893
32UMB2,119,119,133,133,14,27,45,1841,17,28,1814,0.921033851603136,17.3477352074946,2.64285724363189
32UMB3,118,118,133,133,15,10,43,1616,4,39,1606,0.914137659225872,17.3758538741772,2.63679061846833
32UMB4,126,126,142,142,16,32,52,3199,16,36,3167,0.913725442427365,16.4691609273526,2.67206494976674
32UMC1,137,137,147,147,10,1,51,6423,1,50,6422,0.897067520929419,48.7000536505878,3.66285450385173
32UMC2,130,130,144,144,14,35,51,3752,17,34,3717,0.911174243784206,63.0375595604699,3.57564548131169
32UMC3,143,143,148,148,5,44,51,4426,6,45,4382,0.892678880422129,27.1172371339315,3.15449896508816
32UMC4,139,139,143,143,4,14,41,1219,6,35,1205,0.914984435321175,33.8238986384494,2.97147901431806
32UMD1,145,145,154,154,9,2,42,1538,1,41,1536,0.91578286103528,86.9102852541747,4.30698439312547
32UMD2,136,136,157,157,21,7,46,2222,5,41,2215,0.896721518667121,64.7476226419265,3.97997561216064
32UMD3,148,148,156,156,8,49,37,3280,10,27,3231,0.914330805190886,72.2246813127847,4.01551754008015
32UMD4,145,145,155,155,10,NA,34,1663,NA,NA,NA,0.899105597024012,65.7218499235314,3.96965435320772
32UME1,NA,NA,NA,NA,NA,6,17,314,2,15,308,0.953020858764648,76.5046438842842,4.17781080239333
