cell50x50,occ_ebba1,SR_ebba1,occ_ebba2,SR_ebba2,deltaSR_birds,occ_m_b2000,SR_m_b2000,occ_m_a2015,SR_m_a2015,deltaSR_mammals,delta_occ_m,deltaT,ccv,log_ccv
29TNH1,102,102,104,104,2,5,26,4808,3,23,4803,0.466258396973481,10.5898370271615,2.01336160732123
29TNH2,107,107,118,118,11,2,21,5374,2,19,5372,0.485054318208872,6.60034972156571,1.51755759777723
29TNH3,92,92,97,97,5,NA,23,4917,NA,NA,NA,0.468318912900727,10.3191296827368,1.96586328246464
29TNH4,86,86,91,91,5,NA,17,6466,NA,NA,NA,0.482886921275746,6.06348868060865,1.6500516658683
29TNJ2,NA,NA,NA,NA,NA,NA,8,189,NA,NA,NA,0.459821428571429,6.56980284524952,1.88248382371285
29TNJ4,NA,NA,NA,NA,NA,1,35,3738,1,34,3737,0.457341315254333,7.18126834610154,1.66775367935828
29TPE1,107,107,119,119,12,6,24,140,2,22,134,0.425636519988378,3.81860066837245,0.890289254280328
29TPE3,145,145,122,122,-23,454,19,3289,14,5,2835,0.425936185860936,8.09769408736679,1.63277496418597
29TPF1,102,102,119,119,17,30,39,4918,7,32,4888,0.469399359319117,4.00874880533754,1.21029403797961
29TPF2,107,107,108,108,1,5,15,44,2,13,39,0.443413521192089,6.05416023409814,1.52734823485966
29TPF3,131,131,132,132,1,4,39,2920,2,37,2916,0.479892490756127,5.69789825824024,1.4530276907066
29TPF4,148,148,134,134,-14,NA,24,3464,NA,NA,NA,0.450324677801751,7.97467309159889,1.84457437351979
29TPG1,126,126,137,137,11,1,22,7595,1,21,7594,0.525762188725355,4.24476913462846,1.15385608622214
29TPG2,134,134,124,124,-10,10,18,2485,4,14,2475,0.504261382214435,7.72939704296535,1.24896862253786
29TPG3,NA,NA,NA,NA,NA,5,23,8638,5,18,8633,0.532233794530233,2.71092137891361,0.803869535146394
29TPG4,134,134,127,127,-7,79,30,1483,8,22,1404,0.527893478487745,4.95304671046665,1.44153263136085
29TPH1,NA,NA,NA,NA,NA,2,32,4299,1,31,4297,0.464334391947812,10.5761460034109,2.01994734503735
29TPH2,107,107,98,98,-9,5,21,4093,2,19,4088,0.478476852770673,4.84351125345491,1.38366246158744
29TPH3,NA,NA,NA,NA,NA,3,36,7924,2,34,7921,0.476944417664499,6.03355861194396,1.1761181126351
29TPH4,126,126,122,122,-4,4,42,6294,2,40,6290,0.507479244137403,3.69039583524992,1.03665325440622
29TPJ2,92,92,86,86,-6,NA,21,3555,NA,NA,NA,0.465917982161045,4.22264115201364,1.24888930441343
29TPJ4,NA,NA,NA,NA,NA,NA,37,4525,NA,NA,NA,0.47250954858188,2.76612758695139,0.90546575568136
29TQE1,146,146,152,152,6,420,24,8381,20,4,7961,0.434898912553957,4.19765746301061,1.13206704101882
29TQF1,133,133,146,146,13,7,35,5808,2,33,5801,0.491773544213711,22.9429855668005,2.56261869902833
29TQF2,158,158,132,132,-26,NA,13,6989,NA,NA,NA,0.468055580601548,21.8458577722197,2.793208689465
