"cell50x50","lon","lat"
"30TVL1",3160194.0581506,2131808.46274578
"30TVL2",3152286.68131417,2082518.0374907
"30TVL3",3209556.86615369,2123149.11722391
"30TVL4",3201670.54090038,2073867.1452847
"30TVM1",3176138.55585407,2230424.48664298
"30TVM2",3168144.78152626,2181110.90243435
"30TVM3",3225461.14652701,2221748.44877894
"30TVM4",3217487.27217537,2172443.27551291
"30TVN1",3192253.26014271,2329081.17379845
"30TVN2",3184174.56109447,2279747.94133371
"30TVN3",3241539.04858941,2320388.30431473
"30TVN4",3233478.54471972,2271063.48525104
"30TVP2",3200374.32473245,2378423.2373818
"30TVP4",3249642.73936363,2369721.60684091
"30TVT1",3275346.73831221,2822773.12129246
"30TVT3",3324493.41035331,2813987.86564801
"30TWK1",3243259.07686859,2016012.37434185
"30TWK3",3292712.07751637,2007486.24486451
"30TWL1",3258944.55495503,2114543.36786071
"30TWL2",3251079.5635278,2065271.8324597
"30TWL3",3308352.99470801,2105991.90244528
"30TWL4",3300509.6447145,2056732.78010873
"30TWM1",3274807.82880665,2213121.60123636
"30TWM2",3266853.92767633,2163827.0590223
"30TWM3",3324174.70605661,2204544.59591664
"30TWM4",3316241.36793176,2155262.81239633
"30TWN1",3290848.09507948,2311739.84997847
"30TWN2",3282805.78158477,2262425.93461026
"30TWN3",3340176.68418098,2303136.43594011
"30TWN4",3332153.32112726,2253835.77820154
"30TWP2",3298934.22177344,2361062.15720552
"30TWP4",3348244.74737011,2352445.57024321
"30TWS3",3405958.91633995,2697782.95487673
"30TWS4",3397582.6214899,2648436.20219396
"30TWT1",3373660.10258831,2805224.26234257
"30TWT2",3365185.62268128,2755859.00919879
"30TWT3",3422842.22327826,2796483.11642653
"30TWT4",3414378.78455141,2747132.10769542
"30TXK1",3342182.80479238,1999019.70548714
"30TXK3",3391667.46349734,1990613.19789929
"30TXL1",3357778.23262217,2097495.48561502
"30TXL2",3349957.44300292,2048251.56255019
"30TXL3",3407217.04690119,2089055.01232967
"30TXL4",3399418.52936326,2039828.16592598
"30TXM1",3373558.34242309,2196017.62054093
"30TXM2",3365645.28064245,2146751.29479734
"30TXM3",3422954.24883341,2187541.70871046
"30TXM4",3415062.44145193,2138292.90636707
"30TXN1",3389520.86661685,2294578.95912526
"30TXN2",3381516.85598642,2245293.63525862
"30TXN3",3438877.12398547,2286068.07252319
"30TXN4",3430892.65672057,2236800.46100441
"30TXP1",3405665.67366659,2393173.95313047
"30TXP2",3397570.62717106,2343872.56281183
"30TXP3",3454985.1389469,2384627.3559939
"30TXP4",3446907.96358015,2335344.05480503
"30TXQ1",3421990.43302763,2491796.26647589
"30TXQ2",3413805.75115199,2442482.09193954
"30TXQ3",3471276.10677405,2483213.17076704
"30TXQ4",3463107.64041459,2433917.49549477
"30TXR1",3438495.01586927,2590439.77327392
"30TXR2",3430220.391329,2541115.721302
"30TXR3",3487750.1693845,2581819.8448846
"30TXR4",3479490.40030575,2532514.33808423
"30TXS1",3455177.29285362,2689098.07854571
"30TXS2",3446814.08978706,2639767.37401724
"30TXS3",3504404.54580587,2680441.0688469
"30TXS4",3496055.03241307,2631128.75775121
"30TXT1",3472036.20279129,2787764.68648758
"30TXT2",3463584.65074062,2738430.72511315
"30TXT3",3521238.83883262,2779070.38910752
"30TXT4",3512799.39277418,2729754.97540411
"30TYK1",3443443.55751373,1981755.31281424
"30TYL1",3457248.44409864,2080430.02806918
"30TYL2",3450325.50823674,2031085.83964847
"30TYM1",3471215.93389536,2179156.20422595
"30TYM2",3464211.9487086,2129787.04207618
"30TYN1",3485344.70538897,2277927.32183156
"30TYN2",3478260.09394139,2228536.59167937
"30TYP1",3499633.88425396,2376736.80191939
"30TYP2",3492469.45485329,2327327.54742974
"30TYQ1",3514081.88465839,2475576.46618494
"30TYQ2",3506838.0808708,2426153.25580181
"30TYR1",3528687.94265228,2574440.04592887
"30TYR2",3521365.23088583,2525006.03088347
"30TYS1",3557998.32490565,2671342.84539297
"30TYS2",3551541.01672056,2621776.99011572
"30TYT1",3571009.83239344,2770480.82537422
"30TYT2",3564487.95264358,2720910.91639936
"30UUA2",3221419.45436478,3115689.64606894
"30UUA3",3278096.66103654,3127946.1890993
"30UUA4",3269352.09115663,3078555.66900497
"30UUB3",3295703.50354627,3226716.49381361
"30UUB4",3286880.47518775,3177333.29065104
"30UUC3",3286225.60282596,3330320.1968988
"30UUC4",3276313.6266308,3281128.98417416
"30UUD1",3281641.47489664,3433046.853868
"30UUD3",3331383.61128477,3424192.81148402
"30UUD4",3322405.55370898,3374833.7519719
"30UUE1",3301771.39745415,3531363.14374402
"30UUF1",3322074.0888871,3629632.98880878
"30UUF2",3311901.30592496,3580504.40056281
"30UUF3",3367678.56666198,3621542.10466699
"30UUG1",3342548.11630881,3727849.24056104
"30UUG2",3332289.56336869,3678748.22987693
"30UUG3",3386053.92442805,3720153.58236475
"30UUG4",3376847.21730658,3670853.70620917
"30UUU3",3243355.58948693,2930371.23675792
"30UUU4",3234769.55439844,2880975.1517957
"30UVA1",3351726.46522364,3114668.671168
"30UVB1",3344773.06450072,3217845.38591057
"30UVB2",3335954.4376892,3168470.77375203
"30UVB3",3393863.10803284,3208977.36222159
"30UVB4",3385048.72067768,3159613.51513249
"30UVC1",3362529.72821312,3316579.19648205
"30UVC2",3353631.6182612,3267215.08845208
"30UVC3",3411612.99820764,3307689.15434633
"30UVC4",3402717.93090189,3258336.33583347
"30UVD1",3370104.12476895,3451151.22162281
"30UVD2",3371467.63622727,3365936.58602116
"30UVD3",3429524.06738684,3406374.11439639
"30UVD4",3420548.52788082,3357035.19007181
"30UVE4",3438539.26210617,3455704.49589404
"30UVF1",3416742.61120407,3612598.2939178
"30UVF3",3465823.74445749,3603638.8500072
"30UVF4",3456689.33356597,3554337.54886604
"30UVG1",3435123.9291101,3711190.10897398
"30UVG2",3425914.0829143,3661900.00746859
"30UVG3",3484210.22381033,3702206.65261591
"30UVG4",3474997.32788395,3652928.93993012
"30UVU1",3292461.03562969,2921549.77377497
"30UVU2",3283883.38923712,2872161.30905033
"30UVU3",3341588.966545,2912744.74978413
"30UVU4",3333020.53645952,2863366.28448701
"30UVV4",3350199.0608386,2962122.80460538
"30UWA1",3425391.77472882,3101407.07487013
"30UWB1",3442969.25122722,3200112.87659409
"30UWB2",3434159.74468526,3150762.10412245
"30UWB3",3492088.42518604,3191252.47986546
"30UXB3",3595060.76431476,3172554.50519618
"30UWB4",3483283.99167839,3141917.17028789
"30UWC1",3460712.07996154,3298798.03883513
"30UWC2",3451820.12182955,3249458.61059661
"30UWC3",3509822.86178794,3289906.5938272
"30UWC4",3500934.68164659,3240582.54546658
"30UWD1",3478618.27424447,3397455.97699894
"30UWD2",3469644.69628806,3348130.64985169
"30UWD3",3527723.64943512,3388532.76029737
"30UWD4",3518752.33915722,3339223.65543699
"30UWE1",3472140.85961627,3500552.84632404
"30UWE2",3487632.64061329,3446772.5547775
"30UWE3",3545790.14220955,3487124.91656631
"30UWE4",3536736.36081233,3437833.52830436
"30UWF1",3514917.61584598,3594664.94245633
"30UWF2",3505782.33283997,3545377.76211781
"30UWF3",3588572.67462836,3581177.0411126
"30UWF4",3554885.1559813,3536406.31928466
"30UWG1",3557860.59397942,3688693.64492292
"30UWG2",3524093.20499335,3643940.7001845
"30UWG4",3597749.97735503,3630426.52124714
"30UWU1",3390735.96888329,2903956.70109365
"30UWU2",3382176.8546426,2854590.54853799
"30UWU3",3439897.75337636,2895186.38391833
"30UWU4",3431348.6247852,2845834.75310548
"30UWV2",3399336.92652504,2953322.41904693
"30UWV3",3461463.63146228,3018560.11700597
"30UXB1",3541216.35551587,3182397.27415249
"30UXB2",3532417.89348156,3133079.40343152
"30UXB4",3587269.84785161,3123084.72337459
"30UXC1",3558941.49984188,3281015.54907504
"30UXC2",3550057.74994511,3231709.43919739
"30UXC3",3610754.39697117,3271480.97997401
"30UXC4",3602889.06590293,3222020.13783017
"30UXD1",3576836.24209245,3379605.4774226
"30UXD2",3567867.76162704,3330314.43366015
"30UXD3",3626596.10015903,3370385.07477165
"30UXD4",3618656.69070311,3320936.22789232
"30UXE1",3594899.692416,3478161.13907417
"30UXE2",3585847.04813155,3428887.96918072
"30UXE4",3634572.61449551,3419826.53195874
"30UXF2",3626091.50570568,3523283.07224539
"30UXU1",3489070.92054264,2886434.45837598
"30UXU2",3480531.78468921,2837099.86775306
"30UXU3",3538251.74376667,2877701.90675318
"30UXU4",3529722.96985357,2828386.6366788
"30UXV1",3510614.85815608,3009765.67215718
"30UXV2",3497653.84156614,2935768.37268886
"30UXV3",3564069.91079857,2974691.92945217
"30UXV4",3556236.32193987,2925246.70747493
"30UYU1",3584149.02790228,2869616.71924885
"30UYU2",3577563.60723657,2820049.99998312
"30VUH1",3363192.06136293,3826004.403299
"30VUH2",3352849.01000408,3776934.82924472
"30VUH3",3404579.39994796,3818715.32919474
"30VUH4",3395297.90291269,3769441.02180317
"30VUJ1",3369505.37949495,3927406.98729866
"30VUJ2",3373613.69194871,3875025.97744033
"30VUJ3",3423254.28743598,3917220.53255283
"30VUJ4",3413898.20282212,3867975.55371474
"30VUK3",3442077.36349116,4015663.17611743
"30VUK4",3432647.32346489,3966450.15961283
"30VUL4",3451544.00308754,4064859.00863918
"30VVH1",3453658.4290391,3809731.45956626
"30VVH2",3444372.48067936,3760467.41746294
"30VVH3",3502753.04038846,3800723.10285363
"30VVH4",3493462.08580681,3751471.78185449
"30VVJ1",3472345.7531833,3908215.98764045
"30VVJ2",3462983.26763124,3858981.21564875
"30VVJ3",3521451.28617366,3899182.27586911
"30VVJ4",3512082.67014904,3849960.04374688
"30VVK1",3491183.69385789,4006636.83416685
"30VVK2",3481745.76403473,3957434.82484932
"30VVK3",3540303.46341396,3997577.09509541
"30VVK4",3530858.04243619,3948388.07753327
"30VVL4",3549787.00642076,4046749.37383934
"30VWH1",3551858.80480764,3791691.12389139
"30VWH2",3542563.94227672,3742454.50139417
"30VWJ1",3570567.17910771,3890120.45096034
"30VWJ2",3585750.64208254,3836377.57566354
"30VWJ3",3619690.04422476,3881031.15275607
"31SBC3",3477406.74617181,1776527.44831929
"31SBD4",3482458.86318279,1826001.9058088
"31SBE4",3492647.04054953,1925008.40232527
"31TCG4",3612911.49816507,2113746.89248002
"31TBE3",3497783.1170511,1974538.44648644
"31TBF3",3508137.73763167,2073649.29829641
"31TBF4",3502946.70886428,2024085.76121286
"31TBG3",3518602.43299695,2172821.6618754
"31TBG4",3513356.35504231,2123228.1534566
"31TBH3",3529176.56171216,2272048.70843625
"31TBH4",3523875.87707884,2222428.59773581
"31TBJ3",3539858.7497046,2371324.53558143
"31TBJ4",3534504.04058557,2321681.1583385
"31TBK3",3550648.45100542,2470640.98581186
"31TBK4",3545240.22501587,2420977.84893447
"31TBL3",3561544.74688716,2569990.76293566
"31TBL4",3556083.43347191,2520312.17973054
"31TCF1",3558664.28697826,2068874.33006798
"31TCF2",3552203.44171389,1994396.63712037
"31TCF3",3608593.89014784,2064071.7764516
"31TCG1",3567356.38592437,2168237.12524859
"31TCG2",3562999.58942779,2118547.83508692
"31TCG3",3617250.91577852,2163437.33923974
"31TCH1",3576133.16711311,2267659.04127055
"31TCH2",3571734.2764759,2217941.06126928
"31TCH3",3625995.88483457,2262861.0976915
"31TCH4",3621612.43881651,2213142.18687738
"31TCJ1",3584993.57676831,2367134.09645386
"31TCJ2",3580553.14784064,2317390.65758121
"31TCJ3",3634827.21089447,2362337.79656629
"31TCJ4",3630400.71346826,2312593.16145466
"31TCK1",3593937.07366374,2466655.68995642
"31TCK2",3589454.90127911,2416889.58088284
"31TCK3",3643745.25985482,2461860.83720617
"31TCK4",3639275.32739291,2412093.94997704
"31TCL1",3602962.59307838,2566217.80749286
"31TCL2",3598439.82746711,2516431.95093252
"31TCL3",3652748.33605071,2561424.40489528
"31TCL4",3648236.13474213,2511637.92373797
"31TCM1",3612070.6923986,2665814.73302737
"31TCM2",3607506.22835425,2616012.28012523
"31TCM3",3661836.62513179,2661021.89305425
"31TCM4",3657281.77735366,2611219.22758245
"31TCN1",3621259.70511211,2765439.50651142
"31TCN2",3616654.96414045,2715623.89647493
"31TCN3",3671009.26743856,2760646.87964369
"31TCN4",3666412.52990978,2710831.30331333
"31TDF1",3658545.1091879,2059322.4811214
"31TDF3",3708514.61092408,2054626.37478155
"31TDG1",3667167.20033016,2158685.72514709
"31TEJ1",3784436.80322108,2348183.72301174
"31TDG2",3662844.68897501,2108996.38833865
"31TDG3",3717100.64462446,2153982.42041631
"31TDG4",3712795.94627709,2104296.73589985
"31TDH1",3675879.37632199,2258106.6580777
"31TDH2",3671511.93439966,2208389.16486484
"31TDH3",3725780.20494752,2253396.24792357
"31TDH4",3721428.86293859,2203682.29341845
"31TDJ1",3684681.62246541,2357580.15961472
"31TDJ2",3680269.28380049,2307837.24292438
"31TDJ3",3734552.98010153,2352862.12081742
"31TDJ4",3730154.86432381,2303123.00450927
"31TDK1",3693573.24407623,2457100.19742175
"31TDK2",3689116.28563891,2407334.78287702
"31TDK3",3743417.73100988,2452374.65429633
"31TDK4",3738973.94014344,2402613.15990067
"31TDL1",3702553.64685772,2556660.21375393
"31TDL2",3698052.23424324,2506875.58154309
"31TDL3",3752374.65713603,2551925.86858182
"31TDL4",3747884.85224519,2502145.56761648
"31TDM1",3711621.9945792,2656253.8065968
"31TDM2",3707076.77113537,2606453.36188243
"31TDM3",3761422.78458473,2651511.30096887
"31TDM4",3756887.47833494,2601714.83394216
"31TDN1",3720777.54253696,2755875.32307584
"31TDN2",3716188.97219422,2706061.29753497
"31TDN3",3770561.07722051,2751124.30809441
"31TDN4",3765980.56913698,2701314.76999643
"31TEG1",3767047.87502749,2149328.10349956
"31TEG2",3762760.90763175,2099648.2882518
"31TEH1",3775694.32614276,2248730.00337119
"31TEH2",3771358.90118628,2199022.06732308
"31TEJ2",3780053.70731198,2298450.69101634
"31TEJ3",3834330.21929144,2343545.22362867
"31TEJ4",3829961.74310634,2293820.67079586
"31TEK1",3793275.3649866,2447683.75097182
"31TEK2",3788844.11243568,2397928.55769186
"31TEK3",3843141.06863135,2443027.95472764
"31TEK4",3838723.38026258,2393281.28657582
"31TEL1",3802208.20752653,2547222.29121202
"31TEL2",3797729.86067623,2497448.37882038
"31TEL3",3852049.76044558,2542549.90059983
"31TEL4",3847583.37374697,2492784.37140319
"31TEM1",3811235.31521874,2646794.7863245
"31TEM2",3806709.92762563,2597004.84079335
"31TEM3",3861055.7974031,2642104.6135086
"31TEM4",3856540.77499772,2592323.68990168
"31TEN1",3820356.35876292,2746394.52117016
"31TEN2",3815784.26801793,2696591.63635314
"31TEN3",3870158.73920073,2741686.39741022
"31TEN4",3865595.10238843,2691892.36054667
"31TFH1",3875547.16867445,2239531.61433752
"31TFJ1",3884228.80791937,2338947.39042775
"31TFJ2",3879875.23639189,2289233.37434463
"31TFJ3",3934128.73464991,2334390.25927053
"31TFJ4",3929790.22988996,2284689.41799465
"31TFK1",3893011.61728339,2438408.32010266
"31TFK2",3888607.72096478,2388672.61740548
"31TFK3",3942883.60502151,2433824.57303206
"31TFK4",3938493.0854204,2384102.46913675
"31TFL1",3901896.03927939,2537908.36414212
"31TFL2",3897441.23820823,2488153.80913525
"31TFL3",3951743.04239372,2533298.0536099
"31TFL4",3947300.21908724,2483556.91856971
"31TFM1",3910880.53503447,2637441.05519587
"31TFM2",3906375.89624089,2587670.93287906
"31TFM3",3960705.42180877,2632804.03787138
"31TFM4",3956211.58694262,2583047.10489089
"31TFN1",3919964.63626712,2736999.91156557
"31TFN2",3915410.08230872,2687217.58554034
"31TFN3",3969770.93938188,2732336.27187192
"31TFN4",3965225.37982906,2682567.12257361
"31TGH1",3947526.42610437,2232939.24542453
"31TGJ1",3979309.01772639,2330110.52407741
"31TGJ2",3975890.01161311,2280351.57131779
"31TGK1",3986207.20621616,2429661.03513678
"31TGK2",3982748.2399667,2379880.37067276
"31TGL1",3993184.55663126,2529250.48280719
"31TGL2",3989685.83994551,2479451.59893591
"31TGM1",4014916.8253193,2628078.81298361
"31TGM2",4012330.06416035,2578215.3574151
"31TGN1",4020129.5494548,2727820.96964287
"31TGN2",4017516.60291257,2677947.50036504
"31UCP1",3630529.304938,2865086.49812548
"31UCP2",3625884.6358333,2815260.95392301
"31UCP3",3680265.54305432,2860294.31283515
"31UCP4",3675626.9490238,2810468.5019756
"31UCQ1",3631008.59524179,2965458.87584368
"31UCQ2",3625143.36247066,2915745.62444995
"31UCQ3",3689604.90237199,2959957.44602134
"31UCQ4",3684924.78528235,2910124.30659189
"31UCR2",3636900.04565513,3015173.33306431
"31UCR4",3694305.52779215,3009793.01083723
"31UCS1",3654011.7050077,3164418.962931
"31UCS2",3648237.21858362,3114684.01976857
"31UCS3",3708530.70279335,3159305.7387083
