Forest,Agriculture,Other,Area_Total,forest_sp,agriculture_sp,generalist_sp,Sp_Total
147070000,292150000,2050920000,2490140000,21,25,67,113
172980000,395020000,1630040000,2198040000,20,24,65,109
175890000,1257450000,1066660000,2500000000,26,28,69,123
619460000,781250000,1099290000,2500000000,23,24,60,107
565210000,517030000,1417760000,2500000000,26,27,73,126
248050000,1979790000,272160000,2500000000,21,29,61,111
991010000,445190000,1063800000,2500000000,20,26,67,113
597140000,1807380000,95480000,2500000000,21,29,70,120
469440000,1897980000,132580000,2500000000,23,30,65,118
597850000,1300620000,601530000,2500000000,22,26,68,116
719640000,1444340000,336020000,2500000000,22,28,72,122
1221380000,659120000,619500000,2500000000,24,21,58,103
1340190000,1046150000,113660000,2500000000,24,26,71,121
922150000,855170000,722680000,2500000000,21,25,67,113
1456990000,358370000,684640000,2500000000,25,20,59,104
148730000,854620000,1496650000,2500000000,25,31,73,129
845680000,604670000,1049650000,2500000000,28,26,72,126
414280000,744400000,1341320000,2500000000,25,29,76,130
439840000,1858190000,201970000,2500000000,22,28,67,117
466820000,1356390000,676790000,2500000000,28,29,74,131
380550000,2010980000,108470000,2500000000,18,28,67,113
122230000,1766120000,611650000,2500000000,31,36,76,143
786170000,983310000,730520000,2500000000,26,26,68,120
484080000,1091590000,924330000,2500000000,33,34,80,147
50250000,783370000,1666380000,2500000000,23,40,92,155
15130000,55280000,1668920000,1739330000,20,33,75,128
688730000,741300000,1069970000,2500000000,31,25,77,133
505860000,1099070000,895070000,2500000000,16,16,54,86
283010000,1637100000,579890000,2500000000,24,25,68,117
64010000,904160000,1531830000,2500000000,26,33,78,137
133870000,1985160000,380970000,2500000000,25,36,77,138
96380000,1353660000,1049960000,2500000000,27,34,79,140
219170000,163890000,1886850000,2269910000,11,16,46,73
462900000,289980000,1631840000,2384720000,16,19,59,94
594330000,1031150000,874520000,2500000000,21,16,50,87
1017820000,635340000,846840000,2500000000,24,18,54,96
748630000,529020000,1222350000,2500000000,21,20,68,109
616790000,665380000,1217830000,2500000000,24,21,65,110
602590000,694890000,1202520000,2500000000,23,26,68,117
445530000,474580000,1579890000,2500000000,26,25,78,129
771040000,1126010000,602950000,2500000000,17,24,61,102
993420000,751790000,754790000,2500000000,21,23,63,107
632550000,1133560000,733890000,2500000000,18,18,56,92
481470000,784390000,1234140000,2500000000,25,21,61,107
510000000,769190000,1220810000,2500000000,36,31,78,145
367300000,1209360000,923340000,2500000000,24,22,56,102
401060000,986000000,1112940000,2500000000,23,25,59,107
240340000,1373610000,886050000,2500000000,31,31,69,131
117380000,1164760000,1217860000,2500000000,33,32,83,148
