"cell50x50","Area_F","Area_A","Area_G","Area_U","Area_O","Spcs_F","Spcs_A","Spcs_O"
"29SMC3",121.960381954935,218.224990249516,26.5217803272054,467.440158337275,1667.8069792478,22,21,72
"29SMD3",160.203987965348,409.81489777693,3.16467065306128,56.5460963858308,1872.21119691545,16,21,58
"29SMD4",183.96716974105,1129.49831392782,41.0706756205406,162.481444355844,984.910030406902,21,21,66
"29SNB1",452.606882799648,693.962720035671,76.262154904323,13.2859163248429,1265.83433784425,22,26,60
"29SNB2",344.822176772795,410.884564484,46.7054512697624,68.6499473383382,1630.88907222028,23,28,69
"29SNB3",160.075174642513,1764.59866438064,121.442173214957,11.5242183547423,443.961057878592,19,29,69
"29SNC2",711.722621043126,493.247780451374,44.2960650240919,33.6176382052084,1219.06234219864,20,18,59
"29SNC3",216.884667995932,1824.56602999597,293.654655098241,25.6264864905945,140.910843580709,22,27,72
"29SNC4",316.24250889066,1796.2439158729,158.444692200277,28.6715129846742,202.004293843428,22,31,80
"29SND1",508.210303685689,1227.31987217462,24.3421858110951,165.996590077296,576.071859305418,23,25,74
"29SND2",638.638421064669,1424.27752961837,55.0244940171189,88.2442012027118,295.74297137036,23,27,76
"29SND3",699.902890303317,577.284537564334,9.31505382385259,46.3563255464801,1168.75064745665,23,16,64
"29SND4",1184.70567716393,1000.78281279953,42.2263250634779,10.4197413013107,263.548795741462,22,21,66
"29SNE2",891.855191439433,769.686246595146,23.8247355781381,131.155467913234,685.413957173395,17,23,64
"29SNE4",703.973497390589,342.034905309977,4.97592169265875,30.6317739400072,1420.02853265095,23,13,56
"29SPB2",127.589929529876,871.524504212499,41.5779366333222,38.9507046392587,1421.41212187905,19,27,71
"29SPB3",435.688694978354,643.436275191209,176.656105623176,13.565198420529,1230.75064730585,21,26,56
"29SPB4",259.385895565742,861.693798091443,50.2172049196108,79.9434813950126,1248.86187977843,23,31,78
"29SPC1",225.413179324792,1847.01469215217,147.011191390103,18.5605112335866,262.98204254559,21,27,73
"29SPC4",341.424428858784,1543.57560318052,103.056315537594,15.7644812951762,496.2925434006,23,25,73
"29SPD2",166.075981125579,1688.46567963148,480.304714589155,17.2266013499746,148.978753442588,16,26,67
"29SPD4",133.635859193129,1812.75231726015,276.308161650137,55.9005526577158,221.522236355367,30,30,84
"29SPE2",374.200137706735,950.671964966657,60.039611467374,26.8899436739341,1089.21190052729,22,24,67
"29SPE4",254.582562206739,1057.85125564959,320.278398529127,9.94245424724521,857.42969045337,26,28,73
"29SQA1",47.0235951864854,1137.25997329348,16.6703723723373,143.620137606839,2022.86105756586,23,40,92
"29SQA2",46.9355966934419,276.584410559508,37.1063087799203,101.668895956577,2980.20623562401,17,27,70
"29SQB1",756.036468204162,1002.21682280485,123.881802029976,32.1529088300613,1311.21932104407,24,28,73
"29TNH4",899.100252880646,955.646061625558,19.9731499737836,13.5144681935218,613.405589478862,17,17,54
"29SQC2",406.946017668646,1903.75781175559,376.756878044674,16.8270600146806,440.849058704141,24,26,67
"29SQD1",105.981512584748,1073.16610831589,1096.31378485506,35.5030600166475,588.040588004281,25,30,76
