"Forest","Agriculture","Urban","Grassland","Other","Area_Total","forest_sp","agriculture_sp","generalist_sp","Sp_Total"
124760000,247110000,482870000,31740000,1603660000,2490140000,25,17,64,106
145150000,388660000,58290000,3180000,1602760000,2198040000,22,15,52,89
181440000,1195730000,162710000,39290000,920830000,2.5e+09,23,15,60,98
477670000,685220000,10270000,72720000,1254120000,2.5e+09,25,17,58,100
346850000,449720000,70750000,50290000,1582390000,2.5e+09,25,20,69,114
167350000,1758200000,10530000,122360000,441560000,2.5e+09,26,21,64,111
696300000,498280000,40750000,46400000,1218270000,2.5e+09,20,16,52,88
200940000,1827710000,27910000,304620000,138820000,2.5e+09,25,21,65,111
309660000,1837590000,28830000,141160000,182760000,2.5e+09,28,24,71,123
507050000,1229450000,158270000,25780000,579450000,2.5e+09,24,20,68,112
610450000,1457110000,87300000,48260000,296880000,2.5e+09,27,19,70,116
690250000,557200000,47570000,8320000,1196660000,2.5e+09,22,14,57,93
1195260000,1019350000,10850000,29500000,245040000,2.5e+09,25,18,57,100
867320000,811630000,143720000,24960000,652370000,2.5e+09,22,15,57,94
727390000,344930000,25010000,5970000,1396700000,2.5e+09,22,12,46,80
122960000,800110000,38120000,52260000,1486550000,2.5e+09,29,21,66,116
428910000,710430000,11440000,174900000,1174320000,2.5e+09,22,16,55,93
268670000,836450000,80530000,47660000,1266690000,2.5e+09,30,28,69,127
247410000,1806490000,18310000,165970000,261820000,2.5e+09,27,24,62,113
380690000,1471040000,13210000,100790000,534270000,2.5e+09,28,22,64,114
168510000,1698900000,17780000,476480000,138330000,2.5e+09,22,20,59,101
123410000,1844420000,55760000,274740000,201670000,2.5e+09,31,27,77,135
367440000,968540000,27860000,57290000,1078870000,2.5e+09,25,20,61,106
267670000,1074310000,8220000,328670000,821130000,2.5e+09,26,24,71,121
39860000,768310000,119400000,15700000,1556730000,2.5e+09,35,35,85,155
15690000,31970000,80750000,5970000,1604950000,1739330000,27,24,60,111
572660000,767310000,23970000,88810000,1047250000,2.5e+09,28,23,66,117
