"cell50x50","deltaT"
"29SMC3",0.499786315820156
"29SMD3",0.457900857025722
"29SMD4",0.484163014234695
"29SME4",0.447916030883789
"29SNA1",0.525693893432617
"29SNA3",0.512238740921021
"29SNB1",0.500473533977162
"29SNB2",0.504726770545254
"29SNB3",0.498324574290456
"29SNB4",0.498711105730894
"29SNC1",0.477128892049302
"29SNC2",0.486496907693368
"29SNC3",0.464583263397217
"29SNC4",0.484194949157256
"29SND1",0.453639042841924
"29SND2",0.474594122403628
"29SND3",0.448214208924925
"29SND4",0.460349045790635
"29SNE2",0.438675580705915
"29SNE4",0.431466406041926
"29SPA1",0.499583435058594
"29SPB1",0.493176645880578
"29SPB2",0.500657927721067
"29SPB3",0.483408282986648
"29SPB4",0.497145881652832
"29SPC1",0.466579801506466
"29SPC2",0.477140860721983
"29SPC3",0.466599043313559
"29SPC4",0.470995667692903
"29SPD1",0.441639559609549
"29SPD2",0.461288271386639
"29SPD3",0.43383342107137
"29SPD4",0.444351305097542
"29SPE2",0.425653594771242
"29SPE4",0.421411924892002
"29SQA1",0.483845108433774
"29SQA2",0.495694478352865
"29SQB1",0.479263335159144
"29TNH4",0.482886921275746
"29SQB2",0.478993018468221
"29SQC1",0.460292769767143
"29SQC2",0.471501839989647
"29SQD1",0.418725604899445
"29SQD2",0.422061699663283
"29SQE2",0.421981524337422
"29TMH3",0.477560818195343
"29TMH4",0.482891400655111
"29TNE1",0.447462099248713
"29TNE3",0.432781528952895
"29TNF1",0.458865684933133
"29TNF2",0.451781411101853
"29TNF3",0.460277782786976
"29TNF4",0.442587871940768
"29TNG1",0.486496445036283
"29TNG2",0.47942277251697
"29TNG3",0.498682766575967
"29TNG4",0.477689425150553
"29TNH1",0.466258396973481
"29TNH2",0.485054318208872
"29TNH3",0.468318912900727
"29TNJ2",0.459821428571429
"29TNJ4",0.457341315254333
"29TPE1",0.425636519988378
"29TPE3",0.425936185860936
"29TPF1",0.469399359319117
"29TPF2",0.443413521192089
"29TPF3",0.479892490756127
"29TPF4",0.450324677801751
"29TPG1",0.525762188725355
"29TPG2",0.504261382214435
"29TPG3",0.532233794530233
"29TPG4",0.527893478487745
"29TPH1",0.464334391947812
"29TPH2",0.478476852770673
"29TPH3",0.476944417664499
"29TPH4",0.507479244137403
"29TPJ2",0.465917982161045
"29TPJ4",0.47250954858188
"29TQE1",0.434898912553957
"29TQF1",0.491773544213711
"29TQF2",0.468055580601548
"29TQG1",0.533184556217937
"29TQG2",0.529110302796235
"29TQH1",0.49063227726863
"29TQH2",0.520634920418668
"29TQJ2",0.489899719817729
"29ULT3",0.311111450195312
"29UMA2",0.305184164712595
"29UMA4",0.301890989450308
"29UMS1",0.306250095367432
"29UMT1",0.282232121058873
"29UMT2",0.288364851249839
"29UMT3",0.284322022044726
"29UMT4",0.288431375166949
"29UMU2",0.272010844686757
"29UMU3",0.283418694480521
"29UMU4",0.276265728858209
"29UMV1",0.306138877868652
"29UMV2",0.290872023277676
"29UMV3",0.309220103728466
"29UMV4",0.293129237011226
"29UNA1",0.358165919780731
"29UNA2",0.320872684694686
"29UNA3",0.37908331155777
"29UNA4",0.349268345716523
"29UNB4",0.401751492930725
"29UNT1",0.286711396470582
