"cellID","Forest_t0","Agriculture_t0","Urban_t0","Grassland_t0","Other_t0","Area_Total_t0","forest_sp_t0","agriculture_sp_t0","generalist_sp_t0","Sp_Total_t0","Forest_t1","Agriculture_t1","Urban_t1","Grassland_t1","Other_t1","Area_Total_t1","forest_sp_t1","agriculture_sp_t1","generalist_sp_t1","Sp_Total_t1","deltaT","deltaS_F","deltaS_A","deltaS_O"
"size_1_327",131490000,0,3490000,151890000,2213130000,2.5e+09,36,23,60,119,131490000,0,3490000,151890000,2213130000,2.5e+09,11,24,48,83,0.5,-25,1,-12
"size_1_328",359220000,83220000,20500000,270890000,1766170000,2.5e+09,34,22,53,109,359220000,83220000,20500000,270890000,1766170000,2.5e+09,15,22,58,95,0.5,-19,0,5
"size_1_329",145390000,34300000,22210000,548360000,1749740000,2.5e+09,37,20,53,110,145390000,34300000,22210000,548360000,1749740000,2.5e+09,15,30,55,100,0.5,-22,10,2
"size_1_330",7750000,3280000,2230000,33920000,2248260000,2295440000,32,21,52,105,7750000,3280000,2230000,33920000,2248260000,2295440000,9,10,41,60,0.5,-23,-11,-11
"size_1_331",0,38070000,3070000,2.2e+08,2161480000,2422620000,32,20,50,102,0,38070000,3070000,2.2e+08,2161480000,2422620000,8,25,44,77,0.5,-24,5,-6
"size_1_332",711110000,1279340000,33400000,4710000,471440000,2.5e+09,34,27,67,128,711110000,1279340000,33400000,4710000,471440000,2.5e+09,19,16,62,97,0.5,-15,-11,-5
"size_1_333",129530000,739350000,41840000,185650000,1399890000,2496260000,35,31,71,137,129530000,739350000,41840000,185650000,1399890000,2496260000,24,19,71,114,0.5,-11,-12,0
"size_1_334",493660000,1299530000,13120000,23510000,670180000,2.5e+09,36,30,72,138,493660000,1299530000,13120000,23510000,670180000,2.5e+09,26,16,76,118,0.5,-10,-14,4
"size_1_335",807600000,1062060000,23650000,71580000,535110000,2.5e+09,32,29,73,134,807600000,1062060000,23650000,71580000,535110000,2.5e+09,24,18,67,109,0.5,-8,-11,-6
"size_1_336",994020000,711370000,11200000,26800000,756610000,2.5e+09,34,35,74,143,994020000,711370000,11200000,26800000,756610000,2.5e+09,26,16,69,111,0.5,-8,-19,-5
"size_1_337",131970000,2088700000,48830000,30870000,199630000,2.5e+09,38,33,78,149,131970000,2088700000,48830000,30870000,199630000,2.5e+09,29,19,82,130,0.5,-9,-14,4
"size_1_338",865650000,793500000,114710000,538730000,187410000,2.5e+09,31,35,62,128,865650000,793500000,114710000,538730000,187410000,2.5e+09,21,16,67,104,0.5,-10,-19,5
"size_1_339",949140000,55470000,12930000,607540000,874920000,2.5e+09,31,35,71,137,949140000,55470000,12930000,607540000,874920000,2.5e+09,18,16,54,88,0.5,-13,-19,-17
"size_1_340",531340000,1722430000,37100000,82560000,126570000,2.5e+09,28,23,49,100,531340000,1722430000,37100000,82560000,126570000,2.5e+09,20,13,48,81,0.5,-8,-10,-1
"size_1_341",336210000,1866370000,44430000,241010000,11980000,2.5e+09,26,22,42,90,336210000,1866370000,44430000,241010000,11980000,2.5e+09,18,12,50,80,0.5,-8,-10,8
"size_1_342",764230000,1392840000,112940000,184720000,45270000,2.5e+09,31,24,54,109,764230000,1392840000,112940000,184720000,45270000,2.5e+09,20,14,52,86,0.5,-11,-10,-2
"size_1_343",470920000,1731240000,90780000,113880000,93180000,2.5e+09,27,20,49,96,470920000,1731240000,90780000,113880000,93180000,2.5e+09,19,17,49,85,0.5,-8,-3,0
"size_1_344",517270000,1550340000,170310000,236090000,25990000,2.5e+09,40,31,65,136,517270000,1550340000,170310000,236090000,25990000,2.5e+09,19,17,65,101,0.5,-21,-14,0
"size_1_345",789830000,1481470000,36500000,154450000,37750000,2.5e+09,33,25,52,110,789830000,1481470000,36500000,154450000,37750000,2.5e+09,19,14,53,86,0.5,-14,-11,1
"size_1_346",681520000,1301950000,65870000,16070000,434590000,2.5e+09,35,29,69,133,681520000,1301950000,65870000,16070000,434590000,2.5e+09,22,20,66,108,0.5,-13,-9,-3
"size_1_347",1840000,266140000,12480000,3240000,1761500000,2045200000,40,30,85,155,1840000,266140000,12480000,3240000,1761500000,2045200000,28,22,76,126,0.5,-12,-8,-9
"size_1_348",563220000,986670000,171650000,8070000,770390000,2.5e+09,33,26,60,119,563220000,986670000,171650000,8070000,770390000,2.5e+09,22,13,62,97,0.5,-11,-13,2
"size_1_349",1126160000,349890000,4110000,132750000,887090000,2.5e+09,37,35,76,148,1126160000,349890000,4110000,132750000,887090000,2.5e+09,22,18,65,105,0.5,-15,-17,-11
"size_1_350",2.44e+08,1854860000,55290000,10920000,334930000,2.5e+09,38,32,69,139,2.44e+08,1854860000,55290000,10920000,334930000,2.5e+09,25,23,79,127,0.5,-13,-9,10
"size_1_351",1721220000,197960000,11780000,130530000,438510000,2.5e+09,32,36,69,137,1721220000,197960000,11780000,130530000,438510000,2.5e+09,20,16,63,99,0.5,-12,-20,-6
"size_1_352",957550000,948090000,80160000,477100000,37100000,2.5e+09,33,35,68,136,957550000,948090000,80160000,477100000,37100000,2.5e+09,22,14,68,104,0.5,-11,-21,0
"size_1_353",931620000,26290000,11960000,707870000,822260000,2.5e+09,33,35,69,137,931620000,26290000,11960000,707870000,822260000,2.5e+09,15,12,56,83,0.5,-18,-23,-13
"size_1_354",732680000,1200480000,69520000,435950000,61370000,2.5e+09,34,35,67,136,732680000,1200480000,69520000,435950000,61370000,2.5e+09,20,18,66,104,0.5,-14,-17,-1
"size_1_355",884480000,51110000,12670000,435330000,1116410000,2.5e+09,31,33,67,131,884480000,51110000,12670000,435330000,1116410000,2.5e+09,18,12,57,87,0.5,-13,-21,-10
"size_1_356",153900000,2138810000,98740000,77080000,31470000,2.5e+09,33,26,56,115,153900000,2138810000,98740000,77080000,31470000,2.5e+09,21,16,54,91,0.5,-12,-10,-2
"size_1_357",167320000,2098450000,51010000,164630000,18590000,2.5e+09,28,24,49,101,167320000,2098450000,51010000,164630000,18590000,2.5e+09,19,13,53,85,0.5,-9,-11,4
"size_1_358",421940000,1754020000,144530000,127700000,51810000,2.5e+09,32,32,64,128,421940000,1754020000,144530000,127700000,51810000,2.5e+09,20,16,63,99,0.5,-12,-16,-1
"size_1_359",157450000,1767660000,496650000,27670000,50570000,2.5e+09,32,29,51,112,157450000,1767660000,496650000,27670000,50570000,2.5e+09,23,17,64,104,0.5,-9,-12,13
"size_1_360",1137430000,977240000,55320000,289190000,40820000,2.5e+09,32,25,58,115,1137430000,977240000,55320000,289190000,40820000,2.5e+09,17,15,61,93,0.5,-15,-10,3
"size_1_361",484850000,1692100000,80640000,215260000,27150000,2.5e+09,30,22,48,100,484850000,1692100000,80640000,215260000,27150000,2.5e+09,19,13,54,86,0.5,-11,-9,6
"size_1_362",1105730000,789050000,73710000,439220000,92290000,2.5e+09,36,27,66,129,1105730000,789050000,73710000,439220000,92290000,2.5e+09,17,15,58,90,0.5,-19,-12,-8
"size_1_363",1036870000,868640000,44720000,337870000,211900000,2.5e+09,30,27,58,115,1036870000,868640000,44720000,337870000,211900000,2.5e+09,18,13,50,81,0.5,-12,-14,-8
"size_1_364",716470000,815380000,68290000,870900000,28960000,2.5e+09,39,27,66,132,716470000,815380000,68290000,870900000,28960000,2.5e+09,19,15,57,91,0.5,-20,-12,-9
"size_1_365",1114930000,1010740000,89400000,236140000,48790000,2.5e+09,32,24,53,109,1114930000,1010740000,89400000,236140000,48790000,2.5e+09,17,13,50,80,0.5,-15,-11,-3
"size_1_366",793600000,599960000,155520000,905490000,45430000,2.5e+09,35,26,64,125,793600000,599960000,155520000,905490000,45430000,2.5e+09,17,16,60,93,0.5,-18,-10,-4
"size_1_367",654540000,1005430000,89090000,732270000,18670000,2.5e+09,35,24,62,121,654540000,1005430000,89090000,732270000,18670000,2.5e+09,19,14,60,93,0.5,-16,-10,-2
"size_1_368",565280000,1669170000,96820000,135630000,33100000,2.5e+09,38,29,67,134,565280000,1669170000,96820000,135630000,33100000,2.5e+09,21,20,69,110,0.5,-17,-9,2
"size_1_369",277820000,1228390000,4.1e+07,916120000,36670000,2.5e+09,37,27,60,124,277820000,1228390000,4.1e+07,916120000,36670000,2.5e+09,22,19,73,114,0.5,-15,-8,13
"size_1_370",548580000,1160240000,49630000,627010000,114540000,2.5e+09,43,33,79,155,548580000,1160240000,49630000,627010000,114540000,2.5e+09,21,24,76,121,0.5,-22,-9,-3
"size_1_371",361210000,931060000,37930000,1148710000,21090000,2.5e+09,38,28,64,130,361210000,931060000,37930000,1148710000,21090000,2.5e+09,18,17,59,94,0.5,-20,-11,-5
"size_1_372",520100000,1472350000,149730000,314330000,43490000,2.5e+09,38,30,70,138,520100000,1472350000,149730000,314330000,43490000,2.5e+09,19,20,65,104,0.5,-19,-10,-5
"size_1_373",491950000,1589620000,163760000,190850000,63820000,2.5e+09,38,28,63,129,491950000,1589620000,163760000,190850000,63820000,2.5e+09,22,21,66,109,0.5,-16,-7,3
"size_1_374",649440000,1607040000,145300000,55390000,42830000,2.5e+09,39,31,71,141,649440000,1607040000,145300000,55390000,42830000,2.5e+09,22,21,72,115,0.5,-17,-10,1
"size_1_375",564230000,1668670000,57140000,193710000,16250000,2.5e+09,40,30,69,139,564230000,1668670000,57140000,193710000,16250000,2.5e+09,21,19,73,113,0.5,-19,-11,4
"size_1_376",340400000,171910000,420840000,16590000,1523120000,2472860000,36,30,73,139,340400000,171910000,420840000,16590000,1523120000,2472860000,26,19,67,112,0.5,-10,-11,-6
"size_1_377",1495910000,280100000,39950000,214640000,469400000,2.5e+09,35,40,73,148,1495910000,280100000,39950000,214640000,469400000,2.5e+09,25,14,68,107,0.5,-10,-26,-5
"size_1_378",1034420000,410180000,28620000,693170000,333610000,2.5e+09,36,36,81,153,1034420000,410180000,28620000,693170000,333610000,2.5e+09,20,15,64,99,0.5,-16,-21,-17
"size_1_379",1328510000,614660000,238020000,16290000,302520000,2.5e+09,33,31,65,129,1328510000,614660000,238020000,16290000,302520000,2.5e+09,22,14,59,95,0.5,-11,-17,-6
"size_1_380",1674820000,557190000,57490000,41580000,168920000,2.5e+09,37,34,82,153,1674820000,557190000,57490000,41580000,168920000,2.5e+09,24,17,64,105,0.5,-13,-17,-18
"size_1_381",1425120000,315340000,181100000,9180000,569260000,2.5e+09,35,31,70,136,1425120000,315340000,181100000,9180000,569260000,2.5e+09,23,14,60,97,0.5,-12,-17,-10
"size_1_382",699210000,1373170000,84180000,204180000,139260000,2.5e+09,33,30,68,131,699210000,1373170000,84180000,204180000,139260000,2.5e+09,22,17,64,103,0.5,-11,-13,-4
"size_1_383",1284700000,154460000,29740000,529610000,501490000,2.5e+09,33,37,67,137,1284700000,154460000,29740000,529610000,501490000,2.5e+09,21,15,62,98,0.5,-12,-22,-5
"size_1_384",515710000,1155830000,84150000,71530000,672780000,2.5e+09,36,36,75,147,515710000,1155830000,84150000,71530000,672780000,2.5e+09,31,20,76,127,0.5,-5,-16,1
"size_1_385",682640000,898420000,157970000,105470000,655500000,2.5e+09,40,43,92,175,682640000,898420000,157970000,105470000,655500000,2.5e+09,31,23,78,132,0.5,-9,-20,-14
"size_1_386",564530000,1500100000,89600000,310650000,35120000,2.5e+09,34,28,63,125,564530000,1500100000,89600000,310650000,35120000,2.5e+09,18,15,61,94,0.5,-16,-13,-2
"size_1_387",541690000,1599820000,114280000,210490000,33720000,2.5e+09,33,31,62,126,541690000,1599820000,114280000,210490000,33720000,2.5e+09,20,18,64,102,0.5,-13,-13,2
"size_1_388",731760000,1259680000,22700000,408540000,77320000,2.5e+09,33,29,64,126,731760000,1259680000,22700000,408540000,77320000,2.5e+09,21,15,60,96,0.5,-12,-14,-4
"size_1_389",1481660000,350130000,23840000,417770000,226600000,2.5e+09,33,31,66,130,1481660000,350130000,23840000,417770000,226600000,2.5e+09,19,13,55,87,0.5,-14,-18,-11
"size_1_390",1013620000,537770000,43130000,866940000,38540000,2.5e+09,32,23,57,112,1013620000,537770000,43130000,866940000,38540000,2.5e+09,17,15,53,85,0.5,-15,-8,-4
"size_1_391",700850000,1025500000,57090000,632500000,84060000,2.5e+09,32,26,62,120,700850000,1025500000,57090000,632500000,84060000,2.5e+09,19,15,59,93,0.5,-13,-11,-3
"size_1_392",639070000,467750000,47960000,1270700000,74520000,2.5e+09,33,27,64,124,639070000,467750000,47960000,1270700000,74520000,2.5e+09,17,15,62,94,0.5,-16,-12,-2
"size_1_393",7.03e+08,737600000,65240000,939280000,54880000,2.5e+09,34,29,58,121,7.03e+08,737600000,65240000,939280000,54880000,2.5e+09,19,13,56,88,0.5,-15,-16,-2
"size_1_394",1211450000,313360000,23840000,766950000,184400000,2.5e+09,36,28,66,130,1211450000,313360000,23840000,766950000,184400000,2.5e+09,16,18,55,89,0.5,-20,-10,-11
"size_1_395",1410360000,250770000,49860000,686980000,102030000,2.5e+09,33,29,60,122,1410360000,250770000,49860000,686980000,102030000,2.5e+09,16,16,58,90,0.5,-17,-13,-2
"size_1_396",804090000,519320000,40240000,1087760000,48590000,2.5e+09,33,29,62,124,804090000,519320000,40240000,1087760000,48590000,2.5e+09,18,18,57,93,0.5,-15,-11,-5
"size_1_397",670770000,223410000,32170000,1.508e+09,65650000,2.5e+09,33,30,57,120,670770000,223410000,32170000,1.508e+09,65650000,2.5e+09,16,19,61,96,0.5,-17,-11,4
"size_1_398",339740000,1327600000,75360000,734590000,22710000,2.5e+09,39,29,67,135,339740000,1327600000,75360000,734590000,22710000,2.5e+09,21,19,67,107,0.5,-18,-10,0
"size_1_399",458270000,8.59e+08,43740000,1125620000,13370000,2.5e+09,40,32,73,145,458270000,8.59e+08,43740000,1125620000,13370000,2.5e+09,18,20,70,108,0.5,-22,-12,-3
"size_1_400",472460000,935810000,4.9e+07,1008310000,34420000,2.5e+09,37,30,69,136,472460000,935810000,4.9e+07,1008310000,34420000,2.5e+09,19,20,70,109,0.5,-18,-10,1
"size_1_401",353230000,697750000,88560000,1340760000,19700000,2.5e+09,39,34,70,143,353230000,697750000,88560000,1340760000,19700000,2.5e+09,17,18,64,99,0.5,-22,-16,-6
"size_1_402",1450670000,812020000,84340000,96840000,56130000,2.5e+09,40,31,78,149,1450670000,812020000,84340000,96840000,56130000,2.5e+09,22,22,70,114,0.5,-18,-9,-8
"size_1_403",772680000,1444500000,104580000,137210000,41030000,2.5e+09,39,29,62,130,772680000,1444500000,104580000,137210000,41030000,2.5e+09,18,19,72,109,0.5,-21,-10,10
"size_1_404",715870000,1274080000,82440000,375020000,52590000,2.5e+09,40,32,74,146,715870000,1274080000,82440000,375020000,52590000,2.5e+09,23,21,71,115,0.5,-17,-11,-3
"size_1_405",433540000,1533630000,111800000,382070000,38960000,2.5e+09,37,27,62,126,433540000,1533630000,111800000,382070000,38960000,2.5e+09,24,21,69,114,0.5,-13,-6,7
"size_1_406",43270000,382630000,49220000,5180000,1882080000,2362380000,37,34,83,154,43270000,382630000,49220000,5180000,1882080000,2362380000,27,17,72,116,0.5,-10,-17,-11
"size_1_407",18990000,461990000,106260000,18850000,1615370000,2221460000,36,32,74,142,18990000,461990000,106260000,18850000,1615370000,2221460000,29,23,72,124,0.5,-7,-9,-2
"size_1_408",748800000,1132880000,119810000,93290000,405220000,2.5e+09,39,37,80,156,748800000,1132880000,119810000,93290000,405220000,2.5e+09,27,20,73,120,0.5,-12,-17,-7
"size_1_409",1215140000,620990000,119360000,134390000,410120000,2.5e+09,37,34,76,147,1215140000,620990000,119360000,134390000,410120000,2.5e+09,21,14,62,97,0.5,-16,-20,-14
"size_1_410",181810000,675690000,273260000,58870000,1310370000,2.5e+09,43,33,82,158,181810000,675690000,273260000,58870000,1310370000,2.5e+09,31,21,78,130,0.5,-12,-12,-4
"size_1_411",911590000,516830000,26780000,872370000,172430000,2.5e+09,37,31,67,135,911590000,516830000,26780000,872370000,172430000,2.5e+09,18,18,60,96,0.5,-19,-13,-7
"size_1_412",961840000,449860000,29640000,817270000,241390000,2.5e+09,39,34,72,145,961840000,449860000,29640000,817270000,241390000,2.5e+09,20,17,70,107,0.5,-19,-17,-2
"size_1_413",827450000,493930000,57540000,965210000,155870000,2.5e+09,38,30,70,138,827450000,493930000,57540000,965210000,155870000,2.5e+09,19,22,62,103,0.5,-19,-8,-8
"size_1_414",1486890000,184370000,27660000,297190000,503890000,2.5e+09,38,33,69,140,1486890000,184370000,27660000,297190000,503890000,2.5e+09,19,14,58,91,0.5,-19,-19,-11
"size_1_415",609670000,1065450000,244060000,529690000,51130000,2.5e+09,40,32,71,143,609670000,1065450000,244060000,529690000,51130000,2.5e+09,20,20,68,108,0.5,-20,-12,-3
"size_1_416",1054540000,604890000,57780000,686470000,96320000,2.5e+09,40,33,67,140,1054540000,604890000,57780000,686470000,96320000,2.5e+09,21,19,63,103,0.5,-19,-14,-4
"size_1_417",858520000,401040000,116290000,1027980000,96170000,2.5e+09,38,35,80,153,858520000,401040000,116290000,1027980000,96170000,2.5e+09,24,24,82,130,0.5,-14,-11,2
"size_1_418",1132360000,562260000,100530000,642580000,62270000,2.5e+09,37,29,69,135,1132360000,562260000,100530000,642580000,62270000,2.5e+09,24,22,72,118,0.5,-13,-7,3
"size_1_419",527640000,643190000,75970000,1193210000,59990000,2.5e+09,36,32,73,141,527640000,643190000,75970000,1193210000,59990000,2.5e+09,19,21,70,110,0.5,-17,-11,-3
"size_1_420",342880000,953820000,104120000,1061340000,37840000,2.5e+09,39,33,69,141,342880000,953820000,104120000,1061340000,37840000,2.5e+09,19,18,66,103,0.5,-20,-15,-3
"size_1_421",546480000,417540000,60400000,1448290000,27290000,2.5e+09,37,30,73,140,546480000,417540000,60400000,1448290000,27290000,2.5e+09,17,19,66,102,0.5,-20,-11,-7
"size_1_422",372200000,387170000,88670000,1627100000,24860000,2.5e+09,34,26,62,122,372200000,387170000,88670000,1627100000,24860000,2.5e+09,19,20,75,114,0.5,-15,-6,13
"size_1_423",767680000,1359990000,74110000,286410000,11810000,2.5e+09,40,29,73,142,767680000,1359990000,74110000,286410000,11810000,2.5e+09,19,16,62,97,0.5,-21,-13,-11
"size_1_424",830650000,802460000,72450000,743930000,50510000,2.5e+09,38,29,69,136,830650000,802460000,72450000,743930000,50510000,2.5e+09,20,21,69,110,0.5,-18,-8,0
"size_1_425",824530000,1164690000,47270000,439550000,23960000,2.5e+09,36,27,62,125,824530000,1164690000,47270000,439550000,23960000,2.5e+09,18,18,62,98,0.5,-18,-9,0
"size_1_426",1133620000,216710000,25750000,1083790000,40130000,2.5e+09,36,25,68,129,1133620000,216710000,25750000,1083790000,40130000,2.5e+09,15,18,59,92,0.5,-21,-7,-9
"size_1_427",685490000,1198510000,279240000,31020000,305740000,2.5e+09,34,32,74,140,685490000,1198510000,279240000,31020000,305740000,2.5e+09,23,18,61,102,0.5,-11,-14,-13
"size_1_428",74270000,993400000,97180000,188850000,1146300000,2.5e+09,39,35,89,163,74270000,993400000,97180000,188850000,1146300000,2.5e+09,32,25,83,140,0.5,-7,-10,-6
"size_1_429",835800000,1209310000,168580000,47690000,238620000,2.5e+09,38,37,85,160,835800000,1209310000,168580000,47690000,238620000,2.5e+09,24,19,62,105,0.5,-14,-18,-23
"size_1_430",330160000,666530000,420650000,208060000,874600000,2.5e+09,38,31,77,146,330160000,666530000,420650000,208060000,874600000,2.5e+09,31,23,79,133,0.5,-7,-8,2
"size_1_431",1241600000,546590000,115960000,455220000,140630000,2.5e+09,39,32,73,144,1241600000,546590000,115960000,455220000,140630000,2.5e+09,22,20,63,105,0.5,-17,-12,-10
"size_1_432",998590000,845720000,159300000,210790000,285600000,2.5e+09,38,32,75,145,998590000,845720000,159300000,210790000,285600000,2.5e+09,23,18,65,106,0.5,-15,-14,-10
"size_1_433",1133300000,848930000,99860000,243320000,174590000,2.5e+09,35,40,82,157,1133300000,848930000,99860000,243320000,174590000,2.5e+09,25,20,74,119,0.5,-10,-20,-8
"size_1_434",1144530000,867030000,32360000,113580000,342500000,2.5e+09,35,35,74,144,1144530000,867030000,32360000,113580000,342500000,2.5e+09,23,18,63,104,0.5,-12,-17,-11
"size_1_435",414870000,871720000,472680000,689460000,51270000,2.5e+09,39,35,72,146,414870000,871720000,472680000,689460000,51270000,2.5e+09,22,23,79,124,0.5,-17,-12,7
"size_1_436",849420000,788760000,301210000,475610000,8.5e+07,2.5e+09,35,31,65,131,849420000,788760000,301210000,475610000,8.5e+07,2.5e+09,20,19,65,104,0.5,-15,-12,0
"size_1_437",612710000,1217910000,329110000,187590000,152680000,2.5e+09,42,41,85,168,612710000,1217910000,329110000,187590000,152680000,2.5e+09,26,25,90,141,0.5,-16,-16,5
"size_1_438",691430000,1321580000,158210000,300820000,27960000,2.5e+09,37,34,71,142,691430000,1321580000,158210000,300820000,27960000,2.5e+09,22,19,73,114,0.5,-15,-15,2
"size_1_439",593710000,706560000,182470000,963130000,54130000,2.5e+09,39,32,74,145,593710000,706560000,182470000,963130000,54130000,2.5e+09,21,23,75,119,0.5,-18,-9,1
"size_1_440",668950000,804020000,142250000,849070000,35710000,2.5e+09,37,31,64,132,668950000,804020000,142250000,849070000,35710000,2.5e+09,21,23,77,121,0.5,-16,-8,13
"size_1_441",583440000,1240690000,122670000,512350000,40850000,2.5e+09,39,34,78,151,583440000,1240690000,122670000,512350000,40850000,2.5e+09,22,20,73,115,0.5,-17,-14,-5
"size_1_442",693850000,1020110000,133240000,554020000,98780000,2.5e+09,38,37,79,154,693850000,1020110000,133240000,554020000,98780000,2.5e+09,25,25,86,136,0.5,-13,-12,7
"size_1_443",1069750000,1034570000,34500000,341980000,19200000,2.5e+09,35,29,64,128,1069750000,1034570000,34500000,341980000,19200000,2.5e+09,15,16,58,89,0.5,-20,-13,-6
"size_1_444",790170000,780640000,79390000,810400000,39400000,2.5e+09,36,30,66,132,790170000,780640000,79390000,810400000,39400000,2.5e+09,18,18,66,102,0.5,-18,-12,0
"size_1_445",873390000,1148750000,75230000,374210000,28420000,2.5e+09,37,29,64,130,873390000,1148750000,75230000,374210000,28420000,2.5e+09,19,19,64,102,0.5,-18,-10,0
"size_1_446",712680000,1262280000,228100000,206680000,90260000,2.5e+09,37,30,68,135,712680000,1262280000,228100000,206680000,90260000,2.5e+09,21,24,78,123,0.5,-16,-6,10
"size_1_447",94730000,35600000,161550000,1330000,1879030000,2172240000,31,25,64,120,94730000,35600000,161550000,1330000,1879030000,2172240000,21,13,54,88,0.5,-10,-12,-10
"size_1_448",1120260000,799420000,69410000,131350000,379560000,2.5e+09,37,42,83,162,1120260000,799420000,69410000,131350000,379560000,2.5e+09,25,18,64,107,0.5,-12,-24,-19
"size_1_449",1151500000,661670000,224980000,13800000,448050000,2.5e+09,35,33,82,150,1151500000,661670000,224980000,13800000,448050000,2.5e+09,24,19,70,113,0.5,-11,-14,-12
"size_1_450",1195970000,261440000,51140000,544690000,446760000,2.5e+09,35,40,74,149,1195970000,261440000,51140000,544690000,446760000,2.5e+09,23,18,63,104,0.5,-12,-22,-11
"size_1_451",1156930000,546160000,22260000,216690000,557960000,2.5e+09,33,40,76,149,1156930000,546160000,22260000,216690000,557960000,2.5e+09,25,19,63,107,0.5,-8,-21,-13
"size_1_452",1087380000,762680000,182130000,344700000,123110000,2.5e+09,40,39,78,157,1087380000,762680000,182130000,344700000,123110000,2.5e+09,21,23,75,119,0.5,-19,-16,-3
"size_1_453",1126870000,563680000,261680000,367010000,180760000,2.5e+09,38,40,75,153,1126870000,563680000,261680000,367010000,180760000,2.5e+09,24,17,65,106,0.5,-14,-23,-10
"size_1_454",1324310000,398270000,77300000,594570000,105550000,2.5e+09,39,36,76,151,1324310000,398270000,77300000,594570000,105550000,2.5e+09,21,22,74,117,0.5,-18,-14,-2
"size_1_455",1097080000,576280000,288350000,396830000,141460000,2.5e+09,38,32,78,148,1097080000,576280000,288350000,396830000,141460000,2.5e+09,24,22,74,120,0.5,-14,-10,-4
"size_1_456",973480000,914980000,83370000,478040000,50130000,2.5e+09,38,29,69,136,973480000,914980000,83370000,478040000,50130000,2.5e+09,20,18,69,107,0.5,-18,-11,0
"size_1_457",1092550000,743160000,164050000,464870000,35370000,2.5e+09,37,32,68,137,1092550000,743160000,164050000,464870000,35370000,2.5e+09,22,22,74,118,0.5,-15,-10,6
"size_1_458",418530000,1222930000,52240000,795260000,11040000,2.5e+09,37,29,62,128,418530000,1222930000,52240000,795260000,11040000,2.5e+09,14,17,58,89,0.5,-23,-12,-4
"size_1_459",403310000,1364070000,75570000,647620000,9430000,2.5e+09,37,30,60,127,403310000,1364070000,75570000,647620000,9430000,2.5e+09,19,18,62,99,0.5,-18,-12,2
"size_1_460",345260000,1926680000,149140000,64620000,14300000,2.5e+09,37,30,59,126,345260000,1926680000,149140000,64620000,14300000,2.5e+09,17,18,57,92,0.5,-20,-12,-2
"size_1_461",252770000,2112530000,57450000,61410000,15840000,2.5e+09,34,28,59,121,252770000,2112530000,57450000,61410000,15840000,2.5e+09,17,20,58,95,0.5,-17,-8,-1
"size_1_462",357620000,1020320000,222460000,752980000,146620000,2.5e+09,43,32,80,155,357620000,1020320000,222460000,752980000,146620000,2.5e+09,20,23,73,116,0.5,-23,-9,-7
"size_1_463",431130000,980800000,73890000,1004750000,9430000,2.5e+09,34,29,57,120,431130000,980800000,73890000,1004750000,9430000,2.5e+09,14,16,53,83,0.5,-20,-13,-4
"size_1_464",584670000,1194500000,301440000,348670000,70720000,2.5e+09,37,31,65,133,584670000,1194500000,301440000,348670000,70720000,2.5e+09,18,23,67,108,0.5,-19,-8,2
"size_1_465",527480000,1634260000,225940000,86990000,25330000,2.5e+09,34,28,56,118,527480000,1634260000,225940000,86990000,25330000,2.5e+09,14,17,59,90,0.5,-20,-11,3
"size_1_466",63180000,705630000,69390000,118430000,1342250000,2298880000,32,20,52,104,63180000,705630000,69390000,118430000,1342250000,2298880000,13,13,54,80,0.5,-19,-7,2
"size_1_467",296090000,1129620000,121410000,467270000,485610000,2.5e+09,39,31,65,135,296090000,1129620000,121410000,467270000,485610000,2.5e+09,15,18,59,92,0.5,-24,-13,-6
"size_1_468",278910000,839480000,328920000,953930000,98760000,2.5e+09,40,26,70,136,278910000,839480000,328920000,953930000,98760000,2.5e+09,14,26,66,106,0.5,-26,0,-4
"size_1_469",88480000,202570000,104480000,443510000,1401870000,2240910000,41,28,70,139,88480000,202570000,104480000,443510000,1401870000,2240910000,13,19,64,96,0.5,-28,-9,-6
"size_1_470",99760000,787050000,194610000,233350000,1185230000,2.5e+09,41,27,70,138,99760000,787050000,194610000,233350000,1185230000,2.5e+09,15,23,66,104,0.5,-26,-4,-4
"size_1_471",60450000,1960910000,223660000,246460000,8520000,2.5e+09,40,27,66,133,60450000,1960910000,223660000,246460000,8520000,2.5e+09,12,26,67,105,0.5,-28,-1,1
"size_1_472",64570000,1210400000,603050000,351470000,270510000,2.5e+09,36,26,66,128,64570000,1210400000,603050000,351470000,270510000,2.5e+09,18,22,68,108,0.5,-18,-4,2
"size_1_473",61970000,782360000,93820000,146590000,1377970000,2462710000,44,32,73,149,61970000,782360000,93820000,146590000,1377970000,2462710000,17,28,69,114,0.5,-27,-4,-4
"size_1_474",9980000,298230000,50790000,54180000,2047130000,2460310000,32,18,50,100,9980000,298230000,50790000,54180000,2047130000,2460310000,12,20,57,89,0.5,-20,2,7
"size_1_475",191190000,1912840000,151360000,184050000,60560000,2.5e+09,43,31,74,148,191190000,1912840000,151360000,184050000,60560000,2.5e+09,20,28,73,121,0.5,-23,-3,-1
"size_1_476",60010000,615100000,48270000,85640000,1440740000,2249760000,40,27,71,138,60010000,615100000,48270000,85640000,1440740000,2249760000,16,29,62,107,0.5,-24,2,-9
"size_1_477",115500000,1807610000,182160000,358250000,36480000,2.5e+09,44,30,77,151,115500000,1807610000,182160000,358250000,36480000,2.5e+09,15,24,64,103,0.5,-29,-6,-13
