"cellID","Forest_t0","Agriculture_t0","Urban_t0","Grassland_t0","Other_t0","Area_Total_t0","forest_sp_t0","agriculture_sp_t0","generalist_sp_t0","Sp_Total_t0","Forest_t1","Agriculture_t1","Urban_t1","Grassland_t1","Other_t1","Area_Total_t1","forest_sp_t1","agriculture_sp_t1","generalist_sp_t1","Sp_Total_t1","deltaT","deltaS_F","deltaS_A","deltaS_O"
"size_1_033",221930000,150110000,7170000,6100000,1884600000,2269910000,21,17,31,69,221930000,150110000,7170000,6100000,1884600000,2269910000,12,6,33,51,0.5,-9,-11,2
"size_1_034",378310000,291380000,266270000,9250000,1439510000,2384720000,23,18,49,90,378310000,291380000,266270000,9250000,1439510000,2384720000,21,13,51,85,0.5,-2,-5,2
"size_1_035",393800000,1022140000,190390000,11680000,881990000,2.5e+09,26,18,39,83,393800000,1022140000,190390000,11680000,881990000,2.5e+09,18,10,44,72,0.5,-8,-8,5
"size_1_036",717870000,615100000,41010000,10140000,1115880000,2.5e+09,23,22,47,92,717870000,615100000,41010000,10140000,1115880000,2.5e+09,15,10,38,63,0.5,-8,-12,-9
"size_1_037",790910000,449450000,187420000,14520000,1057700000,2.5e+09,28,21,56,105,790910000,449450000,187420000,14520000,1057700000,2.5e+09,19,16,54,89,0.5,-9,-5,-2
"size_1_038",395660000,676390000,137760000,9750000,1280440000,2.5e+09,28,23,57,108,395660000,676390000,137760000,9750000,1280440000,2.5e+09,15,12,46,73,0.5,-13,-11,-11
"size_1_039",939720000,490910000,44930000,28870000,995570000,2.5e+09,30,27,56,113,939720000,490910000,44930000,28870000,995570000,2.5e+09,15,15,55,85,0.5,-15,-12,-1
"size_1_040",368620000,461670000,23690000,84030000,1561990000,2.5e+09,31,28,66,125,368620000,461670000,23690000,84030000,1561990000,2.5e+09,17,12,49,78,0.5,-14,-16,-17
"size_1_041",880200000,904580000,32810000,15950000,666460000,2.5e+09,27,23,48,98,880200000,904580000,32810000,15950000,666460000,2.5e+09,16,14,48,78,0.5,-11,-9,0
"size_1_042",1020590000,641400000,104260000,20620000,713130000,2.5e+09,29,24,50,103,1020590000,641400000,104260000,20620000,713130000,2.5e+09,21,14,58,93,0.5,-8,-10,8
"size_1_043",959760000,1026110000,34220000,25420000,454490000,2.5e+09,27,19,42,88,959760000,1026110000,34220000,25420000,454490000,2.5e+09,15,15,43,73,0.5,-12,-4,1
"size_1_044",330930000,781840000,37160000,28190000,1321880000,2.5e+09,26,24,53,103,330930000,781840000,37160000,28190000,1321880000,2.5e+09,19,12,53,84,0.5,-7,-12,0
"size_1_045",426730000,772570000,23930000,208170000,1068600000,2.5e+09,35,32,75,142,426730000,772570000,23930000,208170000,1068600000,2.5e+09,20,15,53,88,0.5,-15,-17,-22
"size_1_046",231880000,1226180000,21870000,34830000,985240000,2.5e+09,27,23,48,98,231880000,1226180000,21870000,34830000,985240000,2.5e+09,17,14,52,83,0.5,-10,-9,4
"size_1_047",300270000,1008810000,24740000,16590000,1149590000,2.5e+09,30,22,51,103,300270000,1008810000,24740000,16590000,1149590000,2.5e+09,17,14,49,80,0.5,-13,-8,-2
"size_1_048",136740000,1328340000,16320000,81200000,937400000,2.5e+09,32,26,70,128,136740000,1328340000,16320000,81200000,937400000,2.5e+09,22,15,62,99,0.5,-10,-11,-8
"size_1_049",97310000,1087810000,11430000,191340000,1112110000,2.5e+09,36,30,79,145,97310000,1087810000,11430000,191340000,1112110000,2.5e+09,20,16,65,101,0.5,-16,-14,-14
"size_1_050",658310000,631120000,18430000,38520000,1153620000,2.5e+09,32,28,62,122,658310000,631120000,18430000,38520000,1153620000,2.5e+09,23,14,62,99,0.5,-9,-14,0
