"cell50x50","occ_ebba1","SR_ebba1","occ_ebba2","SR_ebba2","deltaSR_birds","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","deltaSR_mammals","delta_occ_m","deltaT"
"36UWF3",NA,NA,89,89,NA,NA,NA,1,1,NA,NA,1.34922535419464
"36UWF4",NA,NA,118,118,NA,NA,NA,NA,NA,NA,NA,1.41703252094548
"36UWG1",NA,NA,72,72,NA,NA,NA,1,1,NA,NA,1.34459550072702
"36UWG2",NA,NA,107,107,NA,NA,NA,11,6,NA,NA,1.32067563088887
"36UWG3",NA,NA,95,95,NA,5,2,NA,NA,NA,NA,1.26889833910712
"36UWG4",NA,NA,96,96,NA,NA,NA,7,5,NA,NA,1.29530231576217
"36UWU1",9,9,139,139,130,4,3,71,17,14,67,1.77565208348361
"36UWU2",10,10,118,118,108,14,10,115,11,1,101,1.78416620059447
"36UWU3",142,142,146,146,4,2,2,39,9,7,37,1.77587411953853
"36UWU4",122,122,138,138,16,3,2,NA,NA,NA,NA,1.80735411969098
"36UWV1",105,105,134,134,29,1,1,7,5,4,6,1.68849715928774
"36UWV2",112,112,149,149,37,7,3,98,16,13,91,1.72590604424477
"36UWV3",116,116,129,129,13,2,1,7,3,2,5,1.70265587993052
"36UWV4",145,145,145,145,0,137,7,5,4,-3,-132,1.7204687684615
"36UXA1",125,125,145,145,20,35,11,22,10,-1,-13,1.64271196250707
"36UXA2",118,118,128,128,10,21,14,46,20,6,25,1.68915437749914
"36UXA3",131,131,144,144,13,50,18,95,33,15,45,1.65822484734825
"36UXA4",113,113,137,137,24,42,21,242,41,20,200,1.69853649257628
"36UXB1",161,161,141,141,-20,41,13,41,17,4,0,1.56896643062214
"36UXB2",139,139,144,144,5,125,23,134,19,-4,9,1.59539985401745
"36UXB3",1,1,147,147,146,1,1,34,12,11,33,1.58951848691648
"36UXB4",104,104,147,147,43,4,4,17,10,6,13,1.60628512326409
"36UXC1",136,136,146,146,10,25,4,67,17,13,42,1.55230786382538
"36UXC2",148,148,105,105,-43,NA,NA,66,12,NA,NA,1.56216542985704
"36UXC3",118,118,117,117,-1,2,2,498,26,24,496,1.51017391625704
"36UXC4",138,138,126,126,-12,1,1,110,18,17,109,1.55938190546903
"36UXD1",NA,NA,153,153,NA,NA,NA,33,9,NA,NA,1.49361137016532
"36UXD2",NA,NA,160,160,NA,NA,NA,7,7,NA,NA,1.52331195244422
"36UXD3",NA,NA,149,149,NA,NA,NA,15,9,NA,NA,1.44789696484804
"36UXD4",NA,NA,155,155,NA,NA,NA,321,19,NA,NA,1.47096278799239
"36UXE1",NA,NA,40,40,NA,1,1,10,6,5,9,1.43866858243942
"36UXE2",NA,NA,141,141,NA,NA,NA,3,1,NA,NA,1.47518630156646
"36UXE3",NA,NA,115,115,NA,9,2,18,6,4,9,1.3921042024133
"36UXE4",NA,NA,173,173,NA,NA,NA,52,19,NA,NA,1.42762283122901
"36UXF1",NA,NA,133,133,NA,1,1,10,10,9,9,1.34029789477731
"36UXF2",NA,NA,110,110,NA,NA,NA,2,2,NA,NA,1.4091846777661
"36UXF3",NA,NA,130,130,NA,NA,NA,6,5,NA,NA,1.33195964974093
"36UXF4",NA,NA,69,69,NA,NA,NA,40,10,NA,NA,1.35722418779826
"36UXG1",NA,NA,136,136,NA,NA,NA,14,8,NA,NA,1.2622531231363
"36UXG2",NA,NA,70,70,NA,NA,NA,4,4,NA,NA,1.29293181811492
"36UXG3",NA,NA,149,149,NA,67,1,82,18,17,15,1.2509295501592
"36UXG4",NA,NA,144,144,NA,NA,NA,10,7,NA,NA,1.28652895725135
"36UXU1",155,155,151,151,-4,87,14,1808,25,11,1721,1.78596188350277
"36UXU2",98,98,136,136,38,5,2,23,3,1,18,1.79740413299388
"36UXU3",171,171,144,144,-27,19,6,371,18,12,352,1.78693518096102
"36UXU4",117,117,116,116,-1,5,2,760,13,11,755,1.82596069208071
"36UXV1",142,142,135,135,-7,122,9,183,26,17,61,1.73270344456961
"36UXV2",161,161,150,150,-11,2,2,11,9,7,9,1.73932790478995
"36UXV3",122,122,138,138,16,38,10,1352,29,19,1314,1.7425928096382
"36UXV4",159,159,152,152,-7,5,5,18,10,5,13,1.76518844201313
"36UYU1",150,150,135,135,-15,NA,NA,31,11,NA,NA,1.80724124165324
"36UYU2",133,133,115,115,-18,2,2,3,1,-1,1,1.84370576251637
"36VUH1",NA,NA,125,125,NA,NA,NA,9,5,NA,NA,1.27661724293486
"36VUH2",NA,NA,133,133,NA,6,3,24,14,11,18,1.30471762743863
"36VUH3",NA,NA,87,87,NA,NA,NA,NA,NA,NA,NA,1.32765500556489
"36VUH4",NA,NA,99,99,NA,NA,NA,5,5,NA,NA,1.35392611399646
"36VUJ3",NA,NA,134,134,NA,NA,NA,89,14,NA,NA,1.32703850925833
"36VUJ4",NA,NA,150,150,NA,NA,NA,66,13,NA,NA,1.319300394103
"36VUK3",NA,NA,142,142,NA,NA,NA,133,26,NA,NA,1.33227373744948
"36VUK4",NA,NA,113,113,NA,NA,NA,NA,NA,NA,NA,1.33328707077924
"36VUL3",1,1,127,127,126,1,1,22,10,9,21,1.32006363890487
"36VUL4",NA,NA,82,82,NA,NA,NA,19,14,NA,NA,1.34137260809279
"36VUM3",1,1,162,162,161,2,1,1327,27,26,1325,1.41027731040739
"36VUM4",NA,NA,177,177,NA,33,15,994,35,20,961,1.35319699670119
"36VUN3",2,2,133,133,131,22,9,10,6,-3,-12,1.47921326519951
"36VUN4",2,2,127,127,125,3,3,76,19,16,73,1.46460235960865
"36VUP3",158,158,174,174,16,104,21,245,29,8,141,1.49907612717525
"36VUP4",1,1,141,141,140,38,16,57,15,-1,19,1.49502857875475
"36VUQ3",150,150,176,176,26,845,40,93,18,-22,-752,1.49200828840148
