polygon_id,Forest_t0,Agriculture_t0,Urban_t0,Grassland_t0,Other_t0,Area_Total_t0,forest_sp_t0,agriculture_sp_t0,generalist_sp_t0,Sp_Total_t0,Forest_t1,Agriculture_t1,Urban_t1,Grassland_t1,Other_t1,Area_Total_t1,forest_sp_t1,agriculture_sp_t1,generalist_sp_t1,Sp_Total_t1,delta_Forest,delta_Agriculture,delta_Urban,delta_Grassland,delta_Other,delta_Area_Total,delta_forest_sp,delta_agriculture_sp,delta_generalist_sp,delta_Sp_Total
1_098,104330000,64350000,75100000,6800000,1823710000,2074290000,24,18,57,99,132320000,42870000,117060000,39200000,1742840000,2074290000,24,21,61,106,27990000,-21480000,41960000,32400000,-80870000,0,0,3,4,7
1_099,114180000,1325100000,101850000,71710000,887160000,2500000000,29,31,80,140,117970000,1122780000,149450000,65290000,1044510000,2500000000,32,37,89,158,3790000,-202320000,47600000,-6420000,157350000,0,3,6,9,18
1_100,20010000,2390150000,19860000,20380000,49600000,2500000000,25,30,69,124,14980000,2381280000,28180000,38270000,37290000,2500000000,17,27,63,107,-5030000,-8870000,8320000,17890000,-12310000,0,-8,-3,-6,-17
1_101,98340000,1959360000,22360000,141770000,278170000,2500000000,25,32,77,134,79960000,1949090000,45000000,85190000,340760000,2500000000,31,31,82,144,-18380000,-10270000,22640000,-56580000,62590000,0,6,-1,5,10
1_102,484810000,1199410000,11930000,25590000,778260000,2500000000,25,24,55,104,597340000,1217810000,20650000,54580000,609620000,2500000000,27,24,62,113,112530000,18400000,8720000,28990000,-168640000,0,2,0,7,9
1_103,461670000,762440000,2350000,248340000,1025200000,2500000000,29,25,69,123,495730000,836660000,7380000,314860000,845370000,2500000000,30,31,77,138,34060000,74220000,5030000,66520000,-179830000,0,1,6,8,15
1_104,316930000,922020000,6240000,479020000,775790000,2500000000,27,34,75,136,391010000,1080370000,10690000,416740000,601190000,2500000000,26,30,68,124,74080000,158350000,4450000,-62280000,-174600000,0,-1,-4,-7,-12
1_105,182410000,1916400000,42340000,82270000,276580000,2500000000,27,29,81,137,270240000,1802550000,59350000,180440000,187420000,2500000000,31,35,88,154,87830000,-113850000,17010000,98170000,-89160000,0,4,6,7,17
1_106,225940000,778480000,24650000,14640000,1456290000,2500000000,31,30,70,131,218760000,663520000,44120000,43240000,1530360000,2500000000,31,32,80,143,-7180000,-114960000,19470000,28600000,74070000,0,0,2,10,12
1_107,136790000,750710000,8090000,3450000,1600960000,2500000000,27,27,71,125,162640000,583640000,19030000,100140000,1634550000,2500000000,28,28,82,138,25850000,-167070000,10940000,96690000,33590000,0,1,1,11,13
1_108,243730000,1931720000,24280000,32910000,267360000,2500000000,22,22,61,105,206750000,1913800000,44800000,100800000,233850000,2500000000,27,24,62,113,-36980000,-17920000,20520000,67890000,-33510000,0,5,2,1,8
1_109,177050000,1994850000,80140000,31270000,216690000,2500000000,28,29,67,124,144930000,1989240000,126550000,64400000,174880000,2500000000,30,31,77,138,-32120000,-5610000,46410000,33130000,-41810000,0,2,2,10,14
1_110,244300000,1492620000,6280000,13100000,743700000,2500000000,31,26,71,128,204330000,1515170000,10260000,303550000,466690000,2500000000,29,29,71,129,-39970000,22550000,3980000,290450000,-277010000,0,-2,3,0,1
1_111,486270000,918480000,7740000,4290000,1083220000,2500000000,26,29,67,122,446810000,900080000,24050000,249420000,879640000,2500000000,28,28,67,123,-39460000,-18400000,16310000,245130000,-203580000,0,2,-1,0,1
1_112,115310000,1762410000,11470000,75820000,534990000,2500000000,24,34,66,124,246000000,1700290000,19960000,147990000,385760000,2500000000,26,29,63,118,130690000,-62120000,8490000,72170000,-149230000,0,2,-5,-3,-6
1_113,16930000,2052630000,34230000,17090000,379120000,2500000000,23,32,68,123,74790000,1985290000,56490000,93270000,290160000,2500000000,26,33,86,145,57860000,-67340000,22260000,76180000,-88960000,0,3,1,18,22
1_114,58830000,457090000,35410000,0,1948670000,2500000000,27,31,78,136,95100000,428510000,59720000,139280000,1777390000,2500000000,25,27,83,135,36270000,-28580000,24310000,139280000,-171280000,0,-2,-4,5,-1
1_115,498960000,1372050000,6470000,3080000,619440000,2500000000,31,26,67,124,479700000,1153680000,13330000,347260000,506030000,2500000000,29,27,66,122,-19260000,-218370000,6860000,344180000,-113410000,0,-2,1,-1,-2
1_116,580420000,709350000,3910000,2640000,1203680000,2500000000,23,26,57,106,643000000,684390000,5900000,225160000,941550000,2500000000,27,24,59,110,62580000,-24960000,1990000,222520000,-262130000,0,4,-2,2,4
1_117,333500000,1458870000,3310000,12960000,691360000,2500000000,22,25,56,103,366020000,1394490000,5110000,253870000,480510000,2500000000,25,22,52,99,32520000,-64380000,1800000,240910000,-210850000,0,3,-3,-4,-4
1_118,310490000,1387510000,5520000,119670000,676810000,2500000000,18,33,65,116,587690000,1228040000,10820000,315010000,358440000,2500000000,27,32,67,126,277200000,-159470000,5300000,195340000,-318370000,0,9,-1,2,10
1_119,729220000,196780000,23150000,484020000,1066830000,2500000000,32,22,66,120,798820000,199300000,33920000,320520000,1147440000,2500000000,28,22,69,119,69600000,2520000,10770000,-163500000,80610000,0,-4,0,3,-1
1_120,73210000,1241440000,98990000,3340000,1083020000,2500000000,25,30,76,131,125380000,1131410000,156770000,189490000,896950000,2500000000,24,31,87,142,52170000,-110030000,57780000,186150000,-186070000,0,-1,1,11,11
1_121,307800000,1374150000,23120000,0,794930000,2500000000,22,23,61,106,424860000,1273470000,33810000,507930000,259930000,2500000000,28,27,68,123,117060000,-100680000,10690000,507930000,-535000000,0,6,4,7,17
1_122,135390000,1658220000,155370000,41480000,509540000,2500000000,28,33,89,150,169180000,1389290000,219390000,516570000,205570000,2500000000,24,36,95,155,33790000,-268930000,64020000,475090000,-303970000,0,-4,3,6,5
1_123,527380000,1449160000,5210000,12700000,505550000,2500000000,29,23,61,113,732110000,1314550000,11180000,134040000,308120000,2500000000,27,23,59,109,204730000,-134610000,5970000,121340000,-197430000,0,-2,0,-2,-4
1_124,538780000,1018480000,19950000,0,922790000,2500000000,28,24,67,119,475490000,881890000,32260000,269110000,841250000,2500000000,29,24,69,122,-63290000,-136590000,12310000,269110000,-81540000,0,1,0,2,3
1_125,465950000,762500000,8840000,6790000,1255920000,2500000000,28,23,61,112,637290000,661610000,16600000,320530000,863970000,2500000000,29,32,68,129,171340000,-100890000,7760000,313740000,-391950000,0,1,9,7,17
