"cell50x50","deltaT"
"39UXV4",1.43108549262538
"40UFG2",1.06131364669897
"40UFG3",0.983491353096406
"40UFG4",1.00172406416951
"40VCH1",1.11501451587001
"40VCH2",1.12624214376722
"40VCH3",1.08917574618819
"40VCH4",1.10296208598602
"40VCJ1",1.08183539184657
"40VDJ2",1.05814568919164
"40VCJ2",1.10758435726166
"40VCJ3",1.06397123382863
"40VCJ4",1.0835200564962
"40VCK3",1.01047255656793
"40VCK4",1.04341493149149
"40VCL3",1.02395875323309
"40VCL4",1.01639919375118
"40VCM3",0.982322049590777
"40VCM4",1.02817795451838
"40VCN3",0.939482757243617
"40VCN4",0.942173371549513
"40VCP3",1.02441796172371
"40VCP4",0.959986709816414
"40VCQ3",1.16969125310205
"40VCQ4",1.08438746839284
"40VCR3",1.24471635597127
"40VCR4",1.18652058303712
"40VDH1",1.04775586892974
"36VVM1",1.39891184026545
"29SMC3",0.571071172371889
"29SMD3",0.515437288104363
"29SMD4",0.544780840915916
"29SME4",0.487879276275635
"29SNA1",0.569697062174479
"29SNA3",0.588257789611816
"29SNB1",0.569800368222323
"29SNB2",0.576263732269031
"29SNB3",0.565689226964137
"29SNB4",0.568517122337286
"29SNC1",0.538346033026702
"29SNC2",0.543153912932784
"29SNC3",0.531878719329834
"29SNC4",0.548183053955996
"29SND1",0.510488014716607
"29SND2",0.532187226530793
"29SND3",0.511132469424954
"29SND4",0.525324672847599
"29SNE2",0.499288436344692
"29SNE4",0.491528919764927
"29SPA1",0.570757675170898
"29SPB1",0.565970030406977
"29SPB2",0.568572065884009
"29SPB3",0.554463750166859
"29SPB4",0.566420383453369
"29SPC1",0.540385630395677
"29SPC2",0.556031878241177
"29SPC3",0.548049511847558
"29SPC4",0.547272273472377
"29SPD1",0.504626583743405
"29SPD2",0.531488917232339
"29SPD3",0.501080792744954
"29SPD4",0.531042783852392
"29SPE2",0.485546704211266
"29SPE4",0.486226783858405
"29SQA1",0.573624309740568
"29SQA2",0.600050565931532
"29SQB1",0.546397631930322
"29TNH4",0.546226866833575
"29SQB2",0.547161151965459
"29SQC1",0.556730089960871
"29SQC2",0.552311173097335
"29SQD1",0.497038489893863
"29SQD2",0.518109619272927
"29SQE2",0.485506973483346
"29TMH3",0.536339978377024
"29TMH4",0.539795731053208
"29TNE1",0.487265864285556
"29TNE3",0.491197598691018
"29TNF1",0.520812235938178
"29TNF2",0.500850926274839
"29TNF3",0.527054619066643
"29TNF4",0.49707015031049
"29TNG1",0.545744847207174
"29TNG2",0.544839780838763
"29TNG3",0.564601652083858
"29TNG4",0.548223160252427
"29TNH1",0.521672777227453
"29TNH2",0.546207422055073
"29TNH3",0.524741389833648
"29TNJ2",0.505303110395159
"29TNJ4",0.52340971477448
"29TPE1",0.488089190589057
"29TPE3",0.493066733396506
"29TPF1",0.545616893025188
"29TPF2",0.506232350509359
"29TPF3",0.554130006605579
"29TPF4",0.521379396512911
"29TPG1",0.602014044436013
"29TPG2",0.586813691374543
"29TPG3",0.611224287086063
"29TPG4",0.610285776632803
"29TPH1",0.525188158143241
"29TPH2",0.537151330354198
"29TPH3",0.537419671723337
"29TPH4",0.573513045814467
"29TPJ2",0.529418185353279
"29TPJ4",0.533415991684486
"29TQE1",0.499260439675235
"29TQF1",0.563830638543153
"29TQF2",0.546595486727628
"29TQG1",0.610173175861309
"29TQG2",0.612773837269963
"29TQH1",0.549223836485323
"29TQH2",0.586394485162229
"29TQJ2",0.558237498319602
"29ULT3",0.372601191202799
"29UMA2",0.343084934145905
"29UMA4",0.345017506526067
"29UMS1",0.37348461151123
"29UMT1",0.341626031058175
"29UMT2",0.352755150705014
"29UMT3",0.346013090704794
"29UMT4",0.352542321822223
"29UMU2",0.351317695949389
"29UMU3",0.3426260479161
"29UMU4",0.341609657451671
"29UMV1",0.350611152648926
"29UMV2",0.355318629864565
"29UMV3",0.365514755249023
"29UMV4",0.350229566747492
"29UNA1",0.411194562911987
"29UNA2",0.375914807589549
"29UNA3",0.425687506198883
"29UNA4",0.40008500959815
"29UNB4",0.455795794461681
"29UNT1",0.350027854833226
"29UNT2",0.35425541549921
"29UNT3",0.353127848018299
"29UNU1",0.34742304291388
"29UNU2",0.345858140425249
"29UNU3",0.340991352543686
"29UNU4",0.345829356344123
"29UNV1",0.348588694170647
"29UNV2",0.335843264454543
"29UNV3",0.353136208749587
"29UNV4",0.329262309604221
"29UPA1",0.455410971157793
"29UPA2",0.431002461084045
"29UPA3",0.488841728991773
"29UPA4",0.434896563956751
"29UPB2",0.461165454900153
"29UPB4",0.497671989912397
"29UPT1",0.363310863353588
"30STF3",0.619890403747559
"29UPU1",0.343109578201451
"29UPU2",0.355790646870931
"29UPU3",0.377744677288285
"29UPU4",0.368707954883575
"29UPV1",0.413556833267212
"29UPV2",0.34694715448328
"29UPV3",0.403658079934287
"29UPV4",0.396664475032261
"29VPC3",0.619322933728182
"30SUK2",0.577388518386417
"29VPE4",0.681092911578239
"30SUG1",0.567712507386138
"30STG3",0.528708203633626
"30STG4",0.559732674317039
"30STH3",0.571642102421941
"30STH4",0.547010309555951
"30STJ3",0.523981077629223
"30STJ4",0.554225739716105
"30STK4",0.51976157318462
"30SUF1",0.702496633901225
"30SUF2",0.704148152979409
"30SUF3",0.730666049321492
"30SUF4",0.738333511352539
"30SUG2",0.627923924288304
"30SUG3",0.637131460561048
"30SUG4",0.704203811346316
"30SUH1",0.560999566858465
"30SUH2",0.559696067463268
"30SUH3",0.574386083668676
"30SUH4",0.598868909375421
"30SUJ1",0.561616185506185
"30SUJ2",0.572780717939338
"30SUJ3",0.585018182729746
"30SUJ4",0.577168770085752
"30SUK4",0.587705531151466
