"cell50x50","forest","agriculture","grassland","urban","other"
"29SMC3",121.960381954935,218.224990249516,26.5217803272054,467.440158337275,1667.8069792478
"29SMD3",160.203987965348,409.81489777693,3.16467065306128,56.5460963858308,1872.21119691545
"29SMD4",183.96716974105,1129.49831392782,41.0706756205406,162.481444355844,984.910030406902
"29SME4",9.83231328822359,0,0,0.47768323667483,2491.62561769821
"29SNA1",0.696634859447626,4.21961686293991,3.49312622380167,2.26903925648655,2491.24587279722
"29SNA3",1.29372939780866,16.3208939415862,0.238842350364676,13.8827116149468,2469.88864865032
"29SNB1",452.606882799648,693.962720035671,76.262154904323,13.2859163248429,1265.83433784425
"29SNB2",344.822176772795,410.884564484,46.7054512697624,68.6499473383382,1630.88907222028
"29SNB3",160.075174642513,1764.59866438064,121.442173214957,11.5242183547423,443.961057878592
"29SNB4",440.653873125454,995.317655698606,26.8205923499954,84.4226660129912,954.424960349392
"29SNC1",849.125076353943,899.094099681727,78.2725290724991,99.4603503560783,576.002217121183
"29SNC2",711.722621043126,493.247780451374,44.2960650240919,33.6176382052084,1219.06234219864
"29SNC3",216.884667995932,1824.56602999597,293.654655098241,25.6264864905945,140.910843580709
"29SNC4",316.24250889066,1796.2439158729,158.444692200277,28.6715129846742,202.004293843428
"29SND1",508.210303685689,1227.31987217462,24.3421858110951,165.996590077296,576.071859305418
"29SND2",638.638421064669,1424.27752961837,55.0244940171189,88.2442012027118,295.74297137036
"29SND3",699.902890303317,577.284537564334,9.31505382385259,46.3563255464801,1168.75064745665
"29SND4",1184.70567716393,1000.78281279953,42.2263250634779,10.4197413013107,263.548795741462
"29SNE2",891.855191439433,769.686246595146,23.8247355781381,131.155467913234,685.413957173395
"29SNE4",703.973497390589,342.034905309977,4.97592169265875,30.6317739400072,1420.02853265095
"29SPA1",0.3682199247909,4.85652225129619,0.0995188985921351,5.39392430369372,2490.30120703043
"29SPB1",147.27330666984,1321.95657014156,159.594184738312,6.12063005824782,866.09403385206
"29SPB2",127.589929529876,871.524504212499,41.5779366333222,38.9507046392587,1421.41212187905
"29SPB3",435.688694978354,643.436275191209,176.656105623176,13.565198420529,1230.75064730585
"29SPB4",259.385895565742,861.693798091443,50.2172049196108,79.9434813950126,1248.86187977843
"29SPC1",225.413179324792,1847.01469215217,147.011191390103,18.5605112335866,262.98204254559
"29SPC2",272.29894781265,1789.50824123686,59.9790131739946,18.3310672418281,360.899106148152
"29SPC3",153.532943472876,2031.7738486572,129.2212387215,33.8851226682099,151.67199841004
"29SPC4",341.424428858784,1543.57560318052,103.056315537594,15.7644812951762,496.2925434006
"29SPD1",391.479440897565,976.961988815419,205.92553044341,10.6386232381599,915.996407938929
"29SPD2",166.075981125579,1688.46567963148,480.304714589155,17.2266013499746,148.978753442588
"29SPD3",195.662385750851,1022.1396662471,651.952522909517,7.83206843934285,622.525043398542
"29SPD4",133.635859193129,1812.75231726015,276.308161650137,55.9005526577158,221.522236355367
"29SPE2",374.200137706735,950.671964966657,60.039611467374,26.8899436739341,1089.21190052729
"29SPE4",254.582562206739,1057.85125564959,320.278398529127,9.94245424724521,857.42969045337
"29SQA1",47.0235951864854,1137.25997329348,16.6703723723373,143.620137606839,2022.86105756586
"29SQA2",46.9355966934419,276.584410559508,37.1063087799203,101.668895956577,2980.20623562401
"29SQB1",756.036468204162,1002.21682280485,123.881802029976,32.1529088300613,1311.21932104407
"29SQB2",355.65017279905,1922.16396205746,120.999726996535,126.616042199074,766.049460817172
"29SQC1",107.349919093332,2288.24984747386,283.936653005345,38.3122323011631,345.994902468222
"29SQC2",406.946017668646,1903.75781175559,376.756878044674,16.8270600146806,440.849058704141
"29SQD1",105.981512584748,1073.16610831589,1096.31378485506,35.5030600166475,588.040588004281
"29SQD2",134.246615163628,2318.41236181352,237.958198533512,42.8605516374533,248.372167642171
"29SQE2",115.518756622624,1640.68487917369,500.0006156962,22.6359028487589,536.512705251717
"29TMH3",215.191687235012,144.784677098696,6.75708266891294,8.20005319467491,2127.02811866095
"29TMH4",55.5508314257376,52.8140921491202,3.21442467762688,9.03621550243098,2381.30153114944
"29TNE1",630.203220323732,715.449734951106,2.08986318838998,171.707140249908,982.474540050534
"29TNE3",1143.916917694,604.088049249152,1.32359780811086,57.8103734384659,694.500726592664
"29TNF1",205.533049563466,574.164978190295,0.646862355184491,381.798065486969,1339.78131005812
"29TNF2",385.631227996859,286.777709513987,9.20562816839388,240.679904458852,1579.64598557458
"29TNF3",394.237031476671,1013.9499792014,10.6781859087333,190.177197312109,892.588863491243
"29TNF4",690.854797320882,609.319600627566,10.9469933312154,52.2669172504937,1138.23851114342
"29TNG1",766.575279267093,443.451095615179,14.3902667024136,186.665444354891,1090.83396527314
"29TNG2",392.891657167327,659.79526013662,10.8572643862602,152.290299636059,1286.14298076616
"29TNG3",926.534973137443,505.676740706883,27.0089676712353,46.9422625295567,995.460584814295
"29TNG4",371.032494090468,440.018285175819,85.8242155683876,21.7645593052022,1583.03084073092
"29TNH1",868.386969600725,926.037275753567,16.4103840576621,55.1822799270687,635.944677038679
"29TNH2",1012.51367101721,639.050734176375,19.5548569306182,101.018500103158,729.779299385762
"29TNH3",939.08919980008,1034.22715084219,21.8240090622749,50.8430744638225,455.647094813188
"29TNH4",899.100252880646,955.646061625558,19.9731499737836,13.5144681935218,613.405589478862
"29TNJ2",0,1.86097499459291,0.577200800461971,12.5690450169564,2486.89950400422
"29TNJ4",741.15321149221,368.451916781303,33.0894183042846,62.974387678049,1295.95079977659
