"cell50x50","forest_abs","agriculture_abs","grassland_abs","urban_abs","other_abs","forest_rel","agriculture_rel","grassland_rel","urban_rel","other_rel"
"29SMC3",121.960381954935,218.224990249516,26.5217803272054,467.440158337275,1667.8069792478,0.0487460472146536,0.0872218134086434,0.0106004256080826,0.186830015313936,0.666601698454685
"29SMD3",160.203987965348,409.81489777693,3.16467065306128,56.5460963858308,1872.21119691545,0.0640318846805566,0.163798795573694,0.00126488627956373,0.0226008925801294,0.748303540886057
"29SMD4",183.96716974105,1129.49831392782,41.0706756205406,162.481444355844,984.910030406902,0.0735301721909096,0.451451232463694,0.0164156129304276,0.0649425035897966,0.393660478825172
"29SME4",9.83231328822359,0,0,0.47768323667483,2491.62561769821,0.0039298826206112,0,0,0.000190925471446698,0.995879191907942
"29SNA1",0.696634859447626,4.21961686293991,3.49312622380167,2.26903925648655,2491.24587279722,0.00027843962434517,0.00168654858174788,0.00139617583064507,0.00090691763358141,0.99573191832968
"29SNA3",1.29372939780866,16.3208939415862,0.238842350364676,13.8827116149468,2469.88864865032,0.00051715564395823,0.00652411735454997,9.54748881153655e-05,0.00554947787170562,0.987313774241671
"29SNB1",452.606882799648,693.962720035671,76.262154904323,13.2859163248429,1265.83433784425,0.180901504363529,0.277368517354675,0.0304810622031647,0.00531022028464372,0.505938695793987
"29SNB2",344.822176772795,410.884564484,46.7054512697624,68.6499473383382,1630.88907222028,0.137821303272102,0.164225650164281,0.018667610720849,0.0274385635526138,0.651846872290153
"29SNB3",160.075174642513,1764.59866438064,121.442173214957,11.5242183547423,443.961057878592,0.0639890838640893,0.705387654104889,0.0485457749700642,0.00460673665617752,0.17747075040478
"29SNB4",440.653873125454,995.317655698606,26.8205923499954,84.4226660129912,954.424960349392,0.176146015252356,0.397866102295014,0.0107212049122612,0.0337469318258669,0.381519745714502
"29SNC1",849.125076353943,899.094099681727,78.2725290724991,99.4603503560783,576.002217121183,0.339384730431739,0.359356727472335,0.0312845562087812,0.0397530648125313,0.230220921074614
"29SNC2",711.722621043126,493.247780451374,44.2960650240919,33.6176382052084,1219.06234219864,0.284467568008337,0.197145618787365,0.0177046415516124,0.0134365938353958,0.487245577817289
"29SNC3",216.884667995932,1824.56602999597,293.654655098241,25.6264864905945,140.910843580709,0.0866969009826153,0.729347177467478,0.117384731670446,0.0102438636273223,0.0563273262521383
"29SNC4",316.24250889066,1796.2439158729,158.444692200277,28.6715129846742,202.004293843428,0.126415747367416,0.718036034674124,0.0633371656807323,0.0114612382592921,0.080749814018435
"29SND1",508.210303685689,1227.31987217462,24.3421858110951,165.996590077296,576.071859305418,0.203126429466399,0.49054712515662,0.00972932121477298,0.0663471291342654,0.230249995027943
"29SND2",638.638421064669,1424.27752961837,55.0244940171189,88.2442012027118,295.74297137036,0.255258552108194,0.569272076372315,0.0219928400954654,0.0352704852824185,0.118206046141607
"29SND3",699.902890303317,577.284537564334,9.31505382385259,46.3563255464801,1168.75064745665,0.279781038159193,0.230765252538111,0.00372362432767894,0.0185306005537698,0.467199484421247
"29SND4",1184.70567716393,1000.78281279953,42.2263250634779,10.4197413013107,263.548795741462,0.473563401292889,0.40004375932372,0.016879164594729,0.00416509199403282,0.10534858279463
"29SNE2",891.855191439433,769.686246595146,23.8247355781381,131.155467913234,685.413957173395,0.356466086458449,0.307636314458004,0.00952252151914846,0.0524216002927559,0.273953477271642
"29SNE4",703.973497390589,342.034905309977,4.97592169265875,30.6317739400072,1420.02853265095,0.281404276479364,0.136724017901542,0.00198906016907011,0.0122446544007956,0.567637991049229
"29SPA1",0.3682199247909,4.85652225129619,0.0995188985921351,5.39392430369372,2490.30120703043,0.000147227936699945,0.00194181711106955,3.97913342432285e-05,0.00215669031598299,0.995714473302004
"29SPB1",147.27330666984,1321.95657014156,159.594184738312,6.12063005824782,866.09403385206,0.0588848565880368,0.528563015312132,0.0638111609843059,0.00244723522108681,0.346293731894439
"29SPB2",127.589929529876,871.524504212499,41.5779366333222,38.9507046392587,1421.41212187905,0.0510144397006219,0.348462722971817,0.0166241579493954,0.0155737085241583,0.568324970854007
"29SPB3",435.688694978354,643.436275191209,176.656105623176,13.565198420529,1230.75064730585,0.17426872183564,0.257364532411904,0.0706597028709734,0.0054258690148246,0.492281173866658
"29SPB4",259.385895565742,861.693798091443,50.2172049196108,79.9434813950126,1248.86187977843,0.103750114441981,0.344663421158431,0.0200860603696376,0.0319760846114346,0.499524319418515
"29SPC1",225.413179324792,1847.01469215217,147.011191390103,18.5605112335866,262.98204254559,0.0901298825327094,0.738515901060071,0.0587813962372266,0.00742129054849903,0.105151529621494
"29SPC2",272.29894781265,1789.50824123686,59.9790131739946,18.3310672418281,360.899106148152,0.108875315838689,0.71551240475101,0.0239818554403836,0.00732944710821081,0.144300976861707
"29SPC3",153.532943472876,2031.7738486572,129.2212387215,33.8851226682099,151.67199841004,0.0614110856801672,0.812681858891432,0.0516867349985073,0.013553587421634,0.0606667330082595
"29SPC4",341.424428858784,1543.57560318052,103.056315537594,15.7644812951762,496.2925434006,0.136563578534209,0.617402242754041,0.041220656903216,0.00630550657022638,0.198508015238308
"29SPD1",391.479440897565,976.961988815419,205.92553044341,10.6386232381599,915.996407938929,0.156529040062394,0.390628233084502,0.082337211708342,0.0042537444092508,0.366251770735512
"29SPD2",166.075981125579,1688.46567963148,480.304714589155,17.2266013499746,148.978753442588,0.06640245746391,0.67510226169444,0.192041095672381,0.00688774292126247,0.0595664422480065
