Natural,Human_dominated,Area_Total,natural_sp,human_dominated_sp,Sp_Total
1822740000,667400000,2490140000,11,108,119
1830020000,368020000,2198040000,8,91,99
1353510000,1146490000,2500000000,9,101,110
1805400000,694600000,2500000000,6,106,112
2051990000,448010000,2500000000,12,114,126
737370000,1762630000,2500000000,10,113,123
1937070000,562930000,2500000000,9,91,100
343800000,2156200000,2500000000,10,115,125
501320000,1998680000,2500000000,15,122,137
1344410000,1155590000,2500000000,13,113,126
1014590000,1485410000,2500000000,14,116,130
2038490000,461510000,2500000000,9,98,107
1472190000,1027810000,2500000000,11,103,114
1742930000,757070000,2500000000,7,100,107
2251490000,248510000,2500000000,8,88,96
1976680000,523320000,2500000000,13,114,127
1657940000,842060000,2500000000,8,99,107
1544700000,955300000,2500000000,19,121,140
523780000,1976220000,2500000000,13,114,127
967930000,1532070000,2500000000,12,115,127
322380000,2177620000,2500000000,9,104,113
464110000,2035890000,2500000000,18,132,150
1635650000,864350000,2500000000,11,109,120
1420850000,1079150000,2500000000,14,121,135
1592970000,907030000,2500000000,22,145,167
1619130000,120200000,1739330000,14,108,122
1622260000,877740000,2500000000,15,116,131
1628260000,871740000,2500000000,7,84,91
850770000,1649230000,2500000000,9,114,123
1100250000,1399750000,2500000000,16,123,139
407710000,2092290000,2500000000,21,132,153
985640000,1514360000,2500000000,21,132,153
2128180000,141730000,2269910000,7,67,74
1889280000,495440000,2384720000,8,100,108
1550210000,949790000,2500000000,8,94,102
2019500000,480500000,2500000000,8,86,94
1927880000,572120000,2500000000,9,107,116
1845970000,654030000,2500000000,8,91,99
2150780000,349220000,2500000000,10,109,119
2208470000,291530000,2500000000,10,102,112
1598690000,901310000,2500000000,7,97,104
1808700000,691300000,2500000000,10,108,118
1531200000,968800000,2500000000,7,90,97
1843890000,656110000,2500000000,13,106,119
1912290000,587710000,2500000000,14,108,122
1592480000,907520000,2500000000,11,108,119
1734990000,765010000,2500000000,10,98,108
1644700000,855300000,2500000000,14,118,132
1608330000,891670000,2500000000,15,119,134
2130480000,369520000,2500000000,13,124,137
1830290000,669710000,2500000000,10,114,124
1659630000,840370000,2500000000,12,115,127
1707070000,792930000,2500000000,9,89,98
2177630000,322370000,2500000000,10,112,122
2102720000,397280000,2500000000,5,81,86
1775140000,724860000,2500000000,19,133,152
1437240000,1062760000,2500000000,14,132,146
843320000,1656680000,2500000000,14,118,132
1858980000,641020000,2500000000,14,127,141
2191560000,308440000,2500000000,17,109,126
2151550000,348450000,2500000000,11,117,128
1765880000,74160000,1840040000,19,63,82
2076890000,260260000,2337150000,14,61,75
2024390000,475610000,2500000000,20,66,86
2403210000,96790000,2500000000,17,73,90
1651870000,848130000,2500000000,13,77,90
2054800000,445200000,2500000000,15,69,84
2477390000,15820000,2493210000,22,75,97
1829250000,670750000,2500000000,13,85,98
2341340000,94470000,2435810000,17,68,85
2063250000,436750000,2500000000,20,76,96
1513050000,986950000,2500000000,9,78,87
1504350000,995650000,2500000000,11,85,96
2234380000,103690000,2338070000,21,85,106
383920000,2116080000,2500000000,6,70,76
1129180000,1370820000,2500000000,14,68,82
1387140000,1092460000,2479600000,15,76,91
406620000,2093380000,2500000000,10,75,85
618720000,1881280000,2500000000,7,80,87
501400000,1998600000,2500000000,6,73,79
616580000,1883420000,2500000000,8,83,91
