"Forest","Agriculture","Urban","Grassland","Other","Area_Total","natural_sp","human_dominated_sp","Sp_Total"
124760000,247110000,482870000,31740000,1603660000,2490140000,34,64,98
145150000,388660000,58290000,3180000,1602760000,2198040000,23,59,82
181440000,1195730000,162710000,39290000,920830000,2.5e+09,30,59,89
477670000,685220000,10270000,72720000,1254120000,2.5e+09,30,61,91
346850000,449720000,70750000,50290000,1582390000,2.5e+09,36,68,104
167350000,1758200000,10530000,122360000,441560000,2.5e+09,36,64,100
696300000,498280000,40750000,46400000,1218270000,2.5e+09,25,54,79
200940000,1827710000,27910000,304620000,138820000,2.5e+09,32,67,99
309660000,1837590000,28830000,141160000,182760000,2.5e+09,38,72,110
507050000,1229450000,158270000,25780000,579450000,2.5e+09,31,71,102
610450000,1457110000,87300000,48260000,296880000,2.5e+09,34,72,106
690250000,557200000,47570000,8320000,1196660000,2.5e+09,24,55,79
1195260000,1019350000,10850000,29500000,245040000,2.5e+09,27,62,89
867320000,811630000,143720000,24960000,652370000,2.5e+09,26,58,84
727390000,344930000,25010000,5970000,1396700000,2.5e+09,19,48,67
122960000,800110000,38120000,52260000,1486550000,2.5e+09,37,68,105
428910000,710430000,11440000,174900000,1174320000,2.5e+09,27,55,82
268670000,836450000,80530000,47660000,1266690000,2.5e+09,42,76,118
247410000,1806490000,18310000,165970000,261820000,2.5e+09,36,66,102
380690000,1471040000,13210000,100790000,534270000,2.5e+09,33,68,101
168510000,1698900000,17780000,476480000,138330000,2.5e+09,29,61,90
123410000,1844420000,55760000,274740000,201670000,2.5e+09,43,81,124
367440000,968540000,27860000,57290000,1078870000,2.5e+09,27,64,91
267670000,1074310000,8220000,328670000,821130000,2.5e+09,35,71,106
39860000,768310000,119400000,15700000,1556730000,2.5e+09,52,94,146
15690000,31970000,80750000,5970000,1604950000,1739330000,39,63,102
572660000,767310000,23970000,88810000,1047250000,2.5e+09,32,72,104
902670000,960240000,17260000,17980000,601850000,2.5e+09,18,44,62
306960000,1560060000,13940000,284610000,334430000,2.5e+09,33,64,97
83550000,927110000,34210000,969640000,485490000,2.5e+09,41,71,112
106360000,1936770000,33960000,207110000,215800000,2.5e+09,46,81,127
105550000,1452780000,24520000,464250000,452900000,2.5e+09,40,81,121
221930000,150110000,7170000,6100000,1884600000,2269910000,17,34,51
378310000,291380000,266270000,9250000,1439510000,2384720000,29,56,85
393800000,1022140000,190390000,11680000,881990000,2.5e+09,21,51,72
717870000,615100000,41010000,10140000,1115880000,2.5e+09,16,47,63
790910000,449450000,187420000,14520000,1057700000,2.5e+09,33,56,89
395660000,676390000,137760000,9750000,1280440000,2.5e+09,24,49,73
939720000,490910000,44930000,28870000,995570000,2.5e+09,23,62,85
368620000,461670000,23690000,84030000,1561990000,2.5e+09,20,58,78
880200000,904580000,32810000,15950000,666460000,2.5e+09,25,53,78
1020590000,641400000,104260000,20620000,713130000,2.5e+09,33,60,93
959760000,1026110000,34220000,25420000,454490000,2.5e+09,21,52,73
330930000,781840000,37160000,28190000,1321880000,2.5e+09,26,58,84
426730000,772570000,23930000,208170000,1068600000,2.5e+09,27,61,88
231880000,1226180000,21870000,34830000,985240000,2.5e+09,25,58,83
300270000,1008810000,24740000,16590000,1149590000,2.5e+09,23,57,80
136740000,1328340000,16320000,81200000,937400000,2.5e+09,34,65,99
97310000,1087810000,11430000,191340000,1112110000,2.5e+09,35,66,101
658310000,631120000,18430000,38520000,1153620000,2.5e+09,35,64,99
289820000,1128300000,32400000,58280000,991200000,2.5e+09,27,60,87
278760000,1309910000,14390000,53810000,843130000,2.5e+09,27,59,86
936380000,973730000,14660000,6470000,568760000,2.5e+09,22,49,71
932320000,351770000,40870000,172930000,1002110000,2.5e+09,27,56,83
962640000,422910000,17520000,50010000,1046920000,2.5e+09,22,38,60
593010000,669810000,8110000,273350000,955720000,2.5e+09,39,74,113
86650000,1243240000,9950000,464260000,695900000,2.5e+09,40,71,111
138430000,1375380000,11360000,691490000,283340000,2.5e+09,36,65,101
324290000,883140000,7590000,252620000,1032360000,2.5e+09,37,66,103
663010000,186100000,4540000,337870000,1308480000,2.5e+09,26,55,81
887670000,241270000,21550000,295890000,1053620000,2.5e+09,27,61,88
9570000,28480000,3e+06,78790000,1720200000,1840040000,18,44,62
88650000,24020000,2800000,257130000,1964550000,2337150000,14,39,53
40170000,64350000,8810000,545610000,1841060000,2.5e+09,17,44,61
32590000,143050000,3040000,109030000,2212290000,2.5e+09,19,46,65
168700000,319410000,11830000,836180000,1163880000,2.5e+09,19,46,65
85680000,250090000,16430000,477660000,1670140000,2.5e+09,19,41,60
27190000,115700000,2390000,23680000,2324250000,2493210000,20,51,71
125210000,176200000,11700000,698600000,1488290000,2.5e+09,22,49,71
59540000,148750000,7580000,97180000,2122760000,2435810000,18,40,58
83130000,213150000,20830000,458070000,1724820000,2.5e+09,20,48,68
249280000,174700000,42650000,946390000,1086980000,2.5e+09,18,39,57
186730000,371930000,30640000,1065320000,845380000,2.5e+09,23,48,71
11450000,79630000,11290000,77760000,2157940000,2338070000,22,58,80
185020000,222810000,29250000,1902980000,159940000,2.5e+09,15,36,51
33070000,204340000,93150000,1099260000,1070180000,2.5e+09,18,41,59
96250000,261300000,24860000,832230000,1264960000,2479600000,19,45,64
111540000,91740000,74050000,2004100000,218570000,2.5e+09,18,43,61
