"Forest","Agriculture","Other","Area_Total","natural_sp","human_dominated_sp","Sp_Total"
124760000,247110000,2118270000,2490140000,34,64,98
145150000,388660000,1664230000,2198040000,23,59,82
181440000,1195730000,1122830000,2.5e+09,30,59,89
477670000,685220000,1337110000,2.5e+09,30,61,91
346850000,449720000,1703430000,2.5e+09,36,68,104
167350000,1758200000,574450000,2.5e+09,36,64,100
696300000,498280000,1305420000,2.5e+09,25,54,79
200940000,1827710000,471350000,2.5e+09,32,67,99
309660000,1837590000,352750000,2.5e+09,38,72,110
507050000,1229450000,763500000,2.5e+09,31,71,102
610450000,1457110000,432440000,2.5e+09,34,72,106
690250000,557200000,1252550000,2.5e+09,24,55,79
1195260000,1019350000,285390000,2.5e+09,27,62,89
867320000,811630000,821050000,2.5e+09,26,58,84
727390000,344930000,1427680000,2.5e+09,19,48,67
122960000,800110000,1576930000,2.5e+09,37,68,105
428910000,710430000,1360660000,2.5e+09,27,55,82
268670000,836450000,1394880000,2.5e+09,42,76,118
247410000,1806490000,446100000,2.5e+09,36,66,102
380690000,1471040000,648270000,2.5e+09,33,68,101
168510000,1698900000,632590000,2.5e+09,29,61,90
123410000,1844420000,532170000,2.5e+09,43,81,124
367440000,968540000,1164020000,2.5e+09,27,64,91
267670000,1074310000,1158020000,2.5e+09,35,71,106
39860000,768310000,1691830000,2.5e+09,52,94,146
15690000,31970000,1691670000,1739330000,39,63,102
572660000,767310000,1160030000,2.5e+09,32,72,104
902670000,960240000,637090000,2.5e+09,18,44,62
306960000,1560060000,632980000,2.5e+09,33,64,97
83550000,927110000,1489340000,2.5e+09,41,71,112
106360000,1936770000,456870000,2.5e+09,46,81,127
105550000,1452780000,941670000,2.5e+09,40,81,121
221930000,150110000,1897870000,2269910000,17,34,51
378310000,291380000,1715030000,2384720000,29,56,85
393800000,1022140000,1084060000,2.5e+09,21,51,72
717870000,615100000,1167030000,2.5e+09,16,47,63
790910000,449450000,1259640000,2.5e+09,33,56,89
395660000,676390000,1427950000,2.5e+09,24,49,73
939720000,490910000,1069370000,2.5e+09,23,62,85
368620000,461670000,1669710000,2.5e+09,20,58,78
880200000,904580000,715220000,2.5e+09,25,53,78
1020590000,641400000,838010000,2.5e+09,33,60,93
959760000,1026110000,514130000,2.5e+09,21,52,73
330930000,781840000,1387230000,2.5e+09,26,58,84
426730000,772570000,1300700000,2.5e+09,27,61,88
231880000,1226180000,1041940000,2.5e+09,25,58,83
300270000,1008810000,1190920000,2.5e+09,23,57,80
136740000,1328340000,1034920000,2.5e+09,34,65,99
97310000,1087810000,1314880000,2.5e+09,35,66,101
658310000,631120000,1210570000,2.5e+09,35,64,99
289820000,1128300000,1081880000,2.5e+09,27,60,87
278760000,1309910000,911330000,2.5e+09,27,59,86
936380000,973730000,589890000,2.5e+09,22,49,71
932320000,351770000,1215910000,2.5e+09,27,56,83
962640000,422910000,1114450000,2.5e+09,22,38,60
593010000,669810000,1237180000,2.5e+09,39,74,113
86650000,1243240000,1170110000,2.5e+09,40,71,111
138430000,1375380000,986190000,2.5e+09,36,65,101
324290000,883140000,1292570000,2.5e+09,37,66,103
663010000,186100000,1650890000,2.5e+09,26,55,81
887670000,241270000,1371060000,2.5e+09,27,61,88
9570000,28480000,1801990000,1840040000,18,44,62
88650000,24020000,2224480000,2337150000,14,39,53
40170000,64350000,2395480000,2.5e+09,17,44,61
