"Forest","Agriculture","Other","Area_Total","natural_sp","human_dominated_sp","Sp_Total"
136790000,750710000,1612500000,2.5e+09,31,90,121
243730000,1931720000,324550000,2.5e+09,26,76,102
177050000,1994850000,328100000,2.5e+09,32,90,122
244300000,1492620000,763080000,2.5e+09,29,96,125
486270000,918480000,1095250000,2.5e+09,26,93,119
115310000,1762410000,622280000,2.5e+09,34,87,121
16930000,2052630000,430440000,2.5e+09,30,90,120
58830000,457090000,1984080000,2.5e+09,34,98,132
498960000,1372050000,628990000,2.5e+09,27,94,121
580420000,709350000,1210230000,2.5e+09,23,79,102
333500000,1458870000,707630000,2.5e+09,23,76,99
310490000,1387510000,8.02e+08,2.5e+09,29,84,113
729220000,196780000,1.574e+09,2.5e+09,30,86,116
73210000,1241440000,1185350000,2.5e+09,30,98,128
307800000,1374150000,818050000,2.5e+09,25,77,102
135390000,1658220000,706390000,2.5e+09,39,108,147
527380000,1449160000,523460000,2.5e+09,28,81,109
538780000,1018480000,942740000,2.5e+09,29,86,115
465950000,762500000,1271550000,2.5e+09,28,80,108
772010000,471320000,1256670000,2.5e+09,30,76,106
739550000,581680000,1178770000,2.5e+09,32,93,125
209990000,901850000,1388160000,2.5e+09,28,88,116
56430000,987090000,1456480000,2.5e+09,41,102,143
46080000,1244970000,1208950000,2.5e+09,37,96,133
457390000,956260000,1086350000,2.5e+09,39,103,142
378300000,508300000,1613400000,2.5e+09,32,114,146
201010000,1774140000,524850000,2.5e+09,37,118,155
626350000,1255410000,618240000,2.5e+09,37,108,145
363600000,386730000,1749670000,2.5e+09,35,110,145
568290000,406610000,1525100000,2.5e+09,36,110,146
143580000,2241420000,1.15e+08,2.5e+09,37,96,133
147220000,1940430000,412350000,2.5e+09,34,103,137
770250000,1411350000,318400000,2.5e+09,36,87,123
383340000,1412210000,704450000,2.5e+09,37,106,143
46580000,2372500000,80920000,2.5e+09,29,90,119
103080000,2300680000,96240000,2.5e+09,33,96,129
119490000,2226540000,153970000,2.5e+09,35,102,137
256750000,1871490000,371760000,2.5e+09,36,98,134
1131830000,125560000,1242610000,2.5e+09,32,93,125
849210000,1068750000,582040000,2.5e+09,36,105,141
982080000,73350000,1444570000,2.5e+09,32,99,131
585080000,1475130000,439790000,2.5e+09,36,109,145
294280000,141930000,1803590000,2239800000,27,73,100
55750000,47410000,1576970000,1680130000,30,81,111
206050000,970110000,1323840000,2.5e+09,37,110,147
410630000,1336870000,752500000,2.5e+09,32,97,129
507360000,279410000,1713230000,2.5e+09,36,114,150
572850000,865400000,1061750000,2.5e+09,35,97,132
345510000,1177800000,976690000,2.5e+09,38,108,146
126200000,2127250000,246550000,2.5e+09,32,101,133
215360000,2062410000,222230000,2.5e+09,30,101,131
1226790000,681080000,592130000,2.5e+09,34,109,143
824830000,1161830000,513340000,2.5e+09,32,113,145
713600000,232730000,1553670000,2.5e+09,32,96,128
484210000,1076310000,939480000,2.5e+09,37,101,138
925920000,477670000,1096410000,2.5e+09,35,93,128
527230000,1293730000,679040000,2.5e+09,36,108,144
12350000,94040000,1891610000,1.998e+09,30,79,109
150350000,519740000,1824840000,2494930000,39,94,133
404410000,1610740000,484850000,2.5e+09,33,92,125
1179840000,563530000,756630000,2.5e+09,33,93,126
